model,cv,n,r2,rmse,mae
random_forest,kfold,240,0.7198386651010591,0.14829412803125167,0.10588331485979958
gradient_boosting,kfold,240,0.7146573082926775,0.14965913561747365,0.10872604239049946
linear,kfold,240,0.3988844501268676,0.2172195136501499,0.18286599025820363
ridge_1,kfold,240,0.38653268185097456,0.21943988713489604,0.18296053357799086
ridge_10,kfold,240,0.32285381642565847,0.2305478482615549,0.18586253877565048
lasso_001,kfold,240,0.2966175652287534,0.23497173032633234,0.18866224811879945
lasso_01,kfold,240,-0.004699146433635892,0.2808263610008246,0.22475753666643533
random_forest,leave_one_regime,240,0.7797162443385502,0.13149556086602038,0.08856262620952489
gradient_boosting,leave_one_regime,240,0.7518435849266595,0.13956695679765457,0.09997205164217385
linear,leave_one_regime,240,0.4528506135561915,0.20723963273120882,0.1738788837611766
ridge_1,leave_one_regime,240,0.4483882792819738,0.2080829989753705,0.17333780245554023
ridge_10,leave_one_regime,240,0.3851160970746672,0.21969310026355296,0.17741475170968096
lasso_001,leave_one_regime,240,0.3420919489159501,0.22724924876547392,0.18136899093343045
lasso_01,leave_one_regime,240,-0.006961758536010443,0.28114239779256156,0.2248832667995515
lasso_01,leave_one_topology,240,-0.27205769082720654,0.31598994237523265,0.2707215868961251
ridge_10,leave_one_topology,240,-0.6743429850518858,0.3625284290901831,0.2762396592210944
ridge_1,leave_one_topology,240,-1.6371986978196866,0.4549789268389712,0.3959342889981003
lasso_001,leave_one_topology,240,-1.9561113898132674,0.48170400046628453,0.41495141079646003
linear,leave_one_topology,240,-2.129560487209271,0.4956345018385469,0.42842167824960603
random_forest,leave_one_topology,240,-2.2470523841309173,0.5048524907266813,0.43684236104693913
gradient_boosting,leave_one_topology,240,-2.5036733457534193,0.5244229151288182,0.44532016005843283
