galaxy,fit_quality_category,legacy_chi2_red_BuP,n_points,rotmod,R_d_est,R_d_source,f_lambda_used,lambda_corr,bup_mode,rt_min_factor,rt_max_factor,w_min_factor,w_max_factor,chi2_red_BuP_fresh,chi2_BuP_fresh,AIC_BuP_fresh,BIC_BuP_fresh,k_BuP,A_v2_BuP,r_trans_BuP,width_BuP,rt_over_Rd,width_over_Rd,width_over_rt,rt_min,rt_max,w_min,w_max,rt_at_lower_bound,rt_at_upper_bound,w_at_lower_bound,w_at_upper_bound,rmse_BuP,mae_BuP,chi2_red_NFW_2param,chi2_NFW_2param,AIC_NFW_2param,BIC_NFW_2param,log10_M200_NFW_2param,c_NFW_2param,rmse_NFW_2param,mae_NFW_2param,chi2_red_NFW_cfixed,chi2_NFW_cfixed,AIC_NFW_cfixed,BIC_NFW_cfixed,log10_M200_NFW_cfixed,c_NFW_cfixed,rmse_NFW_cfixed,mae_NFW_cfixed,winner_chi2red_vs_NFW2,winner_chi2red_vs_NFWcfixed,delta_chi2red_BuP_minus_NFW2,delta_chi2red_BuP_minus_NFWcfixed,delta_AIC_BuP_minus_NFW2,delta_AIC_BuP_minus_NFWcfixed
UGC05005,excellent,0.0254432948462516,11,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/UGC05005_rotmod.dat,3.1778314434399064,SBdisk_expfit,1.0,3.1778314434399064,semi_flexible,0.1,10.0,0.05,5.0,0.022715355146482236,0.18172284117185789,6.181722841171858,7.37540865956697,3,8298.67570212138,6.311587731184637,3.2706842856013445,1.986130429986725,1.0292189324116348,0.5182030932472615,0.3177831443439907,31.778314434399064,0.15889157217199534,15.889157217199532,False,False,False,False,1.4139466397159315,1.1526757352083166,0.21794514025696143,1.961506262312653,5.961506262312653,6.757296807909395,11.996111001755253,1.921229751871885,4.4638459318964445,3.875578430297311,2.3798555351867714,23.798555351867716,25.798555351867716,26.196450624666085,10.882518524901942,10.0,14.417530715817001,13.418720812001657,BuP_fresh,BuP_fresh,-0.1952297851104792,-2.357140180040289,0.22021657885920476,-19.616832510695858
UGC07559,excellent,0.045559716808996,7,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/UGC07559_rotmod.dat,0.5633961620613918,SBdisk_expfit,1.0,0.5633961620613918,semi_flexible,0.1,10.0,0.05,5.0,0.022297584388581426,0.0891903375543257,6.089190337554326,5.926920784720265,3,738.4750035665699,1.008753622207726,0.32685117226181537,1.7904872097758537,0.5801444778500271,0.3240148685131651,0.05633961620613918,5.633961620613918,0.02816980810306959,2.816980810306959,False,False,False,False,0.3645964251588959,0.2973971756717693,0.4320899311918754,2.160449655959377,6.160449655959377,6.052269954070003,12.04673825822875,1.0,1.7944261006818776,1.5501222163509316,0.9906033584852034,5.9436201509112205,7.9436201509112205,7.889530299966534,9.488756741594619,10.0,2.976315907590688,2.5708140465106477,BuP_fresh,BuP_fresh,-0.40979234680329396,-0.968305774096622,-0.07125931840505118,-1.8544298133568944
UGC07232,excellent,0.06334640892295,4,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/UGC07232_rotmod.dat,0.21809970468661788,SBdisk_expfit,1.0,0.21809970468661788,semi_flexible,0.1,10.0,0.05,5.0,0.04750717910597424,0.04750717910597424,6.047507179105974,4.2063902624656455,3,40956.68620561015,1.8137295726098472,0.45117846765260966,8.31605698511124,2.0686798650227285,0.24875729792694018,0.021809970468661788,2.180997046866179,0.010904985234330894,1.0904985234330895,False,False,False,False,0.35963633731314587,0.3126486500694865,2.4042815823599604,4.808563164719921,8.80856316471992,7.581151886959702,13.799999999999764,1.3728381776625103,3.6181919816325365,3.179175433467363,1.885523785982708,5.656571357948124,7.656571357948124,7.042865719068015,10.896790338492542,10.0,3.9242853517568985,3.4525334112091635,BuP_fresh,BuP_fresh,-2.3567744032539863,-1.8380166068767338,-2.7610559856139467,-1.60906417884215
UGC07866,excellent,0.0987017091145761,7,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/UGC07866_rotmod.dat,0.6412479173021665,SBdisk_expfit,1.0,0.6412479173021665,semi_flexible,0.1,10.0,0.05,5.0,0.054634407803017995,0.21853763121207198,6.218537631212072,6.056268078378012,3,1727.4807417796555,1.634773560065421,3.2062395865108315,2.549362759637766,4.999999999999999,1.9612744326391742,0.06412479173021665,6.412479173021665,0.032062395865108326,3.2062395865108324,False,False,False,True,0.7191318185606915,0.657365115941799,0.04367976896861335,0.21839884484306674,4.218398844843067,4.110219142953693,10.405646343090783,5.089989722168402,0.7189034333066793,0.6565395997433386,0.10267897396402233,0.616073843784134,2.616073843784134,2.561983992839447,9.655342875123074,10.0,1.2074294782659922,0.857459582755572,NFW_2param,BuP_fresh,0.010954638834404645,-0.04804456616100433,2.000138786369005,3.602463787427938
D564-8,excellent,0.1456142910349638,6,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/D564-8_rotmod.dat,0.6079203283293205,SBdisk_expfit,1.0,0.6079203283293205,semi_flexible,0.1,10.0,0.05,5.0,0.07591234697021587,0.22773704091064761,6.227737040910648,5.603015448594813,3,571.4997710352352,1.1115576748400915,0.4679864599717948,1.8284594593091847,0.7698154481162188,0.4210186035008208,0.06079203283293205,6.0792032832932055,0.030396016416466026,3.0396016416466027,False,False,False,False,0.34454980590713097,0.28908264274037937,0.9463144622855167,3.785257849142067,7.7852578491420665,7.368776787598177,11.523028127249532,1.0000000000000375,1.2533092840214428,0.9833775538703646,3.9923403974761045,19.961701987380522,21.961701987380522,21.753461456608576,9.198018012874865,10.0,2.978080773263574,2.4923183893890477,BuP_fresh,BuP_fresh,-0.8704021153153009,-3.9164280505058886,-1.557520808231419,-15.733964946469875
UGC02023,excellent,0.2543400495164272,5,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/UGC02023_rotmod.dat,1.426715280153338,SBdisk_expfit,1.0,1.426715280153338,semi_flexible,0.1,10.0,0.05,5.0,0.0023289877875449444,0.004657975575089889,6.00465797557509,4.832971712877391,3,6720.698665649973,3.5831639517189595,0.9428199405387502,2.5114779392660984,0.6608325807216555,0.26312497927605266,0.1426715280153338,14.267152801533381,0.0713357640076669,7.133576400766691,False,False,False,False,0.2652365545418073,0.23676609976543866,0.7323445767278919,2.1970337301836755,6.1970337301836755,5.415909555051876,12.583109043888044,1.0,5.7604065632891475,5.326054670546628,1.0502889115346967,4.201155646138787,6.201155646138787,5.810593558572887,10.012107003716965,10.0,7.965612216137328,7.342438230418656,BuP_fresh,BuP_fresh,-0.7300155889403469,-1.0479599237471517,-0.19237575460858558,-0.19649767056369694
DDO064,excellent,0.2662090683448657,14,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/DDO064_rotmod.dat,0.7950500677910326,SBdisk_expfit,1.0,0.7950500677910326,semi_flexible,0.1,10.0,0.05,5.0,0.23807530440991795,2.6188283485090973,8.618828348509098,10.536000337354873,3,1993.923545194158,1.0153879723480994,0.4542830217184144,1.2771371432861502,0.5713891994004786,0.4473984664875223,0.07950500677910327,7.950500677910326,0.039752503389551636,3.975250338955163,False,False,False,False,2.153656941343454,1.91110440474654,0.5522130812619052,6.626556975142862,10.626556975142861,11.90467163437338,13.247183108450054,1.0,3.369652328628138,2.9560185527960963,0.8475573087002525,11.018245013103282,13.018245013103282,13.657302342718541,10.340413491419229,10.0,4.130140019116325,3.647234864955236,BuP_fresh,BuP_fresh,-0.3141377768519872,-0.6094820042903345,-2.0077286266337637,-4.399416664594185
UGC04483,excellent,0.2795619684470218,8,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/UGC04483_rotmod.dat,0.17896819935095226,SBdisk_expfit,1.0,0.17896819935095226,semi_flexible,0.1,10.0,0.05,5.0,0.26421299799406694,1.3210649899703346,7.321064989970335,7.559389615009842,3,399.53020509509497,0.3265229355057013,0.12680893843438887,1.8244746088404107,0.7085557037187352,0.3883615043396384,0.017896819935095228,1.7896819935095225,0.008948409967547614,0.8948409967547613,False,False,False,False,0.6968600355424671,0.5799318136074315,0.5931351387727365,3.558810832636419,7.55881083263642,7.71769391599609,9.677984380844796,9.394739552062337,1.2529549568338763,0.9945001860344534,0.510734530474587,3.575141713322109,5.575141713322109,5.654583255001945,9.603408046326996,10.0,1.282756110564074,0.9979148983047169,BuP_fresh,BuP_fresh,-0.32892214077866955,-0.24652153248052,-0.23774584266608478,1.7459232766482256
F563-V1,excellent,0.2901750788905377,6,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/F563-V1_rotmod.dat,3.606017611375997,SBdisk_expfit,1.0,3.606017611375997,semi_flexible,0.1,10.0,0.05,5.0,0.35008878433540436,1.050266353006213,7.050266353006213,6.425544760690379,3,420.4093588735067,1.6493671775727137,18.030086875467394,0.45739299008674067,4.999999672377476,10.931517930410934,0.36060176113759973,36.06017611375997,0.18030088056879987,18.030088056879986,False,False,False,True,2.0919153434574147,1.9233423782014292,0.2507696947988409,1.0030787791953637,5.003078779195364,4.586597717651474,8.978991135251498,5.211963662608722,2.0443813033076816,1.8740513035318698,0.24515087666494234,1.2257543833247118,3.2257543833247118,3.0175138525527667,8.733789859668795,10.0,2.2599358244250283,1.9261386254642243,NFW_2param,NFW_cfixed,0.09931908953656343,0.10493790767046202,2.0471875738108496,3.8245119696815015
UGC09992,excellent,0.3528908106126718,5,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/UGC09992_rotmod.dat,0.9545792156175236,SBdisk_expfit,1.0,0.9545792156175236,semi_flexible,0.1,10.0,0.05,5.0,0.036568108776759416,0.07313621755351883,6.073136217553519,4.90144995485582,3,959.6479961114898,0.09545792157667199,4.772896078083601,0.10000000001562954,4.999999999995792,49.99999999214315,0.09545792156175237,9.545792156175235,0.047728960780876184,4.7728960780876175,True,False,False,True,0.684538181704645,0.6401914735477249,0.01225413950990672,0.03676241852972016,4.03676241852972,3.2556382433979207,9.147007469349553,25.44534340576933,0.48532589773279217,0.40131276076999073,0.2070662930469993,0.8282651721879972,2.8282651721879972,2.4377030846220977,9.614186011056438,10.0,2.303648052552551,1.8403853684823432,NFW_2param,BuP_fresh,0.024313969266852697,-0.17049818427023988,2.0363737990237993,3.244871045365522
UGCA281,excellent,0.3736352375984568,7,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/UGCA281_rotmod.dat,0.3201851581711648,SBdisk_expfit,1.0,0.3201851581711648,semi_flexible,0.1,10.0,0.05,5.0,0.05636220605112069,0.22544882420448276,6.2254488242044825,6.063179271370422,3,659.7194330407401,0.3267388445388712,0.18124900291009519,1.0204684264727941,0.5660755918399034,0.5547213193028615,0.032018515817116476,3.2018515817116477,0.016009257908558238,1.6009257908558239,False,False,False,False,0.27516777611557286,0.23652643617138733,0.5463278463197436,2.7316392315987184,6.731639231598718,6.623459529709345,10.92497725323147,5.855135356433341,1.0032317610919919,0.8277564697387019,0.5194390618536193,3.116634371121716,5.116634371121716,5.062544520177029,10.115117762314435,10.0,1.0916058276532252,0.8994374677813026,BuP_fresh,BuP_fresh,-0.48996564026862294,-0.46307685580249863,-0.5061904073942358,1.1088144530827666
UGC07577,excellent,0.3899405108684341,9,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/UGC07577_rotmod.dat,0.5322270320729843,SBdisk_expfit,1.0,0.5322270320729843,semi_flexible,0.1,10.0,0.05,5.0,0.08959583517963199,0.5375750110777919,6.5375750110777915,7.12924874308645,3,204715.50473568673,5.322270320729772,0.6114981295670231,9.999999999999867,1.1489422609469568,0.11489422609469721,0.05322270320729843,5.322270320729842,0.026611351603649216,2.661135160364921,False,True,False,False,0.7747427909255235,0.6456198604901536,0.20004022768947247,1.4002815938263073,5.400281593826307,5.794730748498747,9.773288028287872,1.0000000000000024,1.2503905926727756,1.0155442720157202,0.39154962330769705,3.1323969864615764,5.132396986461576,5.3296215637977955,8.000000000000009,10.0,1.8701498477470175,1.7052012508853058,BuP_fresh,BuP_fresh,-0.11044439250984048,-0.30195378812806506,1.1372934172514846,1.405178024616215
KK98-251,excellent,0.4065256165458377,15,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/KK98-251_rotmod.dat,1.3566244596894932,SBdisk_expfit,1.0,1.3566244596894932,semi_flexible,0.1,10.0,0.05,5.0,0.16034529992860616,1.924143599143274,7.9241435991432745,10.048294202449904,3,961.007698218844,1.4005280863843508,0.476439067853696,1.0323624024182096,0.3511945140387225,0.34018530044883766,0.13566244596894933,13.566244596894933,0.06783122298447467,6.783122298447466,False,False,False,False,0.7163134507822254,0.5517235749455314,1.8568455789083484,24.13899252580853,28.13899252580853,29.55509292801295,11.837767730803632,1.0,2.537137101843127,2.3309296092777263,4.777270501674374,66.88178702344123,68.88178702344123,69.58983722454344,9.344959548660821,10.0,4.22316743762913,3.9004174944699646,BuP_fresh,BuP_fresh,-1.6965002789797423,-4.616925201745768,-20.214848926665255,-60.957643424297956
F563-V2,excellent,0.4935793675121113,10,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/F563-V2_rotmod.dat,2.4286732970415428,SBdisk_expfit,1.0,2.4286732970415428,semi_flexible,0.1,10.0,0.05,5.0,0.019291026508342916,0.1350371855584004,6.1350371855584,7.042792464540538,3,11844.556996769154,1.5912324679411334,0.5160758115553049,0.655185886829436,0.212492891565101,0.32432458610088943,0.24286732970415428,24.28673297041543,0.12143366485207714,12.143366485207714,False,False,False,False,1.2409986224045932,1.1266176912389332,1.2325506920014293,9.860405536011434,13.860405536011434,14.465575721999526,11.990754668531425,7.501769369149359,11.899650602905291,10.864642416613126,1.1643450685781587,10.479105617203428,12.479105617203428,12.781690710197473,11.663123737033695,10.0,10.419275890477653,9.384986732664084,BuP_fresh,BuP_fresh,-1.2132596654930863,-1.1450540420698156,-7.725368350453034,-6.344068431645028
UGCA444,excellent,0.7225485170720606,36,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/UGCA444_rotmod.dat,0.8296714744079979,SBdisk_expfit,1.0,0.8296714744079979,semi_flexible,0.1,10.0,0.05,5.0,0.05505765331145208,1.8169025592779187,7.816902559277919,12.56745937464625,3,5905.403733777454,4.111478637366332,4.148357372039989,4.955550195696469,4.999999999999999,1.0089697011528873,0.0829671474407998,8.29671474407998,0.0414835737203999,4.14835737203999,False,False,False,True,0.867358206873341,0.7222779346536826,0.059985478421334816,2.039506266325384,6.039506266325384,9.206544143237604,12.61835344631171,1.0,0.9768023551091118,0.7909406390954439,0.32017618882477866,11.206166608867253,13.206166608867253,14.789685547323362,9.827449864056254,10.0,2.4128411531506884,1.9357592344657941,BuP_fresh,BuP_fresh,-0.004927825109882739,-0.2651185355133266,1.7773962929525347,-5.389264049589334
NGC4068,excellent,0.8102484963616935,6,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/NGC4068_rotmod.dat,0.7010366370255673,SBdisk_expfit,1.0,0.7010366370255673,semi_flexible,0.1,10.0,0.05,5.0,0.18569103218213945,0.5570730965464183,6.557073096546418,5.932351504230583,3,1088.1893415114873,1.2845005579204845,0.30337606006633194,1.8322873443112757,0.43275350251811107,0.23618211622848675,0.07010366370255673,7.010366370255673,0.035051831851278366,3.5051831851278363,False,False,False,False,1.267662166217809,0.9248132556300308,1.8733037626280875,7.49321505051235,11.493215050512351,11.07673398896846,12.279333480262933,1.0,3.8513091728927833,3.289143830807047,2.773992757267685,13.869963786338424,15.869963786338424,15.661723255566478,9.609268524624973,10.0,5.196852734059257,4.459957457022129,BuP_fresh,BuP_fresh,-1.687612730445948,-2.5883017250855453,-4.936141953965933,-9.312890689792006
F567-2,excellent,0.94905582409219,5,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/F567-2_rotmod.dat,3.2067711936925605,SBdisk_expfit,1.0,3.2067711936925605,semi_flexible,0.1,10.0,0.05,5.0,0.2376339255254418,0.4752678510508836,6.475267851050884,5.303581588353184,3,1858.1552861479024,1.9584313793214416,0.16033855970458163,0.6107175289504613,0.05000000000622234,0.08187091025887046,0.3206771193692561,32.067711936925605,0.16033855968462804,16.033855968462802,False,False,True,False,2.185947521820092,1.7854871702441364,0.6314089501924186,1.894226850577256,5.894226850577256,5.1131026754454565,10.236315263720554,8.822734158171023,4.40542525948085,3.7110701911249735,0.48179499109855917,1.9271799643942367,3.9271799643942367,3.5366178768283367,10.164118248738216,10.0,4.518815225346042,3.6006499985797262,BuP_fresh,BuP_fresh,-0.3937750246669768,-0.24416106557311737,0.5810410004736273,2.548087886656647
NGC3198,excellent,0.994166198010819,43,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/NGC3198_rotmod.dat,3.1705695939393497,SBdisk_expfit,1.0,3.1705695939393497,semi_flexible,0.1,10.0,0.05,5.0,0.5638195077767764,22.552780311071054,28.552780311071054,33.83638065815174,3,17355.922328237804,3.3821224806587775,3.7240292645140003,1.066723937277333,1.1745615903314683,1.101092371967743,0.31705695939393497,31.705695939393497,0.15852847969696748,15.852847969696748,False,False,False,False,6.638298342537108,3.4821326111040034,1.3923434568425253,57.08608173054353,61.08608173054353,64.60848196193066,11.659579324203348,9.742120862064306,8.703041099410635,5.047632819312458,1.402720047078698,58.914241977305316,60.914241977305316,62.67544209299888,11.646516641240577,10.0,8.875612675410341,5.223428140719829,BuP_fresh,BuP_fresh,-0.8285239490657489,-0.8389005393019217,-32.53330141947248,-32.36146166623426
F571-V1,excellent,1.0109109363621087,7,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/F571-V1_rotmod.dat,2.533124407601286,SBdisk_expfit,1.0,2.533124407601286,semi_flexible,0.1,10.0,0.05,5.0,0.026847633278516466,0.10739053311406586,6.107390533114065,5.945120980280005,3,5892.998716243871,3.4028484948801467,1.6148435807430108,1.343340455237426,0.6374908298610447,0.47455641447824376,0.2533124407601286,25.331244076012858,0.1266562203800643,12.665622038006429,False,False,False,False,0.9140769805663865,0.7836923079317403,0.31877212723354553,1.5938606361677277,5.593860636167728,5.485680934278355,11.390937568193856,4.940164723439331,4.2849062226262,2.965432635193763,0.7410180046418698,4.446108027851219,6.446108027851219,6.392018176906532,10.902246474362563,10.0,7.727763878972792,4.982472729382993,BuP_fresh,BuP_fresh,-0.29192449395502906,-0.7141703713633534,0.5135298969463378,-0.3387174947371534
F563-1,excellent,1.0469020373021694,17,/Users/dualcomputer/bottomup/sparc/Rotmod_LTG 2/F563-1_rotmod.dat,3.307314355713118,SBdisk_expfit,1.0,3.307314355713118,semi_flexible,0.1,10.0,0.05,5.0,0.2136803033435441,2.9915242468096173,8.991524246809618,11.491164278978268,3,10180.246549408099,2.3689381847671784,0.5211244439426479,0.716272458550857,0.1575672548460498,0.21998228881344345,0.3307314355713118,33.07314355713118,0.1653657177856559,16.53657177856559,False,False,False,False,5.555773529750729,4.470198966311817,1.0693489480887568,16.040234221331353,20.040234221331353,21.706660909443784,11.496383914558605,7.793816757318589,8.913986900126377,6.343863740230347,1.1228822659910314,17.9661162558565,19.9661162558565,20.799329599912717,11.333547943023023,10.0,8.826644136971147,6.4637268052151065,BuP_fresh,BuP_fresh,-0.8556686447452126,-0.9092019626474872,-11.048709974521735,-10.974592009046884
