feature_set,model,cv,n,r2,rmse,mae
basic_no_topology,linear,kfold,237,0.5852110937042837,0.33672417687276235,0.2220011726091779
basic_no_topology,ridge_1,kfold,237,0.5949218178066987,0.3327592677212325,0.21813729216845407
basic_no_topology,ridge_10,kfold,237,0.5437322591215419,0.3531592744063478,0.22158849489451252
basic_no_topology,lasso_001,kfold,237,0.5944636857395587,0.3329473852485664,0.21655560533234555
basic_no_topology,lasso_01,kfold,237,0.507587559739789,0.36688101753728874,0.23130053344118937
basic_no_topology,random_forest,kfold,237,0.7399803407953471,0.26660225966430556,0.10743102757449396
basic_no_topology,gradient_boosting,kfold,237,0.922767819423852,0.14529808223558827,0.07979849061915953
basic_no_topology,linear,leave_one_topology,237,-1.0612023365439578,0.750621581295298,0.6286371695050624
basic_no_topology,ridge_1,leave_one_topology,237,-0.09777572229534104,0.5477943450892145,0.46591509956512844
basic_no_topology,ridge_10,leave_one_topology,237,-0.046921760364892595,0.5349557341915686,0.44179874938860036
basic_no_topology,lasso_001,leave_one_topology,237,-0.1150096799119158,0.5520775061007612,0.47052231501311104
basic_no_topology,lasso_01,leave_one_topology,237,0.4584181852741068,0.3847625286845391,0.24952756025592512
basic_no_topology,random_forest,leave_one_topology,237,0.24837521757416747,0.45327449140742193,0.30623435232847596
basic_no_topology,gradient_boosting,leave_one_topology,237,0.1104604097296864,0.49310950576887147,0.36506340030717943
basic_no_topology,linear,leave_one_regime,237,0.5992902448167303,0.3309601398386055,0.2110988031189182
basic_no_topology,ridge_1,leave_one_regime,237,0.616300319867964,0.32385935923975195,0.20485657516811298
basic_no_topology,ridge_10,leave_one_regime,237,0.5773761603810386,0.339889485122193,0.2047964331576482
basic_no_topology,lasso_001,leave_one_regime,237,0.6156841456222113,0.3241192939703757,0.2083076712528029
basic_no_topology,lasso_01,leave_one_regime,237,0.5128908072580421,0.3649000278776644,0.22844553748558916
basic_no_topology,random_forest,leave_one_regime,237,0.7378266670558836,0.26770408068138507,0.09650357528354522
basic_no_topology,gradient_boosting,leave_one_regime,237,0.9391727866338093,0.12894654025952063,0.07058014520808892
dsdw_no_topology,linear,kfold,237,0.7098858808703228,0.2816081155334768,0.18917826744836092
dsdw_no_topology,ridge_1,kfold,237,0.6276418336838938,0.31903708986630763,0.20318509178639524
dsdw_no_topology,ridge_10,kfold,237,0.5377025776808344,0.3554851552293005,0.2208129373232998
dsdw_no_topology,lasso_001,kfold,237,0.5759008103423289,0.3404822333813101,0.2191412321465537
dsdw_no_topology,lasso_01,kfold,237,0.5063730769525744,0.3673331753672767,0.22970276355578473
dsdw_no_topology,random_forest,kfold,237,0.7515032332026683,0.26062802015627895,0.09698733856356227
dsdw_no_topology,gradient_boosting,kfold,237,0.8955161047273557,0.1689994967283537,0.07917473208375829
dsdw_no_topology,linear,leave_one_topology,237,-17.452240129229356,2.2458734576079094,1.8758938094611854
dsdw_no_topology,ridge_1,leave_one_topology,237,0.10035747243303639,0.4959018428906459,0.40899179157700893
dsdw_no_topology,ridge_10,leave_one_topology,237,-1.1888034561065384,0.7735067654673461,0.655012972766185
dsdw_no_topology,lasso_001,leave_one_topology,237,-0.36698499048021915,0.6112834062886103,0.5309773544091386
dsdw_no_topology,lasso_01,leave_one_topology,237,0.4584181852741068,0.3847625286845391,0.24952756025592512
dsdw_no_topology,random_forest,leave_one_topology,237,0.23308387212363424,0.45786207184533934,0.31860118642687574
dsdw_no_topology,gradient_boosting,leave_one_topology,237,0.029835574858456004,0.5149717512003499,0.3662440070297464
dsdw_no_topology,linear,leave_one_regime,237,0.7037199384361906,0.28458496160366265,0.18572695550183266
dsdw_no_topology,ridge_1,leave_one_regime,237,0.6406606230256113,0.3134102089375853,0.18890594266997068
dsdw_no_topology,ridge_10,leave_one_regime,237,0.5705321025143689,0.34263055264599185,0.20246013832353835
dsdw_no_topology,lasso_001,leave_one_regime,237,0.5959035702740476,0.33235578337238725,0.20764848067775993
dsdw_no_topology,lasso_01,leave_one_regime,237,0.5055643806793555,0.36763394847021247,0.22824001546533101
dsdw_no_topology,random_forest,leave_one_regime,237,0.7411936643676352,0.26597951243478707,0.0906728122928288
dsdw_no_topology,gradient_boosting,leave_one_regime,237,0.9388140008211858,0.12932627299322708,0.06713317017658099
dsdw_input_no_topology,linear,kfold,237,0.7745278596216149,0.2482602437660908,0.1750455881327163
dsdw_input_no_topology,ridge_1,kfold,237,0.6681500758597487,0.3011837907254834,0.1776777406210867
dsdw_input_no_topology,ridge_10,kfold,237,0.5725085543170618,0.34184123439700276,0.20848446623285832
dsdw_input_no_topology,lasso_001,kfold,237,0.5898020513455511,0.3348555302150026,0.21180246640140618
dsdw_input_no_topology,lasso_01,kfold,237,0.5063730769525744,0.3673331753672767,0.22970276355578473
dsdw_input_no_topology,random_forest,kfold,237,0.8225567822099988,0.2202370777592458,0.06693875962588618
dsdw_input_no_topology,gradient_boosting,kfold,237,0.9588717852190232,0.10603046429450508,0.04664766266204521
dsdw_input_no_topology,linear,leave_one_topology,237,-80.64681399163499,4.72422262220328,3.8652847643043184
dsdw_input_no_topology,ridge_1,leave_one_topology,237,-17.149319978126126,2.227362545423591,1.4668971645549704
dsdw_input_no_topology,ridge_10,leave_one_topology,237,-0.3563958619086156,0.6089111992605742,0.4824562370340755
dsdw_input_no_topology,lasso_001,leave_one_topology,237,-7.30976331942694,1.507145082429104,1.10702085844116
dsdw_input_no_topology,lasso_01,leave_one_topology,237,0.4584181852741068,0.3847625286845391,0.24952756025592512
dsdw_input_no_topology,random_forest,leave_one_topology,237,0.3227652819719967,0.43025937362316896,0.2829512249378494
dsdw_input_no_topology,gradient_boosting,leave_one_topology,237,0.2076214472885578,0.4654007616595308,0.3250204918124053
dsdw_input_no_topology,linear,leave_one_regime,237,0.7672973859017356,0.25220945561027175,0.1685419845660137
dsdw_input_no_topology,ridge_1,leave_one_regime,237,0.6741206391541305,0.29846208023933174,0.1688051989271045
dsdw_input_no_topology,ridge_10,leave_one_regime,237,0.6032131707112536,0.3293361147361025,0.19099491364079246
dsdw_input_no_topology,lasso_001,leave_one_regime,237,0.6053167499381576,0.32846196115297616,0.19938746032235144
dsdw_input_no_topology,lasso_01,leave_one_regime,237,0.5055643806793555,0.36763394847021247,0.22824001546533101
dsdw_input_no_topology,random_forest,leave_one_regime,237,0.8106801753608519,0.22748815081680374,0.06535000424353037
dsdw_input_no_topology,gradient_boosting,leave_one_regime,237,0.975601569006441,0.08166607497709477,0.03788374663335122
dsdw_with_topology,linear,kfold,237,0.7678036390038749,0.25193496075864963,0.17381263926131252
dsdw_with_topology,ridge_1,kfold,237,0.6804014688962164,0.2955718848025837,0.18672160948883987
dsdw_with_topology,ridge_10,kfold,237,0.564830473841076,0.34489744037667913,0.21265578431449966
dsdw_with_topology,lasso_001,kfold,237,0.5837155206637976,0.3373306811280015,0.21684783480376366
dsdw_with_topology,lasso_01,kfold,237,0.5063730769525744,0.3673331753672767,0.22970276355578473
dsdw_with_topology,random_forest,kfold,237,0.752026304432612,0.26035357224990835,0.09687230692696623
dsdw_with_topology,gradient_boosting,kfold,237,0.8885001147014429,0.17458138880929963,0.07949893766712085
dsdw_with_topology,linear,leave_one_topology,237,-44.87411036746785,3.5411519388326016,2.912026214684219
dsdw_with_topology,ridge_1,leave_one_topology,237,-5.695854492287307,1.3528938962883956,1.0278015137007532
dsdw_with_topology,ridge_10,leave_one_topology,237,-2.84185905935563,1.024781904220393,0.830148748536724
dsdw_with_topology,lasso_001,leave_one_topology,237,-0.5272410930339981,0.6461220081595536,0.559794281222861
dsdw_with_topology,lasso_01,leave_one_topology,237,0.4584181852741068,0.3847625286845391,0.24952756025592512
dsdw_with_topology,random_forest,leave_one_topology,237,0.20586875340200483,0.46591519664295267,0.3237516824692191
dsdw_with_topology,gradient_boosting,leave_one_topology,237,0.022403507556879587,0.5169404910698105,0.3667172989101325
dsdw_with_topology,linear,leave_one_regime,237,0.7539336490012039,0.25935035584556504,0.17499397489570975
dsdw_with_topology,ridge_1,leave_one_regime,237,0.6880170668799919,0.29202911485781624,0.17484350824328776
dsdw_with_topology,ridge_10,leave_one_regime,237,0.5967883791147113,0.33199172115267056,0.19412495603082508
dsdw_with_topology,lasso_001,leave_one_regime,237,0.6049574527262845,0.3286114336988774,0.20544852079765305
dsdw_with_topology,lasso_01,leave_one_regime,237,0.5055643806793555,0.36763394847021247,0.22824001546533101
dsdw_with_topology,random_forest,leave_one_regime,237,0.7413174081901011,0.2659159180551091,0.09052607260663972
dsdw_with_topology,gradient_boosting,leave_one_regime,237,0.9398645512831999,0.12821121377524536,0.06735999854134275
