feature,importance_mean,importance_std,feature_set,best_model
mi_norm_lambda2,1.662388349691057,0.0964754426891065,basic_no_topology,gradient_boosting
delta3_proxy,0.16368037411171607,0.015314551683028142,basic_no_topology,gradient_boosting
n_edges_input,0.15380514088569272,0.010323450673338577,basic_no_topology,gradient_boosting
max_MI,0.03596995217978557,0.00447912685373082,basic_no_topology,gradient_boosting
mi_lambda2,0.01893113300588922,0.002242948715409794,basic_no_topology,gradient_boosting
mi_effective_diameter_90,0.012250781138234393,0.001018256451725129,basic_no_topology,gradient_boosting
mi_mean_shortest_path,0.010142102038878109,0.0011651143645408945,basic_no_topology,gradient_boosting
mean_single_entropy,0.002194675930848781,0.00030132580854044816,basic_no_topology,gradient_boosting
mean_MI,0.00209915881440315,0.00030507443211525017,basic_no_topology,gradient_boosting
log_t_ramp,0.0020927158834278723,0.0002401351635907117,basic_no_topology,gradient_boosting
C_modular,0.0020201076272993537,0.0003234197512571468,basic_no_topology,gradient_boosting
K_gap_ratio,0.0010543749036158992,0.00022279022143138622,basic_no_topology,gradient_boosting
hz_random,0.0008771564246703296,0.00022984152690445366,basic_no_topology,gradient_boosting
mi_laplacian_trace,0.0008030890754038844,0.00013951971919404834,basic_no_topology,gradient_boosting
mi_mean_degree_weighted,0.0006319487615172351,0.00011989800111204746,basic_no_topology,gradient_boosting
log_t_dip,0.0004056208771658613,7.193854863955696e-05,basic_no_topology,gradient_boosting
hx,0.00021945714282034512,8.254495473706464e-05,basic_no_topology,gradient_boosting
slope_ramp,9.467471757246641e-05,4.562463185703975e-05,basic_no_topology,gradient_boosting
eta_zz,8.986289510581151e-05,4.270578996606868e-05,basic_no_topology,gradient_boosting
mi_mean_degree_binary,0.0,0.0,basic_no_topology,gradient_boosting
mi_rho_graph,0.0,0.0,basic_no_topology,gradient_boosting
mi_clustering_binary,0.0,0.0,basic_no_topology,gradient_boosting
j_disorder,0.0,0.0,basic_no_topology,gradient_boosting
n,0.0,0.0,basic_no_topology,gradient_boosting
subsystem_size,0.0,0.0,basic_no_topology,gradient_boosting
mi_norm_lambda2,0.41357035448327767,0.04322358378919874,dsdw_no_topology,gradient_boosting
mi_ds_over_dw,0.1855787330726663,0.012447123728294948,dsdw_no_topology,gradient_boosting
delta3_proxy,0.14273617330963148,0.01110108034557632,dsdw_no_topology,gradient_boosting
mi_ds_fit_r2,0.08462739398830585,0.006210253612772581,dsdw_no_topology,gradient_boosting
mi_ds_graph,0.08163874613125946,0.01362870924458475,dsdw_no_topology,gradient_boosting
n_edges_input,0.06931997919149607,0.005158783684007604,dsdw_no_topology,gradient_boosting
mi_lambda2,0.01932523719574043,0.0018257719970688677,dsdw_no_topology,gradient_boosting
mi_dw_fit_r2,0.01719520784162091,0.0022190715948851745,dsdw_no_topology,gradient_boosting
mi_mean_shortest_path,0.0038817472569439644,0.0004100702207349317,dsdw_no_topology,gradient_boosting
mi_effective_diameter_90,0.0036037734236641474,0.0004921776077846194,dsdw_no_topology,gradient_boosting
max_MI,0.0032104769868555446,0.0005566493281134826,dsdw_no_topology,gradient_boosting
mi_dw_graph,0.0027918638297070642,0.00030791027025235456,dsdw_no_topology,gradient_boosting
C_modular,0.0016596246376828698,0.00035738144395483225,dsdw_no_topology,gradient_boosting
log_t_ramp,0.0009918539536210099,9.753051831367637e-05,dsdw_no_topology,gradient_boosting
mi_alpha_eff_graph,0.0007561969652125818,6.926881454356431e-05,dsdw_no_topology,gradient_boosting
log_t_dip,0.0007508391713648625,0.00012949434005276578,dsdw_no_topology,gradient_boosting
K_gap_ratio,0.0005743707664403796,0.0001350739355429614,dsdw_no_topology,gradient_boosting
mi_mean_degree_weighted,0.0004055310824612265,6.557009457386732e-05,dsdw_no_topology,gradient_boosting
mean_MI,0.00030742790316667934,5.288999390632922e-05,dsdw_no_topology,gradient_boosting
hz_random,0.00020697811598176333,3.542294976119618e-05,dsdw_no_topology,gradient_boosting
mi_laplacian_trace,0.00018880106208174114,3.2482713176967973e-05,dsdw_no_topology,gradient_boosting
slope_ramp,0.00015515535080939575,4.8501174144575376e-05,dsdw_no_topology,gradient_boosting
mean_single_entropy,9.409219247954088e-05,1.8369298459286324e-05,dsdw_no_topology,gradient_boosting
hx,1.3858785306534541e-05,4.763804128738469e-06,dsdw_no_topology,gradient_boosting
eta_zz,9.870943985719934e-06,7.939256337663633e-06,dsdw_no_topology,gradient_boosting
mi_rho_graph,0.0,0.0,dsdw_no_topology,gradient_boosting
mi_mean_degree_binary,0.0,0.0,dsdw_no_topology,gradient_boosting
mi_clustering_binary,0.0,0.0,dsdw_no_topology,gradient_boosting
j_disorder,0.0,0.0,dsdw_no_topology,gradient_boosting
n,0.0,0.0,dsdw_no_topology,gradient_boosting
subsystem_size,0.0,0.0,dsdw_no_topology,gradient_boosting
mi_norm_lambda2,0.2609714993137595,0.028237121739563633,dsdw_input_no_topology,gradient_boosting
input_effective_diameter_90,0.05928573810735842,0.006154098531268952,dsdw_input_no_topology,gradient_boosting
input_mean_shortest_path,0.0559199906845782,0.007101186566336132,dsdw_input_no_topology,gradient_boosting
mi_ds_over_dw,0.04621791526387834,0.0031779160085998208,dsdw_input_no_topology,gradient_boosting
delta3_proxy,0.04261972020902758,0.004047476175093711,dsdw_input_no_topology,gradient_boosting
input_norm_lambda2,0.03506938525714302,0.0030010530563013005,dsdw_input_no_topology,gradient_boosting
input_mean_degree_weighted,0.03191919134836263,0.0029910827626517082,dsdw_input_no_topology,gradient_boosting
mi_ds_fit_r2,0.01731312609491064,0.002508999273199442,dsdw_input_no_topology,gradient_boosting
mi_ds_graph,0.013471620454379215,0.0022011387773658974,dsdw_input_no_topology,gradient_boosting
mi_mean_shortest_path,0.00879802270972689,0.0009114170970467378,dsdw_input_no_topology,gradient_boosting
input_lambda2,0.008432817264588114,0.000678219642095171,dsdw_input_no_topology,gradient_boosting
mi_dw_fit_r2,0.007737136482503693,0.000975620034953511,dsdw_input_no_topology,gradient_boosting
input_mean_degree_binary,0.0011302737111111997,0.00011236380010215042,dsdw_input_no_topology,gradient_boosting
mi_effective_diameter_90,0.0008934011749069159,8.855853536641036e-05,dsdw_input_no_topology,gradient_boosting
