model,galaxy,true_f_lambda_opt,pred_f_lambda,exact_factor_match,abs_factor_error,best_possible_error,best_possible_verdict,bridge_error_pred,bridge_verdict_pred,beta_grav_pred,beta_mod_bridge_pred,beta_mod_ML_pred
fixed_f_0.5,CamB,0.5,0.5,True,0.0,0.2695487548098539,moderate_bridge,0.2695487548098539,moderate_bridge,0.684537873735334,1.7125123700671865,2.3444581432966096
fixed_f_0.5,D512-2,0.5,0.5,True,0.0,0.0265997680315731,strong_bridge,0.0265997680315731,strong_bridge,0.6042373686247164,1.5739136982462605,1.6169234879505472
fixed_f_0.5,D564-8,0.5,0.5,True,0.0,0.0069178942165734,strong_bridge,0.0069178942165734,strong_bridge,0.5520221891565869,1.4837902984842688,1.473596116432833
fixed_f_0.5,D631-7,0.5,0.5,True,0.0,0.0401301671543648,strong_bridge,0.0401301671543648,strong_bridge,0.5249462009026238,1.4370571427579286,1.497137521759197
fixed_f_0.5,DDO064,0.5,0.5,True,0.0,0.1549283765475171,strong_bridge,0.1549283765475171,strong_bridge,0.7528862076650595,1.8304815944298929,2.16606680857604
fixed_f_0.5,DDO154,1.0,0.5,False,0.5,0.2228406513929126,moderate_bridge,0.265712387926442,moderate_bridge,0.3728423374761846,1.174525874483895,1.599544722220147
fixed_f_0.5,DDO161,0.5,0.5,True,0.0,0.0861308843612431,strong_bridge,0.0861308843612431,strong_bridge,0.5093348567560048,1.4101119627608645,1.5430130405219509
fixed_f_0.5,DDO168,0.5,0.5,True,0.0,0.1196613689534188,strong_bridge,0.1196613689534188,strong_bridge,0.6521018767384863,1.6565278392506273,1.4794900361696266
fixed_f_0.5,DDO170,1.5,0.5,False,1.0,0.1383421897866469,strong_bridge,0.1487078152901096,strong_bridge,0.3972760209339667,1.2166984121320268,1.4292371455831727
fixed_f_0.5,ESO079-G014,1.0,0.5,False,0.5,0.0360317949995929,strong_bridge,0.2501621842809405,moderate_bridge,0.3110093824942468,1.0678021941850702,1.4240442023600766
fixed_f_0.5,ESO116-G012,0.5,0.5,True,0.0,0.0582929365245487,strong_bridge,0.0582929365245487,strong_bridge,0.4930048822679516,1.3819264267944844,1.4674695352654206
fixed_f_0.5,ESO444-G084,0.5,0.5,True,0.0,0.1382267810830451,strong_bridge,0.1382267810830451,strong_bridge,0.423042758322492,1.261171800864621,1.463461352917901
fixed_f_0.5,ESO563-G021,1.0,0.5,False,0.5,0.0692329191269053,strong_bridge,0.3284646609421457,moderate_bridge,0.3626019070940893,1.1568508916443982,1.722695477601266
fixed_f_0.5,F561-1,0.5,0.5,True,0.0,0.0703859295313319,strong_bridge,0.0703859295313319,strong_bridge,0.4620087296565471,1.3284270673872005,1.4290092088617692
fixed_f_0.5,F563-1,1.0,0.5,False,0.5,0.0488522289673015,strong_bridge,0.45767781526187,failed_bridge,0.2238386909886012,0.9173455806463258,1.6915140233278168
fixed_f_0.5,F563-V1,2.0,0.5,False,1.5,0.2285129626403231,moderate_bridge,0.2473882925865215,moderate_bridge,0.7147727626712874,1.764697788370642,2.344765263399141
fixed_f_0.5,F563-V2,0.5,0.5,True,0.0,0.2304293295177996,moderate_bridge,0.2304293295177996,moderate_bridge,0.6561957880327371,1.6635939301445042,2.161716907820985
fixed_f_0.5,F565-V2,0.5,0.5,True,0.0,0.0336834135194078,strong_bridge,0.0336834135194078,strong_bridge,0.5251766984554376,1.4374549815340854,1.487561117800347
fixed_f_0.5,F567-2,0.5,0.5,True,0.0,0.0767029850347504,strong_bridge,0.0767029850347504,strong_bridge,0.5429728150317104,1.468171078744732,1.590139527094637
fixed_f_0.5,F568-1,1.0,0.5,False,0.5,0.0710361440313594,strong_bridge,0.252975358052248,moderate_bridge,0.3086883605943269,1.0637961103858082,1.4240442023600766
fixed_f_0.5,F568-3,0.5,0.5,True,0.0,0.0410342126483761,strong_bridge,0.0410342126483761,strong_bridge,0.519934689835559,1.428407274656175,1.4895289211526594
fixed_f_0.5,F568-V1,3.0,0.5,False,2.5,0.2336924861939182,moderate_bridge,0.2633089392892412,moderate_bridge,0.2992402655843045,1.0474886983985097,1.4218832754504902
fixed_f_0.5,F571-8,2.0,0.5,False,1.5,0.0106469819354486,strong_bridge,0.4627781053375471,failed_bridge,0.2316420200344,0.9308141265793746,1.73264369123344
