galaxy,f_lambda_opt,class_P14_lambda,bridge_best_error,bridge_best_verdict,beta_grav,beta_mod_bridge,beta_mod_ML,mi_ds_graph,mi_dw_graph,mi_norm_lambda2,delta3_proxy,Rd_fit,lambda_corr,mean_MI,max_MI,sigma_source,d_min,regime_LOW_HIGH
CamB,0.5,short_0p5Rd,0.2695487548098539,moderate_bridge,0.684537873735334,1.7125123700671865,2.3444581432966096,2.3222775349127325,2.5418201878213083,0.4264997398920413,0.0364182141795966,0.6017076720336605,0.3008538360168302,0.0805633677504888,2.02979305044186,SBdisk+SBbul,,
D512-2,0.5,short_0p5Rd,0.0265997680315731,strong_bridge,0.6042373686247164,1.5739136982462605,1.6169234879505472,2.144859290166924,2.475850505075547,0.2029068087156613,0.0292441022868572,1.113395048427806,0.5566975242139031,0.0410111593098058,1.4228349958602646,SBdisk+SBbul,,
D564-8,0.5,short_0p5Rd,0.0069178942165734,strong_bridge,0.5520221891565869,1.4837902984842688,1.473596116432833,2.068148602451544,1.7790792282876475,0.2255162287925733,0.0175633628767292,0.6134810215837662,0.3067405107918831,0.0258013985301603,1.559147463178114,SBdisk+SBbul,,
D631-7,0.5,short_0p5Rd,0.0401301671543648,strong_bridge,0.5249462009026238,1.4370571427579286,1.497137521759197,2.01885435224608,2.2753427105783954,0.3388152828869434,0.0076991360481193,0.907574541424315,0.4537872707121575,0.0250635143177521,3.5199900224035345,SBdisk+SBbul,,
DDO064,0.5,short_0p5Rd,0.1549283765475171,strong_bridge,0.7528862076650595,1.8304815944298929,2.16606680857604,2.3685967486086668,1.6712482038601837,0.5153098032602057,0.0415603651880718,1.0011375905583526,0.5005687952791763,0.1021249725675154,2.4331984971369645,SBdisk+SBbul,,
DDO154,1.0,standard_1Rd,0.2228406513929126,moderate_bridge,0.6617902897565795,1.6732500401198562,2.153033407008284,2.313055767004932,2.379105091083992,0.5227474728387654,0.0157154306874798,0.440391488825231,0.440391488825231,0.0275912641572207,4.6184300862555405,SBdisk+SBbul,2.473392808180225,HIGH_massive
DDO161,0.5,short_0p5Rd,0.0861308843612431,strong_bridge,0.5093348567560048,1.4101119627608645,1.5430130405219509,1.952108602922066,2.3743134324704465,0.3007432627331975,0.0063874851086034,1.4036053154543735,0.7018026577271869,0.0249678513922604,4.341589251672761,SBdisk+SBbul,,
DDO168,0.5,short_0p5Rd,0.1196613689534188,strong_bridge,0.6521018767384863,1.6565278392506273,1.4794900361696266,2.221017625847644,1.716777588229303,0.3414189328725638,0.0243038056897444,1.024840073681334,0.5124200368406671,0.0494925901672738,2.222319668158801,SBdisk+SBbul,,
DDO170,1.5,extended_1p5_2Rd,0.1383421897866469,strong_bridge,0.7726442047065412,1.8645838973234896,2.163949395249844,2.393237988909165,1.6574729250064095,0.5273478184562311,0.0529064893747649,1.6909964625764278,2.536494693864641,0.0907368362997537,3.2224900742687863,SBdisk+SBbul,,
ESO079-G014,1.0,standard_1Rd,0.0360317949995929,strong_bridge,0.5962373333105795,1.5601056372940605,1.5058472576072564,2.1564898242950385,2.381248401472806,0.3145694048363551,0.0202451000893523,1.9735133665167848,1.9735133665167848,0.0700448831282864,3.845815920999651,SBdisk+SBbul,,
