N,lambda,d_RW,d_RW_std,d_port,xi_n,d_IPR
6,0.0,1.737486,0.313321,2.608693,0.305923,2.265466
6,0.1,1.735492,0.308726,2.611687,0.310529,2.259015
6,0.2,1.734058,0.30489,2.614167,0.314344,2.253985
6,0.3,1.733059,0.301682,2.616224,0.31751,2.25006
6,0.4,1.732396,0.298993,2.617935,0.320141,2.246991
6,0.5,1.731998,0.296731,2.619358,0.322326,2.244671
6,0.6,1.73181,0.294822,2.620545,0.324142,2.242937
6,0.7,1.731792,0.29321,2.621538,0.325652,2.241646
6,0.8,1.731914,0.291854,2.622372,0.326913,2.240675
6,0.9,1.732157,0.290724,2.623075,0.327969,2.23993
6,1.0,1.732503,0.289792,2.623671,0.328859,2.239336
8,0.0,1.702825,0.021493,2.609803,0.392358,2.308732
8,0.1,1.704115,0.021017,2.612682,0.395702,2.29353
8,0.2,1.705281,0.020585,2.615091,0.398607,2.283188
8,0.3,1.706321,0.02019,2.617093,0.401123,2.275952
8,0.4,1.707237,0.019829,2.618753,0.403299,2.270724
8,0.5,1.70803,0.019499,2.620127,0.405184,2.266853
8,0.6,1.708705,0.019198,2.621263,0.406825,2.263904
8,0.7,1.709266,0.018925,2.622204,0.408264,2.261571
8,0.8,1.70972,0.018678,2.622986,0.40954,2.259635
8,0.9,1.710072,0.018457,2.623641,0.410688,2.257947
8,1.0,1.710329,0.018261,2.624194,0.41174,2.256406
9,0.0,1.71904,0.007482,2.60769,0.356813,1.914828
9,0.1,1.71842,0.007453,2.611099,0.36042,1.930909
9,0.2,1.71798,0.007426,2.614009,0.36354,1.942889
9,0.3,1.717706,0.0074,2.616484,0.366226,1.95232
9,0.4,1.717583,0.007375,2.618575,0.368523,1.960122
9,0.5,1.717596,0.00735,2.620331,0.370472,1.966828
9,0.6,1.717728,0.007325,2.621795,0.372109,1.97276
9,0.7,1.717962,0.0073,2.623006,0.373464,1.978126
9,0.8,1.718283,0.007275,2.623996,0.374566,1.983063
9,0.9,1.718674,0.007249,2.624794,0.375439,1.987664
9,1.0,1.719119,0.007223,2.625424,0.376106,1.992003
12,0.0,1.719832,0.007217,2.603693,0.328224,1.833657
12,0.1,1.719442,0.007195,2.607039,0.331962,1.83979
12,0.2,1.719115,0.007174,2.609965,0.335273,1.844951
12,0.3,1.718842,0.007153,2.612525,0.338202,1.8494
12,0.4,1.718617,0.007133,2.614764,0.340789,1.853318
12,0.5,1.718434,0.007113,2.616721,0.343069,1.85683
12,0.6,1.718289,0.007093,2.618429,0.345071,1.860019
12,0.7,1.718178,0.007073,2.619918,0.346822,1.86294
12,0.8,1.718096,0.007054,2.621214,0.348347,1.86563
12,0.9,1.718041,0.007035,2.622339,0.349669,1.868115
12,1.0,1.718009,0.007016,2.623315,0.350808,1.870412
16,0.0,1.713792,0.004001,2.597293,0.3179,1.841871
16,0.1,1.713563,0.003986,2.600451,0.321531,1.842989
16,0.2,1.713357,0.003971,2.603153,0.324776,1.843911
16,0.3,1.713173,0.003957,2.605454,0.327676,1.844682
16,0.4,1.713009,0.003943,2.607405,0.330266,1.845336
16,0.5,1.712864,0.003929,2.609052,0.332578,1.845903
16,0.6,1.712736,0.003916,2.610434,0.334641,1.846404
16,0.7,1.712624,0.003902,2.611584,0.336479,1.846856
16,0.8,1.712526,0.003889,2.61253,0.338116,1.847272
16,0.9,1.712442,0.003876,2.613296,0.339573,1.84766
16,1.0,1.71237,0.003863,2.613903,0.34087,1.848027
