mode,metric,n,mean,std,median,q25,q75,min,max,positive_frac,negative_frac,nonzero_frac,t_stat,t_pvalue,sign_pvalue
free,delta_edge_mean,20,0.041629336840735366,0.04464675006168248,0.03928936276605417,0.0008965402341815643,0.0783970181153318,-0.027376564298070533,0.10569949701932949,0.75,0.25,1.0,4.169890390925029,0.0005198299664817097,0.04138946533203125
free,delta_node_mean,20,0.05050663230849339,0.049505750096775956,0.04616368824640017,0.0013082083702530764,0.09349882036109644,-0.01972483735579067,0.12343165102198274,0.75,0.25,1.0,4.562551337394373,0.00021276279599779474,0.04138946533203125
free,delta_near_edge_mean,20,0.04323050407166939,0.05815773171461588,0.049383656945300246,0.0234498129315309,0.0725813994685348,-0.07711697081766716,0.16268648441169192,0.8,0.2,1.0,3.324281843734306,0.003564816637728685,0.01181793212890625
free,delta_far_edge_mean,20,0.0048147220042082895,0.12031417806677419,0.048069915746774966,-0.09761750556791407,0.08194470243987355,-0.26222485914476845,0.20005686065104325,0.55,0.45,1.0,0.1789655361847483,0.8598593679804851,0.8238029479980469
free,delta_near_minus_far,20,0.038415782067461116,0.14031017312046246,0.005001777249641806,-0.030408873815017903,0.11585538413009841,-0.20123506137302427,0.342069935152163,0.55,0.45,1.0,1.2244343827857909,0.23575398534354594,0.8238029479980469
free,common_edge_delta_mean,20,0.027539577736182624,0.04351429594065747,0.022738922170865407,-0.007063802220088518,0.05966813977042315,-0.03373219965761941,0.10461724134688595,0.65,0.35,1.0,2.830351109149242,0.0106918301045202,0.26317596435546875
free,common_edge_delta_mean_near,20,0.04226081254961071,0.0565797881564818,0.037612032042790094,0.005626820964893032,0.08360829238518602,-0.08760473944690934,0.17316003221247314,0.85,0.15,1.0,3.340346534488748,0.003437943162675023,0.0025768280029296875
free,common_edge_delta_mean_far,20,-0.017898090675225475,0.11728270771247123,-0.009300235137334606,-0.08296649081355639,0.05271042133860794,-0.2444212615509841,0.24667191683927664,0.45,0.55,1.0,-0.6824765252755776,0.5031742588585699,0.8238029479980469
free,edge_jaccard,20,0.5686696445966625,0.07237124266977862,0.5535444947209653,0.5094339622641509,0.6081632653061224,0.48148148148148145,0.7021276595744681,1.0,0.0,1.0,35.140587204253755,9.43278343282338e-19,1.9073486328125e-06
free,edges_only_baseline,20,11.1,2.3147126683115777,11.5,9.75,13.0,7.0,14.0,1.0,0.0,1.0,21.445732673466026,8.921891080811635e-15,1.9073486328125e-06
free,edges_only_perturbed,20,11.1,2.3147126683115777,11.5,9.75,13.0,7.0,14.0,1.0,0.0,1.0,21.445732673466026,8.921891080811635e-15,1.9073486328125e-06
free,n_common_edges,20,28.9,2.314712668311578,28.5,27.0,30.25,26.0,33.0,1.0,0.0,1.0,55.83618687055567,1.5478802359051173e-22,1.9073486328125e-06
free,support_jaccard,20,0.5686696445966625,0.07237124266977862,0.5535444947209653,0.5094339622641509,0.6081632653061224,0.48148148148148145,0.7021276595744681,1.0,0.0,1.0,35.140587204253755,9.43278343282338e-19,1.9073486328125e-06
frozen_baseline,delta_edge_mean,20,0.07575910021117535,0.029627853622270606,0.06878612596276379,0.05195286627686071,0.09382945444901974,0.033212665917237094,0.12508753060749955,1.0,0.0,1.0,11.435354052044502,5.821675058874263e-10,1.9073486328125e-06
frozen_baseline,delta_node_mean,20,0.07514554699746738,0.033519972948435096,0.06400423335743612,0.04996982844900716,0.09341045830988104,0.03284994953004719,0.145305493853512,1.0,0.0,1.0,10.025697308958415,5.049798683783275e-09,1.9073486328125e-06
frozen_baseline,delta_near_edge_mean,20,0.09795350594514236,0.033960980080411186,0.0917539924973017,0.07650315116480541,0.11959381426544627,0.039438660078565446,0.17395863293707492,1.0,0.0,1.0,12.898962127073936,7.576848062290653e-11,1.9073486328125e-06
frozen_baseline,delta_far_edge_mean,20,0.005225770849740092,0.07173912753358315,0.0033576936206265173,-0.025688225670312426,0.03298538434763735,-0.1554372440317463,0.18635309167512773,0.5,0.5,1.0,0.3257686357946162,0.7481598911180986,1.0
frozen_baseline,delta_near_minus_far,20,0.09272773509540226,0.07985752427929509,0.08865851630350344,0.04505314029207356,0.1341461488495833,-0.09357610190880089,0.23020816358148521,0.95,0.05,1.0,5.192886229423757,5.176811741284089e-05,4.00543212890625e-05
frozen_baseline,common_edge_delta_mean,20,0.07575910021117535,0.029627853622270592,0.06878612596276379,0.051952866276860715,0.09382945444901974,0.03321266591723709,0.12508753060749953,1.0,0.0,1.0,11.435354052044508,5.821675058874216e-10,1.9073486328125e-06
frozen_baseline,common_edge_delta_mean_near,20,0.09795350594514236,0.033960980080411186,0.0917539924973017,0.07650315116480538,0.11959381426544632,0.039438660078565495,0.17395863293707495,1.0,0.0,1.0,12.898962127073936,7.576848062290653e-11,1.9073486328125e-06
frozen_baseline,common_edge_delta_mean_far,20,0.005225770849740088,0.07173912753358315,0.0033576936206264943,-0.02568822567031243,0.03298538434763734,-0.1554372440317463,0.18635309167512779,0.5,0.5,1.0,0.32576863579461596,0.7481598911180987,1.0
frozen_baseline,edge_jaccard,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,inf,0.0,1.9073486328125e-06
frozen_baseline,edges_only_baseline,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,
frozen_baseline,edges_only_perturbed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,
frozen_baseline,n_common_edges,20,40.0,0.0,40.0,40.0,40.0,40.0,40.0,1.0,0.0,1.0,inf,0.0,1.9073486328125e-06
