defect_strength,mode,metric,n,mean,std,median,q25,q75,min,max,positive_frac,negative_frac,nonzero_frac,t_stat,t_pvalue,sign_pvalue
0,frozen_baseline,delta_edge_mean,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,
0,frozen_baseline,delta_node_mean,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,
0,frozen_baseline,delta_near_edge_mean,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,
0,frozen_baseline,delta_far_edge_mean,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,
0,frozen_baseline,delta_near_minus_far,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,
0,frozen_baseline,common_edge_delta_mean,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,
0,frozen_baseline,common_edge_delta_mean_near,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,
0,frozen_baseline,common_edge_delta_mean_far,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,
0,frozen_baseline,edge_jaccard,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,inf,0.0,1.9073486328125e-06
0,frozen_baseline,edges_only_baseline,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,
0,frozen_baseline,edges_only_perturbed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,
0,frozen_baseline,n_common_edges,20,40.0,0.0,40.0,40.0,40.0,40.0,40.0,1.0,0.0,1.0,inf,0.0,1.9073486328125e-06
0,frozen_baseline,support_jaccard,20,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,inf,0.0,1.9073486328125e-06
0.2,frozen_baseline,delta_edge_mean,20,0.010442677604582083,0.01864334845874671,0.01573429745809239,-0.0005826096418548865,0.022212746919495076,-0.038283334647532946,0.04503910477950654,0.7,0.3,1.0,2.504972434820856,0.021513642789597484,0.11531829833984375
0.2,frozen_baseline,delta_node_mean,20,0.010438164601669894,0.01889954695068034,0.0158828327731943,-0.0018523759423682284,0.02171917882569818,-0.03545289020098312,0.04382513063910612,0.65,0.35,1.0,2.4699476310807227,0.023159432518044382,0.26317596435546875
0.2,frozen_baseline,delta_near_edge_mean,20,0.01667853726097022,0.024790594880923677,0.02167826004926863,0.007025040880353349,0.02583227956476873,-0.04371644154577378,0.06414584081869854,0.8,0.2,1.0,3.008749347075209,0.00722044005411499,0.01181793212890625
0.2,frozen_baseline,delta_far_edge_mean,20,-0.014486062840262742,0.03289710484636079,-0.005571929187907859,-0.03148176828348344,0.012273606564232015,-0.09409255333898747,0.026342905270506978,0.4,0.6,1.0,-1.9692809679417416,0.06367914650837779,0.5034446716308594
0.2,frozen_baseline,delta_near_minus_far,20,0.031164600101232964,0.04986910342643144,0.019100639178334475,0.004043064677277192,0.053301952795743096,-0.04097581401819256,0.1464543769668359,0.75,0.25,1.0,2.794763070916528,0.011554704216719657,0.04138946533203125
