
mode,metric,defect_radius,model,best_model,formula,params,rmse,r2
frozen_baseline,delta_edge_mean,1,linear_origin,quadratic,y = a x,[0.11307109968414548],0.006956344965086318,0.9716208620752029
frozen_baseline,delta_edge_mean,1,linear_affine,quadratic,y = a x + b,"[0.11941451025395973, -0.004651834417863807]",0.006442469994475025,0.975658811099973
frozen_baseline,delta_edge_mean,1,quadratic,quadratic,y = a x^2 + b x + c,"[-0.01074436922010288, 0.1301588794740626, -0.006084416980544177]",0.006352647925261508,0.9763328179742412
frozen_baseline,delta_edge_mean,2,linear_origin,quadratic,y = a x,[0.10983484260012247],0.007317790288381841,0.9625046374557035
frozen_baseline,delta_edge_mean,2,linear_affine,quadratic,y = a x + b,"[0.10855835167621539, 0.0009360933441985005]",0.007298715043388287,0.9626998606039989
frozen_baseline,delta_edge_mean,2,quadratic,quadratic,y = a x^2 + b x + c,"[-0.04674703871797854, 0.1553053903941939, -0.005296845151531933]",0.005613867543976203,0.9779330677664356
frozen_baseline,delta_edge_mean,3,linear_origin,quadratic,y = a x,[0.09743168092414144],0.012520797656637215,0.849161418089641
frozen_baseline,delta_edge_mean,3,linear_affine,quadratic,y = a x + b,"[0.08776065766543174, 0.007092083723053751]",0.011864509081408826,0.8645596733024743
frozen_baseline,delta_edge_mean,3,quadratic,quadratic,y = a x^2 + b x + c,"[-0.09791490808714118, 0.18567556575257282, -0.005963237355231692]",0.006731967543507777,0.9563953832822361
frozen_baseline,delta_near_minus_far,1,linear_origin,quadratic,y = a x,[0.12009578558712548],0.016558558806137935,0.8000395841157698
frozen_baseline,delta_near_minus_far,1,linear_affine,quadratic,y = a x + b,"[0.09998178890543692, 0.014750264233238244]",0.014316387732478893,0.8505259280442256
frozen_baseline,delta_near_minus_far,1,quadratic,quadratic,y = a x^2 + b x + c,"[-0.1386351781491662, 0.238616967054603, -0.0037344261866505486]",0.003689991998901807,0.9900699871438715
frozen_baseline,delta_near_minus_far,2,linear_origin,quadratic,y = a x,[0.06571820457904329],0.0162320032206649,0.493499686613284
frozen_baseline,delta_near_minus_far,2,linear_affine,quadratic,y = a x + b,"[0.050430226555873786, 0.011211183883657631]",0.01494942978497929,0.5703797599414887
frozen_baseline,delta_near_minus_far,2,quadratic,quadratic,y = a x^2 + b x + c,"[-0.13425430496386526, 0.18468453151973893, -0.006689390111524375]",0.006636591237684662,0.9153307687500692
frozen_baseline,delta_near_minus_far,3,linear_origin,quadratic,y = a x,[0.04547958334695099],0.01573658246216505,0.34156067692472836
frozen_baseline,delta_near_minus_far,3,linear_affine,quadratic,y = a x + b,"[0.035369604521058993, 0.0074139844723207894]",0.015170711085774273,0.38806288975144354
frozen_baseline,delta_near_minus_far,3,quadratic,quadratic,y = a x^2 + b x + c,"[-0.12045619646560166, 0.15582580098666055, -0.008646841723092737]",0.009257342897594108,0.7721402496858947
frozen_baseline,common_edge_delta_mean,1,linear_origin,quadratic,y = a x,[0.11307109968414548],0.00695634496508632,0.9716208620752029
frozen_baseline,common_edge_delta_mean,1,linear_affine,quadratic,y = a x + b,"[0.11941451025395973, -0.004651834417863812]",0.006442469994475026,0.975658811099973
frozen_baseline,common_edge_delta_mean,1,quadratic,quadratic,y = a x^2 + b x + c,"[-0.010744369220102927, 0.13015887947406263, -0.006084416980544182]",0.0063526479252615075,0.9763328179742412
frozen_baseline,common_edge_delta_mean,2,linear_origin,quadratic,y = a x,[0.10983484260012247],0.007317790288381841,0.9625046374557035
frozen_baseline,common_edge_delta_mean,2,linear_affine,quadratic,y = a x + b,"[0.10855835167621539, 0.0009360933441985005]",0.007298715043388287,0.9626998606039989
frozen_baseline,common_edge_delta_mean,2,quadratic,quadratic,y = a x^2 + b x + c,"[-0.04674703871797858, 0.15530539039419394, -0.005296845151531945]",0.005613867543976205,0.9779330677664356
frozen_baseline,common_edge_delta_mean,3,linear_origin,quadratic,y = a x,[0.09743168092414144],0.012520797656637224,0.8491614180896407
frozen_baseline,common_edge_delta_mean,3,linear_affine,quadratic,y = a x + b,"[0.08776065766543173, 0.0070920837230537695]",0.011864509081408832,0.8645596733024742
frozen_baseline,common_edge_delta_mean,3,quadratic,quadratic,y = a x^2 + b x + c,"[-0.09791490808714129, 0.18567556575257294, -0.005963237355231692]",0.006731967543507781,0.9563953832822361
