name,R_kpc,theta_arcsec,x_over_Rd,d_used,f_d,v_bary_kms,alpha_bary_arcsec,alpha_bup_arcsec,alpha_ratio_bup_over_bary
NGC3198,0.32,0.07184057625969514,0.1009282371885767,2.998463223712041,0.99648184422145,59.86101048694665,0.07472416668880674,0.07885244591268745,1.0552469088223249
NGC3198,0.64,0.1436811525193903,0.2018564743771534,2.9929081091916903,0.9887157185363914,69.6801838253554,0.09301294729871165,0.10137217842144616,1.089871693839448
NGC3198,0.96,0.2155217287790854,0.3027847115657301,2.984426754027762,0.9815661460136632,74.71274665390402,0.1060824774178963,0.11893920642975996,1.1211955953971218
NGC3198,1.28,0.2873623050387806,0.4037129487543069,2.9740718527155843,0.9767562400356826,78.23253967828099,0.1162585965358588,0.13388452981367172,1.1516097200810125
NGC3198,1.61,0.3614478993065912,0.5077951933550267,2.9621724511611567,0.9746909206854462,79.66977305394133,0.12438822905574627,0.14719785963048393,1.18337451017584
NGC3198,1.93,0.4332884755662863,0.6087234305436033,2.9499252738608006,0.9754497268974556,78.67634697874047,0.13241491350121976,0.1604233398436194,1.211520180029734
NGC3198,2.24,0.5028840338178661,0.7064976603200371,2.9376942774008596,0.9785854064323266,82.3359270884584,0.14192011362996518,0.17507137397559078,1.2335909935364229
NGC3198,2.57,0.5769696280856765,0.8105799049207568,2.9244993409145144,0.9842694946508111,84.10086787726291,0.15152531494724605,0.1903213564190976,1.256036699117626
NGC3198,4.17,0.9361725093841523,1.3152210908636404,2.8619313230547414,1.0385561981980802,109.27961898807797,0.19356370002675605,0.26180965426311775,1.3525762021852659
NGC3198,4.5,1.010258103651963,1.4193033354643605,2.8497362401400306,1.0540261722127675,114.0402298996733,0.1990480004901594,0.27365804701820784,1.374834443673485
NGC3198,4.82,1.082098679911658,1.520231572652937,2.8382057724703635,1.0701186848355275,118.73392185069028,0.2032128767704008,0.2839999111639174,1.3975487955165038
NGC3198,5.15,1.1561842741794688,1.6243138172536569,2.8266295311508047,1.0877371113972256,122.55651814727977,0.2060569251208031,0.2931544529539266,1.4226867298056673
NGC3198,5.46,1.2257798324310483,1.7220880470300903,2.816050553252713,1.1051526043507502,126.1593081864356,0.20777869446517075,0.30072983291282435,1.4473564466602935
NGC3198,5.78,1.2976204086907437,1.8230162842186672,2.805432131248805,1.123935687127734,129.34489042828352,0.20834474031126876,0.3071812403121271,1.4743892255364635
NGC3198,6.1,1.3694609849504387,1.923944521407244,2.795119115397147,1.1434722247515783,132.21660357496103,0.20767447013927104,0.3121748015372588,1.503192960251241
NGC3198,6.43,1.4435465792182491,2.0280267660079634,2.7848003628844897,1.1643462399817366,134.60471887062135,0.20549508017640455,0.31551155116580487,1.5353727733771443
NGC3198,6.74,1.5131421374698288,2.125800995784397,2.775395345373985,1.1845764703151251,135.1440289776725,0.20197137887468566,0.316786884107514,1.568474136645204
NGC3198,7.06,1.5849827137295238,2.226729232972974,2.7659744196629314,1.206043764299234,133.94481261802466,0.1975398080043868,0.31696063112843653,1.6045405446652945
NGC3198,8.04,1.8049944785248402,2.53582195936299,2.738870598063602,1.2750502175249196,129.39152833207135,0.1851844176878947,0.3177144324743882,1.7156650459103764
NGC3198,9.04,2.0294962793363878,2.851222700577292,2.713761505660186,1.349731639420856,125.33435049788221,0.17533033562528258,0.32015690800917374,1.826021189472971
NGC3198,10.04,2.253998080147935,3.1666234417915944,2.6909993139874526,1.427856746699029,123.47083753009521,0.1678713573015794,0.32421766245797057,1.9313459286298402
