center,alpha,R2_free,R2_newton,n_pairs
595,0.14162576339143743,0.883512225895867,0.8609544528631508,109
590,0.805816233909731,0.8868971078797422,0.8856364464645308,99
579,0.37580037747965883,0.9088602742423284,0.8965742558329832,104
3,0.44892734458719813,0.9037413028877206,0.8932719544574838,106
312,0.556011429760853,0.931362814974603,0.9238984887959241,114
732,0.3739840962694164,0.8364339794108141,0.8229552139442277,96
15,0.11311927956162265,0.8712707110539201,0.8471126700730792,91
232,0.8040180379788207,0.8697969253808439,0.8684969531671516,105
156,0.45827919870246636,0.8024606790956343,0.792809756012028,86
287,0.8228279618910032,0.8090791005558986,0.808090408612085,119
1,0.6120930139422811,0.9369580134343464,0.9320990894562644,125
114,0.236194051159943,0.867731611766029,0.8452424520523731,90
626,0.8434695212747395,0.845023569120253,0.8441678903565587,128
38,0.22061069961475482,0.8573028940116827,0.841803613737806,101
196,0.4265802707601439,0.874239671137926,0.8628350933788358,100
553,-0.01876208525267852,0.8233707686142165,0.7970602432584439,97
206,0.255928179969343,0.8938759540010738,0.8772266439101684,104
597,0.751414884062396,0.8312693159684846,0.829119208143611,108
5,1.2284962865259117,0.8441071939737124,0.8429996985511933,134
305,0.9117968455712229,0.8595523673248606,0.8592862551667471,117
502,0.5187259275805516,0.8772715995680344,0.8667447065940337,100
798,0.6096099296384496,0.8317155001273696,0.8284535307195665,112
375,0.41466236251730504,0.8386699816876158,0.8240876032189636,104
96,-0.14513551033277403,0.9015391086438995,0.8601285373777756,87
756,0.6462724900172313,0.9221630411566603,0.9183305302513818,117
548,0.4139786974566108,0.9103966463755983,0.8996255031334941,91
518,0.8947280933121174,0.872984596725042,0.8725604635602497,91
324,0.29012723907882776,0.8805766136000857,0.8604277215978554,101
278,0.8997765284810472,0.9236896130846507,0.9233128770946625,128
430,0.6971638534729543,0.7850024748971997,0.7817745559313535,101
115,0.4220585758704138,0.872679081064454,0.8599232167020309,115
528,0.26016476841091546,0.9394942159066675,0.9204546096345009,114
374,0.31435745573480567,0.8151203810295781,0.7956601304151065,113
700,0.3908548251022674,0.8883009071966869,0.8722645946973345,118
519,0.7716625243667646,0.898921539487195,0.8974358360638971,98
22,0.23399943410017623,0.8359561021834998,0.816600876759523,109
301,0.6157483644213018,0.7083599333293364,0.7031280477928643,119
350,0.5333860639214867,0.8843775934067748,0.8794600314142669,104
351,0.5931974184901645,0.9132529434641135,0.908545098558366,118
366,0.43319783221736674,0.9045904831656639,0.8926158375353626,106
692,0.8371261288419527,0.8451774727835449,0.8441653621175995,121
656,0.7563198219067994,0.9239113337778369,0.9223068331901821,106
86,0.538271079174711,0.896077858045607,0.8895193371927597,84
26,0.1829880977006229,0.8813703390393538,0.8560125814734119,96
466,0.2921663006152307,0.890298766834921,0.8759501358238448,101
439,0.5714836203725648,0.8571742173502397,0.8514498192926963,85
19,0.9730621754730757,0.8610677066229023,0.8610363957702429,111
378,1.2782089014878402,0.8902395096785299,0.8891853162084895,97
604,0.5112837691218143,0.9023611520459608,0.894487725245029,103
535,1.601594046609287,0.868492708087441,0.8608820231030941,84
249,0.471016376845553,0.9267192242887972,0.9162470389251135,133
491,0.8660034401210284,0.9104400889775384,0.9098962178905725,83
496,1.0926585830128293,0.8799218429544075,0.8796170451225838,101
399,0.4535058413656856,0.9033596448856955,0.891800198292263,116
418,0.5307406825817559,0.8140482092842897,0.8072861110534864,95
177,-0.21082892784472118,0.8817701195440556,0.8282846904592678,111
484,0.09607032546495146,0.8400529432163701,0.8147360877564268,87
169,0.5230905050246102,0.9051243538777929,0.8966650325700166,88
186,0.3671527225534254,0.9240742375093344,0.9076161010438817,108
679,0.43930161311736743,0.8981183636247245,0.8849429454358348,120
403,0.5998393634845491,0.8266543333098245,0.8210618685614772,107
793,0.5806244248596701,0.8061165983688556,0.798443655819582,112
725,0.8798441313445188,0.8782654994192615,0.877960347997314,106
119,0.5552466302476233,0.90178633402314,0.8936559730205708,114
201,1.1505617631656553,0.9028141733480353,0.9023365716763236,80
363,0.2257478390552796,0.8059061299863184,0.784223249838592,103
501,0.782342927967149,0.9341311609948162,0.9324132305948988,130
490,0.6229061454333695,0.8924754954763829,0.8884212009554425,96
371,0.6950513409881367,0.8723635926411157,0.8690760007346925,104
525,0.10202426187705176,0.9143237367163105,0.8854319314474217,87
521,0.6407495941291568,0.8497813225613352,0.8450768735845993,106
49,0.6544887578772972,0.9209970454354468,0.9172500539554607,112
684,0.888652666677931,0.8497993556416005,0.8494113157743539,99
36,0.4622333912849835,0.8543891625782979,0.8442031185069041,112
702,0.1674186844761835,0.9042834513439798,0.878716810470391,102
270,0.6819256527917612,0.8879993267216703,0.8841324853573879,106
498,0.20188402649767728,0.8714619830213329,0.8484809716029909,112
609,0.7240065250625948,0.8966417967057954,0.8939444487229787,104
179,1.2948777164275251,0.8694086373103052,0.8680895199621931,105
770,0.30883546848573445,0.8635390039350922,0.8499527008620023,109
461,0.5575438066708588,0.8613841311213821,0.8549031143735276,92
716,0.42125225245355513,0.8911790295161257,0.877970200365881,113
176,0.7926311468401306,0.9023288968974432,0.9006905382816429,99
673,0.2307267127682942,0.8908976624596238,0.8704779267457776,115
261,0.3948718770970897,0.7911016137201072,0.7765036328931442,87
662,0.2833514152385812,0.9085606890631802,0.8878013159033267,96
