center,alpha,R2_free,R2_newton,n_pairs
595,1.3462807323249268,0.893275330254113,0.8900740208219357,218
590,1.6188501400075546,0.9163883531958912,0.9081705528585172,187
579,1.3097843899815522,0.8949683754122014,0.8917598135411228,224
3,0.5432125080114156,0.8790906457532108,0.8740071948030825,182
312,1.3793535512935422,0.913652957282423,0.9090585103423662,190
732,1.4134689223913834,0.8993154753932054,0.8941592409129067,214
15,1.1536092788580201,0.9317936068902343,0.9311522816398728,202
232,1.666519412411786,0.8247111589634811,0.8131933549042998,208
156,1.9177429380298112,0.7782525888123842,0.7645940302898833,189
287,1.0452128414158905,0.8650412120908335,0.8649911891846213,183
1,0.959242290932163,0.8946438145297195,0.8946029878381644,231
114,1.179562229681822,0.8086586453569838,0.8080293925921097,205
626,1.5884247880905737,0.8880195480246071,0.8799353248200685,209
38,1.1600542757360908,0.8678000123085158,0.8671520759886744,188
196,2.0827335398285687,0.826266727446672,0.8069672078761666,217
553,2.1096115981513592,0.9248014852250696,0.8921803438670968,227
206,0.9934515014724755,0.8863296841385018,0.8863287140581718,196
597,0.7155686531334358,0.9181570951179235,0.9158711022803174,206
5,1.5643067966678148,0.8651420609159752,0.8566484574437591,226
305,1.071067580782902,0.7648011691710283,0.76468636294776,199
502,1.517537343513927,0.891235658848764,0.8835946196438964,212
798,1.3892455783358018,0.8771179025229678,0.8736777040657393,183
375,1.3813589213264155,0.8801345490298124,0.8760448086900211,208
96,1.9988906113487022,0.8192352916972172,0.8010190202692415,195
756,0.8771106558835856,0.8629822591407743,0.8626784776326482,206
548,1.1807329720700044,0.8041510427366305,0.8033014688819462,203
518,1.9669213541413124,0.8689659396143106,0.8388999478772126,222
324,1.038088640646251,0.8827051682039765,0.8826683464543708,192
278,1.8298538537397175,0.8601486460782277,0.8459313555092685,156
430,0.9057212319250274,0.9205188104415646,0.9203297598596534,197
115,1.1363730319794092,0.921776717792732,0.9211870705050744,193
528,1.1516557153092712,0.8494703193009815,0.8489401251199361,206
374,1.5880790125557191,0.840636395706017,0.8323814627820082,219
700,0.9809940237296122,0.8053423691073263,0.8053333984879572,202
519,1.9972999563667082,0.9224521917200473,0.8891443437411441,228
22,1.2377830563099521,0.8920851589032159,0.8908110790674794,181
301,0.9607548528679006,0.9192796496778938,0.9192390062373218,211
350,1.0758935123425852,0.89525451960372,0.8951338691626178,227
351,1.3912614745277743,0.9036179099322893,0.8987477197662891,166
366,0.7427101699121412,0.8876167827804236,0.8856494775383489,211
692,1.834120953614967,0.907365783084108,0.8893025820049423,197
656,1.138957532768475,0.8229877849699148,0.8224427347857819,206
86,0.7027592257837217,0.8040434474270812,0.8018142431196538,227
26,1.6054125550924794,0.8360944524351038,0.8278426490706297,203
466,1.1279778042438837,0.9279429187189528,0.9274670108450833,214
439,0.5233469827571549,0.8917196327360134,0.8852327494861794,208
19,1.0309802946439213,0.8849488026852086,0.8849272935627474,186
378,2.0519742306040514,0.8885006096431624,0.858134038828704,201
604,0.9790232996039748,0.8615189950904623,0.8615079968289578,210
535,1.3779654239373713,0.920031463137701,0.9152740012519832,179
