N,seed,lambda,k,tau,Z,d_s_tau
3000,0,0.3,24,0.01,442.66668893379153,0.28340271576467885
3000,0,0.3,24,0.01373823795883263,423.18652181120814,0.3348764061639109
3000,0,0.3,24,0.018873918221350976,398.003593295847,0.4556860107820846
3000,0,0.3,24,0.02592943797404667,366.1664793861778,0.6175955246745559
3000,0,0.3,24,0.035622478902624426,327.11571109049873,0.8320986453820289
3000,0,0.3,24,0.04893900918477494,281.12945939514856,1.1111906639274238
3000,0,0.3,24,0.06723357536499334,229.84429346933462,1.463831755193933
3000,0,0.3,24,0.09236708571873861,176.60318395940675,1.8879495127515664
3000,0,0.3,24,0.12689610031679222,126.19056832582437,2.3559845047299834
3000,0,0.3,24,0.17433288221999882,83.56706496767615,2.7988616810013127
3000,0,0.3,24,0.2395026619987486,51.87725753483211,3.1152833763705488
3000,0,0.3,24,0.32903445623126676,31.0699740399688,3.2423045564740605
3000,0,0.3,24,0.4520353656360243,18.525186448717243,3.2307338842461073
3000,0,0.3,24,0.6210169418915616,11.135825672623605,3.1892414222026444
3000,0,0.3,24,0.8531678524172805,6.727709323041122,3.1581965876232214
3000,0,0.3,24,1.1721022975334805,4.08421975055665,3.0785690581900056
3000,0,0.3,24,1.6102620275609392,2.53067866740845,2.8159479148880466
3000,0,0.3,24,2.212216291070448,1.669946247431624,2.2370777747738875
3000,0,0.3,24,3.039195382313198,1.2435823584485572,1.40973980090213
3000,0,0.3,24,4.175318936560401,1.0672240980950678,0.6478810809292946
3000,0,0.3,24,5.736152510448681,1.0123056126488337,0.20093446310265747
3000,0,0.3,24,7.880462815669913,1.0012453791071168,0.038335637705726684
3000,0,0.3,24,10.82636733874054,1.0000551958705592,0.003916316798242181
3000,0,0.3,24,14.873521072935118,1.000000790103485,0.00017377923715558254
3000,0,0.3,24,20.433597178569418,1.0000000024189168,2.487743670353365e-06
3000,0,0.3,24,28.072162039411758,1.0000000000008984,7.616286214798258e-09
3000,0,0.3,24,38.56620421163472,1.0,2.828709974012809e-12
3000,0,0.3,24,52.98316906283707,1.0,-0.0
3000,0,0.3,24,72.78953843983146,1.0,-0.0
3000,0,0.3,24,100.0,1.0,-0.0
