N,seed,k,lambda,tau,m2_mean,m2_std,n_centers_used
3000,0,24,0.3,0.07999999999999999,0.20180172750836967,0.017922238409135052,25
3000,0,24,0.3,0.14310199353066447,0.30772167501398495,0.02262874986599722,25
3000,0,24,0.3,0.25597725690562934,0.5193485959592553,0.0302972523679375,25
3000,0,24,0.3,0.45788569702133275,0.9032189210492316,0.04020968997003865,25
3000,0,24,0.3,0.8190544506616321,1.4953696720420853,0.04521543407640532,25
3000,0,24,0.3,1.4651040587480353,2.1793761806755088,0.038764900208515564,25
3000,0,24,0.3,2.620741394208897,2.675609166574932,0.0322879804760827,25
3000,0,24,0.3,4.687916475495328,2.853857809171978,0.03465080495264833,25
3000,0,24,0.3,8.385627414357849,2.874999876280288,0.035709754564580067,25
3000,0,24,0.3,15.000000000000004,2.8754146911955973,0.03574545391011,25
