xi,h0,j0,control_mode,ground_state_energy,mean_single_site_entropy,max_single_site_entropy,mean_mutual_information,max_mutual_information,verdict,corr_rho_sigma,rmse_normalized,kl_rho_ent_to_sigma,kl_sigma_to_rho_ent,R_ent_fit,R_sigma_fit,R_d_target,R_d_relative_error,J_eff_mean,J_eff_sum_norm,J_eff_max,J_eff_spectral,J_eff_mean_over_h0,J_eff_spectral_over_h0,xi_over_h0,h0_over_xi
2.0,0.3,1.0,inverted_sigma,-3.6171222538969854,0.024711156661324497,0.03176944194962208,0.0046469224811636215,0.05142102963614149,weak_or_failed_closure,-0.8785062731571813,0.34437925823848087,0.5848333327320978,0.56782700611985,12610415.046870068,2.999999999747567,3.0,4203470.682290022,0.009319973286885469,0.009319973286885469,0.062176524022116285,0.10383343776240754,0.031066577622951563,0.34611145920802516,6.666666666666667,0.15
2.0,0.5,1.0,inverted_sigma,-6.010125526133995,0.009919128271984731,0.012941113287973368,0.001840244744141728,0.021435304956596204,weak_or_failed_closure,-0.8974150918197137,0.3576459492356631,0.6297331515576085,0.6256783792748408,6389999.251580385,2.999999999747567,3.0,2129998.7505267947,0.009319973286885469,0.009319973286885469,0.062176524022116285,0.10383343776240754,0.018639946573770938,0.20766687552481508,4.0,0.25
2.0,0.8,1.0,inverted_sigma,-9.60628036949349,0.00426791131980735,0.00561392773363492,0.0007872635456014967,0.009405557906582387,weak_or_failed_closure,-0.9048887080997448,0.3647296467882999,0.6545557021575905,0.6592508582011507,3194899.643134747,2.999999999747567,3.0,1064965.5477115824,0.009319973286885469,0.009319973286885469,0.062176524022116285,0.10383343776240754,0.011649966608606836,0.12979179720300943,2.5,0.4
2.0,1.0,1.0,inverted_sigma,-12.005011887335936,0.0028544497070606568,0.0037653150505903422,0.000525634442630065,0.006331441779758635,weak_or_failed_closure,-0.9070352301003629,0.36710263329576903,0.6629990713359701,0.6709656014837269,1597442.0835067916,2.999999999747567,3.0,532479.6945022639,0.009319973286885469,0.009319973286885469,0.062176524022116285,0.10383343776240754,0.009319973286885469,0.10383343776240754,2.0,0.5
2.5,0.3,1.0,inverted_sigma,-3.6361799468371663,0.04922136035749323,0.062258883114041375,0.010091750663599406,0.0893120775435512,weak_or_failed_closure,-0.805326745563468,0.31887546197487227,0.5035920304135912,0.47163770132935157,25984861.021029435,2.999999999747567,3.0,8661619.340343146,0.01480590081630575,0.01480590081630575,0.08677432947392923,0.16449259073887718,0.04935300272101917,0.5483086357962573,8.333333333333334,0.12
2.5,0.5,1.0,inverted_sigma,-6.020897889130568,0.019110298052634273,0.024787964548477634,0.0037160799060058564,0.037889457476849984,weak_or_failed_closure,-0.8706259731946596,0.34283643586381213,0.578938766246154,0.5615411628345554,7914647.04825649,2.999999999747567,3.0,2638214.6827521636,0.01480590081630575,0.01480590081630575,0.08677432947392923,0.16449259073887718,0.0296118016326115,0.32898518147775435,5.0,0.2
2.5,0.8,1.0,inverted_sigma,-9.612823791319872,0.008136320098170675,0.010690838438681311,0.0015504675503441375,0.01680980765843975,weak_or_failed_closure,-0.8898429075866322,0.3552139124724387,0.6204791668768105,0.6147175054451682,6389928.845735973,2.999999999747567,3.0,2129975.281911991,0.01480590081630575,0.01480590081630575,0.08677432947392923,0.16449259073887718,0.018507376020382188,0.20561573842359646,3.125,0.32
2.5,1.0,1.0,inverted_sigma,-12.010200376377504,0.005430226088256151,0.007165571139043552,0.0010288466756859225,0.011363674587694328,weak_or_failed_closure,-0.8947901241294678,0.35924425563993884,0.634399424135629,0.6332098882424584,3194915.2934369133,2.999999999747567,3.0,1064970.764478971,0.01480590081630575,0.01480590081630575,0.08677432947392923,0.16449259073887718,0.01480590081630575,0.16449259073887718,2.5,0.4
3.0,0.3,1.0,inverted_sigma,-3.6652182718849495,0.08955350899590143,0.109651525486369,0.02185894606092448,0.12995862205992398,weak_or_failed_closure,-0.6758163372184662,0.2936266747739851,0.43368498472671935,0.391835937854216,53732327.94356451,2.999999999747567,3.0,17910774.98118817,0.02088020905314153,0.02088020905314153,0.10836802322189584,0.23175248737600007,0.0696006968438051,0.7725082912533336,10.0,0.09999999999999999
3.0,0.5,1.0,inverted_sigma,-6.035863164475102,0.03181504573069791,0.04051912945855714,0.006722117519150479,0.05528268319792646,weak_or_failed_closure,-0.8424870462718859,0.32510723210536374,0.5242951183150338,0.4935412464353131,13381564.430187095,2.999999999747567,3.0,4460520.476729032,0.02088020905314153,0.02088020905314153,0.10836802322189584,0.23175248737600007,0.04176041810628306,0.46350497475200014,6.0,0.16666666666666666
