site,x,y,R,theta,ring_id,sigma_target,sigma_coupling
0,1.6666666666666667,0.0,1.6666666666666667,0.0,0,0.5737534207374327,0.18887560283756183
1,1.020538999289461e-16,1.6666666666666667,1.6666666666666667,1.5707963267948966,0,0.5737534207374327,0.5737534207374327
2,-1.6666666666666667,2.041077998578922e-16,1.6666666666666667,3.141592653589793,0,0.5737534207374327,0.18887560283756183
3,-3.061616997868383e-16,-1.6666666666666667,1.6666666666666667,4.71238898038469,0,0.5737534207374327,0.5737534207374327
4,5.0,0.0,5.0,0.0,1,0.18887560283756183,0.18887560283756183
5,3.061616997868383e-16,5.0,5.0,1.5707963267948966,1,0.18887560283756183,0.18887560283756183
6,-5.0,6.123233995736766e-16,5.0,3.141592653589793,1,0.18887560283756183,0.5737534207374327
7,-9.184850993605148e-16,-5.0,5.0,4.71238898038469,1,0.18887560283756183,0.06217652402211629
8,8.333333333333334,0.0,8.333333333333334,0.0,2,0.06217652402211629,0.5737534207374327
9,5.102694996447306e-16,8.333333333333334,8.333333333333334,1.5707963267948966,2,0.06217652402211629,0.06217652402211629
10,-8.333333333333334,1.0205389992894611e-15,8.333333333333334,3.141592653589793,2,0.06217652402211629,0.06217652402211629
11,-1.5308084989341915e-15,-8.333333333333334,8.333333333333334,4.71238898038469,2,0.06217652402211629,0.06217652402211629
