site,x,y,R,theta,ring_id,sigma_target,sigma_coupling
0,1.25,0.0,1.25,0.0,0,0.6592406302004438,0.6592406302004438
1,7.654042494670958e-17,1.25,1.25,1.5707963267948966,0,0.6592406302004438,0.6592406302004438
2,-1.25,1.5308084989341916e-16,1.25,3.141592653589793,0,0.6592406302004438,0.6592406302004438
3,-2.296212748401287e-16,-1.25,1.25,4.71238898038469,0,0.6592406302004438,0.6592406302004438
4,3.75,0.0,3.75,0.0,1,0.2865047968601901,0.2865047968601901
5,2.2962127484012875e-16,3.75,3.75,1.5707963267948966,1,0.2865047968601901,0.2865047968601901
6,-3.75,4.592425496802575e-16,3.75,3.141592653589793,1,0.2865047968601901,0.2865047968601901
7,-6.888638245203861e-16,-3.75,3.75,4.71238898038469,1,0.2865047968601901,0.2865047968601901
8,6.25,0.0,6.25,0.0,2,0.12451447144412296,0.12451447144412296
9,3.827021247335479e-16,6.25,6.25,1.5707963267948966,2,0.12451447144412296,0.12451447144412296
10,-6.25,7.654042494670958e-16,6.25,3.141592653589793,2,0.12451447144412296,0.12451447144412296
11,-1.1481063742006436e-15,-6.25,6.25,4.71238898038469,2,0.12451447144412296,0.12451447144412296
12,8.75,0.0,8.75,0.0,3,0.05411376622282161,0.05411376622282161
13,5.357829746269671e-16,8.75,8.75,1.5707963267948966,3,0.05411376622282161,0.05411376622282161
14,-8.75,1.0715659492539341e-15,8.75,3.141592653589793,3,0.05411376622282161,0.05411376622282161
15,-1.607348923880901e-15,-8.75,8.75,4.71238898038469,3,0.05411376622282161,0.05411376622282161
