xi,h0,j0,control_mode,ground_state_energy,mean_single_site_entropy,max_single_site_entropy,mean_mutual_information,max_mutual_information,verdict,corr_rho_sigma,rmse_normalized,kl_rho_ent_to_sigma,kl_sigma_to_rho_ent,R_ent_fit,R_sigma_fit,R_d_target,R_d_relative_error,J_eff_mean,J_eff_sum_norm,J_eff_max,J_eff_spectral,J_eff_mean_over_h0,J_eff_spectral_over_h0,xi_over_h0,h0_over_xi
2.0,0.3,1.0,none,-5.831869799522724,0.4311905321610217,0.9157176447812372,0.1829155043717225,0.8396077887120863,moderate_closure,0.9361770824853883,0.07328270860090182,0.042704703994983426,0.046403697406322796,3.9920736780234094,2.9999999983495673,3.0,0.33069122600780315,0.02797071067630068,0.02797071067630068,0.27238190276929,0.8403949114567957,0.09323570225433561,2.8013163715226526,6.666666666666667,0.15
2.0,0.5,1.0,none,-8.485505175534664,0.2293935584435793,0.6246397953362275,0.06240683997470513,0.4881517155156665,strong_closure,0.9920019696838633,0.045607640799744435,0.04754423179071317,0.07547312482007458,2.75876356900064,2.9999999983495673,3.0,0.08041214366645333,0.02797071067630068,0.02797071067630068,0.27238190276929,0.8403949114567957,0.05594142135260136,1.6807898229135914,4.0,0.25
2.0,0.8,1.0,none,-13.029177507775765,0.08473634904031392,0.26193046134473386,0.016825583543975467,0.1888096794046346,moderate_closure,0.9966987304827845,0.08287748972794466,0.08466237348411722,0.14011395675419014,2.0418601643264225,2.9999999983495673,3.0,0.31937994522452584,0.02797071067630068,0.02797071067630068,0.27238190276929,0.8403949114567957,0.03496338834537585,1.0504936393209945,2.5,0.4
2.0,1.0,1.0,none,-16.166772101972857,0.05182152643473358,0.16448675523249412,0.009485434168023613,0.11728003505309645,weak_or_failed_closure,0.9933061506790724,0.09810881096057951,0.10087934925451807,0.16348191710228804,1.8644964441519305,2.9999999983495673,3.0,0.37850118528268983,0.02797071067630068,0.02797071067630068,0.27238190276929,0.8403949114567957,0.02797071067630068,0.8403949114567957,2.0,0.5
2.5,0.3,1.0,none,-6.657903866278526,0.5560579768058501,0.9593434003869008,0.30752679549722295,0.9188423203319912,weak_or_failed_closure,0.8715086300564285,0.10876537077466569,0.07005415645691272,0.06825689142199326,5.551480982347101,2.9999999983495673,3.0,0.8504936607823671,0.03868983555665047,0.03868983555665047,0.32505091484750603,1.0712339465549876,0.12896611852216824,3.5707798218499587,8.333333333333334,0.12
2.5,0.5,1.0,none,-8.984866505452528,0.37330184677978806,0.8265738942803833,0.14396141635087709,0.7032296989850517,moderate_closure,0.9519481558263172,0.06412322546582758,0.03237022647606018,0.03417873701292701,3.8736288126720204,2.9999999983495673,3.0,0.2912096042240068,0.03868983555665047,0.03868983555665047,0.32505091484750603,1.0712339465549876,0.07737967111330094,2.142467893109975,5.0,0.2
2.5,0.8,1.0,none,-13.236037950154737,0.15786420596718498,0.4340523541662397,0.03919491399137203,0.31405670874793945,strong_closure,0.9953437470827889,0.04018305446435296,0.036232809406945274,0.05302042243016144,2.726602959525282,2.9999999983495673,3.0,0.09113234682490597,0.03868983555665047,0.03868983555665047,0.32505091484750603,1.0712339465549876,0.04836229444581308,1.3390424331937345,3.125,0.32
2.5,1.0,1.0,none,-16.3026914231206,0.09374567088274711,0.27269965562862575,0.020217648886579197,0.19076639917487714,moderate_closure,0.9988729226839648,0.05483979747640923,0.049352079116689394,0.07473713554781643,2.3913321042598192,2.9999999983495673,3.0,0.20288929858006025,0.03868983555665047,0.03868983555665047,0.32505091484750603,1.0712339465549876,0.03868983555665047,1.0712339465549876,2.5,0.4
3.0,0.3,1.0,none,-7.547394743316296,0.6503886296865423,0.9740655464774503,0.4235929469893268,0.9480402720336152,weak_or_failed_closure,0.8183414643134586,0.13389915262508748,0.11686434276510185,0.1135791260782743,7.393955543016229,2.9999999983495673,3.0,1.4646518476720765,0.048957724799405966,0.048957724799405966,0.3657071810183646,1.2734181486531881,0.1631924159980199,4.244727162177294,10.0,0.09999999999999999
3.0,0.5,1.0,none,-9.619955600393462,0.4830253446383795,0.9060822630281202,0.2363730212171146,0.8207840982618895,weak_or_failed_closure,0.9075831303917787,0.09394874592987511,0.051175043705773575,0.04992084445293463,4.993408526751446,2.9999999983495673,3.0,0.6644695089171485,0.048957724799405966,0.048957724799405966,0.3657071810183646,1.2734181486531881,0.09791544959881193,2.5468362973063763,6.0,0.16666666666666666
3.0,0.8,1.0,none,-13.528616975295805,0.2508300985726195,0.606194019531318,0.07850757024894706,0.45522040337861225,strong_closure,0.9763867122886163,0.04496314313533355,0.021281149404612565,0.02362312798010087,3.4764384538474458,2.9999999983495673,3.0,0.1588128179491486,0.048957724799405966,0.048957724799405966,0.3657071810183646,1.2734181486531881,0.06119715599925746,1.5917726858164851,3.75,0.26666666666666666
3.0,1.0,1.0,none,-16.484379042547964,0.1500031668040337,0.3968903319279652,0.03846171230615906,0.2784661073198398,strong_closure,0.9926336452919259,0.032257709274289954,0.022805255953773012,0.02975594651247726,2.9599825096269066,2.9999999983495673,3.0,0.013339163457697811,0.048957724799405966,0.048957724799405966,0.3657071810183646,1.2734181486531881,0.048957724799405966,1.2734181486531881,3.0,0.3333333333333333
4.0,0.3,1.0,none,-9.320075420126207,0.7795378424308279,0.985308771249624,0.610158157688232,0.9705544847716359,weak_or_failed_closure,0.7556484696142511,0.16388488377909194,0.20778371318001582,0.1930906598503317,12.369457136150398,2.9999999983495673,3.0,3.1231523787167994,0.06751392140617093,0.06751392140617093,0.42375136251913426,1.608428015112671,0.22504640468723647,5.361426717042237,13.333333333333334,0.075
4.0,0.5,1.0,none,-11.02009493848549,0.6289091082534243,0.9533886804985723,0.4001175725863257,0.9074352270217075,weak_or_failed_closure,0.8397839170202426,0.1321860264955926,0.11663827411559766,0.1130552887377784,7.4693507259761995,2.9999999983495673,3.0,1.4897835753253998,0.06751392140617093,0.06751392140617093,0.42375136251913426,1.608428015112671,0.13502784281234187,3.216856030225342,8.0,0.125
4.0,0.8,1.0,none,-14.34781581656289,0.4283421402995135,0.8212860509896683,0.19479553723484624,0.6877416446252268,weak_or_failed_closure,0.9231986462525286,0.09081855477202187,0.04755073775069732,0.04663736515327724,5.0394048360656525,2.9999999983495673,3.0,0.6798016120218842,0.06751392140617093,0.06751392140617093,0.42375136251913426,1.608428015112671,0.08439240175771366,2.0105350188908386,5.0,0.2
