xi,h0,j0,ground_state_energy,mean_single_site_entropy,max_single_site_entropy,mean_mutual_information,max_mutual_information,corr_rho_sigma,rmse_normalized,kl_rho_ent_to_sigma,kl_sigma_to_rho_ent,R_ent_fit,R_sigma_fit,R_d_target,R_d_relative_error,verdict
0.8,0.1,1.0,-1.2113965326325253,0.041529713733580616,0.12124976475731845,0.008149097636385147,0.1005932587490653,0.9764480630516457,0.20174119958204237,0.259153809367114,0.5330087616353145,0.9305465136557142,2.999999999747567,3.0,0.6898178287814286,weak_or_failed_closure
0.8,0.2,1.0,-2.4052444971096785,0.011426474146840277,0.03341982660179689,0.00215454443117475,0.028510144060498677,0.9756392104163145,0.20469678790522966,0.26840794308008803,0.5604059768387855,0.8914405567450701,2.999999999747567,3.0,0.7028531477516434,weak_or_failed_closure
0.8,0.3,1.0,-3.6034095748894184,0.005440346007410643,0.01592087812219809,0.0010153764603862655,0.013774235740875166,0.9754451933550339,0.2054252991300999,0.27081902634824545,0.5685873965518278,0.8815086819744901,2.999999999747567,3.0,0.70616377267517,weak_or_failed_closure
0.8,0.5,1.0,-6.00200727181206,0.002146758351835932,0.006286404107308413,0.00039779088224089283,0.005514919849409323,0.9752856092598627,0.20606038798881265,0.27300859944880973,0.5768379500390026,0.872904333279391,2.999999999747567,3.0,0.7090318889068697,weak_or_failed_closure
0.8,0.8,1.0,-9.601241789550558,0.0009124721252224003,0.002673474403246244,0.0001684393237731626,0.002368201185191378,0.9751772364823112,0.2065173886038301,0.27463971421386607,0.5835043804137408,0.8667654293132081,2.999999999747567,3.0,0.7110781902289306,weak_or_failed_closure
0.8,1.0,1.0,-12.000990128083497,0.0006073788308705344,0.0017800092458479474,0.00011197836799932079,0.001582734635582094,0.9751334024924005,0.20670805571551365,0.2753327299537719,0.5864529897342672,0.8642127040852389,2.999999999747567,3.0,0.7119290986382537,weak_or_failed_closure
1.2,0.1,1.0,-1.327779817947728,0.2672810883215837,0.7005195427128783,0.07546846823100359,0.5974130082313804,0.9980428409147031,0.09746877320845064,0.0794170642148232,0.15132088794316562,1.9635538546383997,2.999999999747567,3.0,0.34548204845386676,moderate_closure
1.2,0.2,1.0,-2.4506195113549416,0.08579354086381191,0.24086043857180367,0.018537245300784988,0.19269195722932386,0.9855606561157892,0.16329045117908736,0.164815079621118,0.2915909577039315,1.3250032687936093,2.999999999747567,3.0,0.5583322437354635,weak_or_failed_closure
1.2,0.3,1.0,-3.630499220859335,0.039113427418763544,0.11079541662653511,0.007931214820306643,0.08897139386202063,0.9825832043548444,0.17531526408277104,0.18791834128149895,0.3299714641939951,1.2077048459209938,2.999999999747567,3.0,0.5974317180263354,weak_or_failed_closure
1.2,0.5,1.0,-6.016924161803941,0.014752508267513079,0.04195826744352446,0.0028754445178786436,0.034187998531569175,0.9810007904381773,0.18136843273643083,0.20077863009324098,0.3524612838928691,1.1459549003297496,2.999999999747567,3.0,0.6180150332234168,weak_or_failed_closure
