geometry,N_input,N_actual,target_dim,expected_curvature,k,kernel_factor,epsilon,density,alpha_idleness,i,j,edge_weight,intrinsic_edge_length,graph_distance,kappa_OR
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,16,22,0.6065306597126336,0.294524311274043,0.294524311274043,0.0327832118151814
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,64,70,0.6065306597126336,0.294524311274043,0.294524311274043,0.06556642363036291
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,60,63,0.8824969025845948,0.14726215563702194,0.14726215563702194,-0.13113284726072494
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,79,85,0.6065306597126336,0.294524311274043,0.294524311274043,0.0327832118151814
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,45,46,0.9862071167439164,0.04908738521234035,0.04908738521234035,0.3933985417821789
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,42,45,0.8824969025845955,0.1472621556370215,0.1472621556370215,-0.06556642363036302
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,87,93,0.6065306597126336,0.294524311274043,0.294524311274043,0.0327832118151814
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,62,66,0.8007374029168077,0.1963495408493623,0.1963495408493623,-0.0983496354455442
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,16,21,0.7066482778577161,0.24543692606170264,0.24543692606170264,1.1102230246251565e-16
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,34,38,0.8007374029168085,0.19634954084936185,0.19634954084936185,0.0491748177227721
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,3,8,0.7066482778577162,0.2454369260617026,0.2454369260617026,0.03933985417821795
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,109,112,0.8824969025845948,0.14726215563702194,0.14726215563702194,-0.13113284726072472
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,115,116,0.9862071167439164,0.04908738521234035,0.04908738521234035,-1.7763568394002505e-15
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,45,48,0.8824969025845955,0.1472621556370215,0.1472621556370215,0.13113284726072594
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,50,56,0.6065306597126336,0.294524311274043,0.294524311274043,0.0327832118151814
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,95,96,0.9862071167439164,0.04908738521234035,0.04908738521234035,-1.7763568394002505e-15
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,105,106,0.9862071167439164,0.04908738521234035,0.04908738521234035,0.1966992708910894
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,64,67,0.8824969025845955,0.1472621556370215,0.1472621556370215,0.06556642363036314
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,17,23,0.6065306597126336,0.294524311274043,0.294524311274043,0.06556642363036325
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,38,39,0.9862071167439161,0.04908738521234057,0.04908738521234057,0.19669927089108952
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,63,64,0.9862071167439164,0.04908738521234035,0.04908738521234035,-1.7763568394002505e-15
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,50,54,0.8007374029168085,0.19634954084936185,0.19634954084936185,-6.661338147750939e-16
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,8,14,0.6065306597126334,0.2945243112740431,0.2945243112740431,3.3306690738754696e-16
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,65,68,0.8824969025845948,0.14726215563702194,0.14726215563702194,-0.13113284726072472
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,38,41,0.8824969025845955,0.1472621556370215,0.1472621556370215,0.06556642363036291
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,11,12,0.9862071167439161,0.04908738521234057,0.04908738521234057,5.551115123125783e-16
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,28,30,0.9459594689067656,0.09817477042468092,0.09817477042468092,-6.661338147750939e-16
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,71,74,0.8824969025845955,0.1472621556370215,0.1472621556370215,0.06556642363036314
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,124,126,0.9459594689067649,0.09817477042468159,0.09817477042468159,2.4424906541753444e-15
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,23,25,0.9459594689067653,0.09817477042468115,0.09817477042468115,-0.19669927089108907
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,105,111,0.6065306597126336,0.294524311274043,0.294524311274043,2.220446049250313e-16
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,27,32,0.7066482778577161,0.24543692606170264,0.24543692606170264,-0.03933985417821795
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,17,20,0.8824969025845955,0.1472621556370215,0.1472621556370215,0.13113284726072616
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,121,122,0.9862071167439164,0.04908738521234035,0.04908738521234035,-1.3322676295501878e-15
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,8,13,0.7066482778577161,0.24543692606170264,0.24543692606170264,-0.03933985417821795
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,116,118,0.9459594689067659,0.0981747704246807,0.0981747704246807,0.1966992708910883
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,14,20,0.6065306597126334,0.2945243112740431,0.2945243112740431,0.03278321181518162
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,39,44,0.7066482778577167,0.24543692606170242,0.24543692606170242,-6.661338147750939e-16
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,24,29,0.7066482778577161,0.24543692606170264,0.24543692606170264,-0.03933985417821795
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,76,82,0.6065306597126336,0.294524311274043,0.294524311274043,0.03278321181518107
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,95,98,0.8824969025845961,0.14726215563702105,0.14726215563702105,-1.1102230246251565e-15
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,13,14,0.9862071167439163,0.04908738521234046,0.04908738521234046,0.1966992708910894
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,17,21,0.8007374029168081,0.19634954084936207,0.19634954084936207,0.0
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,122,127,0.7066482778577161,0.24543692606170264,0.24543692606170264,2.220446049250313e-16
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,22,23,0.9862071167439161,0.04908738521234057,0.04908738521234057,0.19669927089109052
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,1,2,0.9862071167439163,0.04908738521234052,0.04908738521234052,3.3306690738754696e-16
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,18,24,0.6065306597126334,0.2945243112740431,0.2945243112740431,0.03278321181518162
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,121,126,0.7066482778577161,0.24543692606170264,0.24543692606170264,-0.03933985417821795
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,27,29,0.9459594689067653,0.09817477042468115,0.09817477042468115,-0.19669927089108863
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,23,26,0.8824969025845951,0.14726215563702172,0.14726215563702172,-0.13113284726072605
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,66,69,0.8824969025845955,0.1472621556370215,0.1472621556370215,0.06556642363036291
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,72,76,0.8007374029168085,0.19634954084936185,0.19634954084936185,-0.04917481772277266
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,115,117,0.9459594689067659,0.0981747704246807,0.0981747704246807,0.09834963544554398
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,18,19,0.9862071167439163,0.04908738521234046,0.04908738521234046,0.39339854178217915
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,98,101,0.8824969025845948,0.14726215563702194,0.14726215563702194,-0.13113284726072494
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,12,15,0.8824969025845955,0.1472621556370215,0.1472621556370215,-4.440892098500626e-16
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,72,78,0.6065306597126336,0.294524311274043,0.294524311274043,0.03278321181518162
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,4,8,0.8007374029168081,0.19634954084936207,0.19634954084936207,5.551115123125783e-16
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,108,110,0.9459594689067649,0.09817477042468159,0.09817477042468159,2.220446049250313e-15
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,89,90,0.9862071167439164,0.04908738521234035,0.04908738521234035,-1.7763568394002505e-15
circle,128,128,1,compact_1d_geodesic,11,0.5,0.04337228496572472,0.0890748031496063,0.5,31,36,0.7066482778577161,0.24543692606170264,0.24543692606170264,-0.07867970835643545
