geometry,N_actual,n_edges,target_dim,expected_curvature,k,epsilon,density,mean_kappa,median_kappa,std_kappa,q10_kappa,q90_kappa,positive_fraction,negative_fraction
circle,128,600,1,compact_1d_geodesic,11,0.04337228496572472,0.0890748031496063,0.004720782501386307,3.3306690738754696e-16,0.12180115648598566,-0.09834963544554645,0.13113284726072616,0.5583333333333333,0.4066666666666667
circle,256,600,1,compact_1d_geodesic,16,0.024396910293220136,0.06274509803921569,5.3660779523549233e-17,0.0,1.9515034742735226e-15,-1.5543122344752192e-15,1.3322676295501878e-15,0.4483333333333333,0.47
circle,512,600,1,compact_1d_geodesic,23,0.010843071241431204,0.04556782045009785,0.003940549411450504,1.1102230246251565e-16,0.08584466432323173,-0.062123659037359946,0.062123659037363055,0.5016666666666667,0.46
embedded_torus,121,600,2,mixed_curvature,11,0.687182829154414,0.11060606060606061,0.12164510138228299,0.17535449258203362,0.15875254039467493,-0.12481760955338161,0.28305093114048163,0.7466666666666667,0.25333333333333335
embedded_torus,256,600,2,mixed_curvature,16,0.5085103894107407,0.06715686274509804,0.027463741925919032,0.031723325789484835,0.04564417888696524,-0.03568858351557669,0.08505336027851551,0.7683333333333333,0.23166666666666666
embedded_torus,529,600,2,mixed_curvature,23,0.3628757091189882,0.04563355673941685,0.006281385931401447,0.011831716089072575,0.032622418514584965,-0.040947945100779655,0.03973082725212965,0.6416666666666667,0.35833333333333334
flat_torus2d,121,600,2,flat_periodic,11,0.01652892561983472,0.0943526170798898,-0.003466130393118538,1.6653345369377348e-16,0.04607200770872492,-0.07165342332453695,0.04197360359305302,0.5233333333333333,0.3383333333333333
flat_torus2d,256,600,2,flat_periodic,16,0.009765625000000002,0.07352941176470588,0.000658957115727136,0.0,0.041019069340528354,-0.044537077681372834,0.04327967686673262,0.46,0.38333333333333336
flat_torus2d,529,600,2,flat_periodic,23,0.0075614366729678684,0.04441628000229134,-0.0016709680680738364,-2.220446049250313e-16,0.024022340132442966,-0.035747284345818885,0.025634244267612183,0.415,0.5166666666666667
sphere,128,600,2,positive_curvature,11,0.20654908566399807,0.09018208661417323,0.01833179307695056,0.022773367474731798,0.04394605933376203,-0.040357949108753385,0.06872992934306563,0.7416666666666667,0.25833333333333336
sphere,256,600,2,positive_curvature,16,0.13320134212632276,0.06464460784313726,0.013089299384579119,0.011334471470315188,0.033005228433887625,-0.026528314384410077,0.05058358357462026,0.635,0.365
sphere,512,600,2,positive_curvature,23,0.1013041099599799,0.04587359344422701,0.008854117619033583,0.008781886196974065,0.03426690158987045,-0.0315692530433183,0.05054025010000412,0.6366666666666667,0.36333333333333334
