geometry,N_actual,k,epsilon,density,sigma,perturbation_strength,i,j,edge_distance_to_source,phi_edge,edge_weight_before,edge_weight_after,edge_factor,kappa_before,kappa_after,delta_kappa,abs_delta_kappa
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,85,118,0.13975424859373686,0.5926852214060021,0.6065306597126334,0.4986861322102403,0.8221944335781994,0.014143992324036847,0.01301154491758827,-0.0011324474064485779,0.0011324474064485779
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,121,139,0.08838834764831845,0.7712327848288665,0.6065306597126334,0.46619776078035424,0.76863016455134,0.012638432368057173,0.006889129051265819,-0.005749303316791354,0.005749303316791354
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,91,123,0.19764235376052372,0.5065501597266163,0.6703200460356393,0.5684548281194476,0.8480349520820151,0.005791178843825517,0.0027097969849733117,-0.0030813818588522057,0.0030813818588522057
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,211,227,0.4419417382415922,0.06472196150751988,0.9048374180359596,0.8872685622737536,0.9805834115477441,-0.22600907426858674,-0.22419084611718554,0.0018182281514012022,0.0018182281514012022
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,218,234,0.3365728004459065,0.18495278566520523,0.9048374180359596,0.8546317577240009,0.9445141643004384,-0.16703065316959131,-0.16312363444059952,0.003907018728991796,0.003907018728991796
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,36,52,0.40019526483955303,0.10150424090106909,0.9048374180359596,0.8772839674589726,0.9695487277296793,0.01158235768765048,0.014165427282660237,0.002583069595009757,0.002583069595009757
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,31,46,0.5303300858899106,0.017385152759108468,0.8187307530779818,0.8144606253147296,0.9947844541722675,0.005629938266860535,0.007146518264927848,0.0015165799980673134,0.0015165799980673134
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,93,125,0.31868871959954903,0.2276076585433737,0.6703200460356393,0.6245490531897818,0.9317177024369879,0.005791178843825517,0.004455095368699369,-0.0013360834751261486,0.0013360834751261486
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,10,11,0.5153882032022076,0.02968219936954074,0.9048374180359596,0.8967801486442105,0.9910953401891378,1.1102230246251565e-16,-0.0003630649713393108,-0.00036306497133942184,0.00036306497133942184
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,-0.3,145,162,0.39528470752104744,0.10871014093025574,0.8187307530779818,0.7920294524126693,0.9673869577209233,3.3306690738754696e-16,0.00028777507807253855,0.0002877750780722055,0.0002877750780722055
