geometry,perturbation_strength,r_min,r_max,r_mid,n_edges,mean_delta_kappa,median_delta_kappa,mean_abs_delta_kappa,mean_phi_edge
flat_torus2d,-0.3,0.0,0.06643841132959157,0.03321920566479578,30,-0.009466622965620227,-0.00992111747048885,0.009466622965620227,0.8769911177755909
flat_torus2d,-0.3,0.06643841132959157,0.13287682265918313,0.09965761699438735,41,-0.006450399278821793,-0.0065973931980065625,0.006487122287000974,0.7603005536846755
flat_torus2d,-0.3,0.13287682265918313,0.1993152339887747,0.1660960283239789,105,-0.002808234042665788,-0.0029310426189599337,0.003988481029788296,0.5713797725353335
flat_torus2d,-0.3,0.1993152339887747,0.26575364531836626,0.23253443965357048,97,-0.00017006737100699773,-0.0005585792186608707,0.00318389361085492,0.36705645142413845
flat_torus2d,-0.3,0.26575364531836626,0.3321920566479578,0.29897285098316206,110,0.0011999420306042538,0.0016749377617374939,0.0028354821672531795,0.23919011563168308
flat_torus2d,-0.3,0.3321920566479578,0.3986304679775494,0.3654112623127536,151,0.0011426651268627123,0.0010127330974657456,0.002166061150332933,0.14049848966820153
flat_torus2d,-0.3,0.3986304679775494,0.46506887930714097,0.43184967364234517,190,0.0013676635533417755,0.001199436431745693,0.0017006625002861605,0.07009501601807443
flat_torus2d,-0.3,0.46506887930714097,0.5315072906367325,0.4982880849719368,100,0.0009968837964055188,0.0009663546029468617,0.0011303412911407794,0.032715633688743376
flat_torus2d,-0.3,0.5315072906367325,0.5979457019663241,0.5647264963015284,56,0.0006659096022678766,0.00043873753866313647,0.0006673198598565605,0.015522455744138217
flat_torus2d,-0.3,0.5979457019663241,0.6643841132959156,0.6311649076311199,17,0.0005057382296242321,0.0005373734661497931,0.0005057382296242321,0.0059540896199660066
flat_torus2d,-0.15,0.0,0.06643841132959157,0.03321920566479578,23,-0.004287385861459661,-0.004584629035802812,0.004287385861459661,0.8883780970246743
flat_torus2d,-0.15,0.06643841132959157,0.13287682265918313,0.09965761699438735,43,-0.002985328137780374,-0.0032784805402197303,0.002985328137780374,0.7610147919238445
flat_torus2d,-0.15,0.13287682265918313,0.1993152339887747,0.1660960283239789,94,-0.001633872459887819,-0.0016498206033211948,0.0019395728737052506,0.592365237688893
flat_torus2d,-0.15,0.1993152339887747,0.26575364531836626,0.23253443965357048,97,-0.00026404025457726107,-0.0002604420584423339,0.001436967278150718,0.3753897019573739
flat_torus2d,-0.15,0.26575364531836626,0.3321920566479578,0.29897285098316206,102,0.00031278454140419007,0.0002901566348995077,0.0012038323688899628,0.24029940616717402
flat_torus2d,-0.15,0.3321920566479578,0.3986304679775494,0.3654112623127536,163,0.0007252870064035602,0.000805044718376724,0.0011772393390621424,0.1332120484733126
flat_torus2d,-0.15,0.3986304679775494,0.46506887930714097,0.43184967364234517,181,0.0007674323102157939,0.0007025382714251904,0.000918473230116936,0.07085029661737834
flat_torus2d,-0.15,0.46506887930714097,0.5315072906367325,0.4982880849719368,117,0.0004616746732001943,0.0003511130872694279,0.0005493856624080516,0.03347469154849838
flat_torus2d,-0.15,0.5315072906367325,0.5979457019663241,0.5647264963015284,59,0.00032265373697071276,0.00027880693855930616,0.0003245938789184137,0.01435572478634394
flat_torus2d,-0.15,0.5979457019663241,0.6643841132959156,0.6311649076311199,17,0.00025434191504837474,0.0002441761665625819,0.00025434191504837474,0.005170840145585023
flat_torus2d,0.15,0.0,0.06643841132959157,0.03321920566479578,23,0.0033715328453372477,0.0035850356411283313,0.0033715328453372477,0.8883780970246743
flat_torus2d,0.15,0.06643841132959157,0.13287682265918313,0.09965761699438735,43,0.002474612138130481,0.002502565341244045,0.002474612138130481,0.7610147919238445
flat_torus2d,0.15,0.13287682265918313,0.1993152339887747,0.1660960283239789,94,0.001441341624874318,0.001503738400907395,0.001592365143614945,0.592365237688893
flat_torus2d,0.15,0.1993152339887747,0.26575364531836626,0.23253443965357048,97,0.00020170840841356676,0.00017969508380555332,0.001193594150490074,0.3753897019573739
flat_torus2d,0.15,0.26575364531836626,0.3321920566479578,0.29897285098316206,102,-0.00034375859514498787,-0.00032887063948672246,0.001094346429779321,0.24029940616717402
flat_torus2d,0.15,0.3321920566479578,0.3986304679775494,0.3654112623127536,163,-0.0007959725793195054,-0.0007715191037915847,0.0011304022531132274,0.1332120484733126
flat_torus2d,0.15,0.3986304679775494,0.46506887930714097,0.43184967364234517,181,-0.0008255115982322618,-0.0008297058917664524,0.0009522814093402436,0.07085029661737834
flat_torus2d,0.15,0.46506887930714097,0.5315072906367325,0.4982880849719368,117,-0.0005031515952975409,-0.000478298887273354,0.0005786095548258307,0.03347469154849838
flat_torus2d,0.15,0.5315072906367325,0.5979457019663241,0.5647264963015284,59,-0.00034551672438300326,-0.0002910314320130336,0.00034667982667233174,0.01435572478634394
flat_torus2d,0.15,0.5979457019663241,0.6643841132959156,0.6311649076311199,17,-0.0002596232796935066,-0.000248115856140263,0.0002596232796935066,0.005170840145585023
flat_torus2d,0.3,0.0,0.06643841132959157,0.03321920566479578,30,0.00599271740339465,0.0060757179624423285,0.00599271740339465,0.8769911177755909
flat_torus2d,0.3,0.06643841132959157,0.13287682265918313,0.09965761699438735,41,0.004583482277239785,0.004587016182161285,0.004583482277239785,0.7603005536846755
flat_torus2d,0.3,0.13287682265918313,0.1993152339887747,0.1660960283239789,105,0.0024620888604161397,0.0024882031440445207,0.002737448642024527,0.5713797725353335
flat_torus2d,0.3,0.1993152339887747,0.26575364531836626,0.23253443965357048,97,0.00037889255279021175,0.0006119616066918576,0.002176405012422966,0.36705645142413845
flat_torus2d,0.3,0.26575364531836626,0.3321920566479578,0.29897285098316206,110,-0.0009080540694315741,-0.001274259037612191,0.0021586601758383167,0.23919011563168308
flat_torus2d,0.3,0.3321920566479578,0.3986304679775494,0.3654112623127536,151,-0.0011855479556702668,-0.0011455816378280748,0.0019072482686571478,0.14049848966820153
