geometry,laplacian,N_input,N_actual,target_dim,k,epsilon,density,mean_degree_weighted,std_degree_weighted,lambda2,eval_max,t_min,t_max,plateau_t_min,plateau_t_max,ds_plateau_median,ds_plateau_std,ds_abs_error,plateau_score
interval,unnormalized_rescaled,64,64,1,8,0.003149407911312673,0.13194444444444445,6.9792572757680915,0.58386605231041,18.36291303886193,3103.237755851524,1.6112204069997233e-05,2.7228795286555925,0.0029270959392868274,0.020281497964111356,0.806569319243124,0.07044045277271575,0.19343068075687597,0.22865090714323386
interval,unnormalized_rescaled,128,128,1,11,0.0011160022320044654,0.09042814960629922,9.393016526627992,0.6809747234470811,30.051001890819446,11302.256192272593,4.4238954726743185e-06,1.663838037136291,0.0008773385392845615,0.006913514151308138,0.861687011960484,0.0627775992506552,0.13831298803951597,0.16970178766484356
interval,unnormalized_rescaled,256,256,1,16,0.0006228373702422141,0.06384803921568627,13.814817452578456,0.7477750020872515,38.10007975890146,28941.61306532099,1.727616214312257e-06,1.3123332107544556,0.00034866217093941764,0.0030762982875069643,0.9008263350508976,0.061477989443266316,0.0991736649491024,0.12991265967073556
interval,unnormalized_rescaled,512,512,1,23,0.0002757342381501296,0.04640869618395303,19.805646673973065,0.9363578757062261,61.64506518469379,90570.38263165961,5.520568484660691e-07,0.8110949327443454,0.00014428936766164166,0.001415555347049962,0.9176764641619783,0.03994588136107243,0.08232353583802166,0.10229647651855787
interval,unnormalized_rescaled,1024,1024,1,32,0.0001380754857247145,0.03154020039100684,27.5010485861471,1.0022303349844592,77.50871328469555,249814.16130851285,2.001487815506645e-07,0.6450887633284028,5.26638205743937e-05,0.0005862296548932044,0.9445147309571063,0.03527839247075935,0.05548526904289375,0.07312446527827342
circle,unnormalized_rescaled,64,64,1,8,0.11807873565164495,0.12698412698412698,6.918913106702318,5.768888059150692e-16,1.9217705607390625,78.18985708747788,0.0006394691314509067,26.017674024921742,0.14738445364471142,0.8122123460287756,1.0219930079619388,0.024969223349117983,0.021993007961938815,0.03447761963649781
circle,unnormalized_rescaled,128,128,1,11,0.043059664267791134,0.08870570866141732,9.407148385291723,0.2678836296549403,3.101001752762025,283.1173466032383,0.0001766052154694364,16.12382190866729,0.0774927334101855,0.4863216546964321,1.0113089778452302,0.01434101162943359,0.011308977845230217,0.01847948365994701
circle,unnormalized_rescaled,256,256,1,16,0.024297869961471437,0.06274509803921569,13.779546261511177,3.3009303617866928e-15,3.894697610173204,704.0783394866203,7.101482490777599e-05,12.837967155497964,0.04483720218410411,0.3140573164633628,1.0068156286226682,0.0060803254244407735,0.006815628622668157,0.009855791334888543
circle,unnormalized_rescaled,512,512,1,23,0.010823490035219051,0.04548373287671233,19.67111758305783,0.25984209161218746,6.08674032090824,2209.381023558184,2.2630772812321683e-05,8.214577485464204,0.026791875637379396,0.20992062654090482,1.003458295698671,0.004727139647896455,0.0034582956986710656,0.005821865522619293
circle,unnormalized_rescaled,1024,1024,1,32,0.005435429265744534,0.03128054740957967,27.477086358447487,8.600467185921585e-15,7.871268543424767,6043.552125447595,8.273280177309122e-06,6.352216256395839,0.014819366548105175,0.1309788292995944,1.0021089184122474,0.0019145527576801956,0.0021089184122473625,0.0030661947910874602
grid2d,unnormalized_rescaled,64,64,2,8,0.04081632653061224,0.1378968253968254,6.697228191177137,0.8217988063380093,11.728139175982546,245.29879410346228,0.00020383304444175526,4.263250908753917,0.004522197436275999,0.05238210304142281,2.0578919692869846,0.445458057881892,0.05789196928698459,0.28062099822793063
grid2d,unnormalized_rescaled,128,121,2,11,0.024999999999999988,0.1012396694214876,9.27016739378048,1.1333901513338343,17.139008561092325,546.472762777083,9.149586842335634e-05,2.9173216071264587,0.00187933201851156,0.05559337351737546,1.9173763876015766,0.6611817794737141,0.08262361239842342,0.4132145021352805
grid2d,unnormalized_rescaled,256,256,2,16,0.011111111111111112,0.06911764705882353,12.392719368842535,1.3943165246725913,33.42812594838298,1503.323622209414,3.3259638351531846e-05,1.4957464285376325,0.0007551807667759005,0.0249951409936816,2.054830781300197,0.7794862643677817,0.05483078130019692,0.44457391348408776
grid2d,unnormalized_rescaled,512,529,2,23,0.00826446280991736,0.04697972160164977,18.483000669722994,1.6561448352555836,43.1811877775725,2965.6334402145567,1.685980449302683e-05,1.157911641003286,0.0012542583983997755,0.011125180880852417,1.9356661755995503,1.02769433013389,0.06433382440044966,0.5781809894673947
grid2d,unnormalized_rescaled,1024,1024,2,32,0.005202913631633717,0.03377207050342131,25.297962040209978,2.2843699415384844,64.93109435297919,6676.080260701731,7.489424639533084e-06,0.7700470860415413,8.556024639993018e-05,0.0005473093190406531,1.993757845976944,1.0337007311025874,0.006242154023055946,0.5230925195743497
sphere,unnormalized_rescaled,64,64,2,8,0.3264422246070632,0.13442460317460317,6.611808350151714,0.34624456798422754,2.9579951174186165,29.224632289668214,0.001710885512755502,16.903340950621313,0.15866661522927905,0.6963982550173837,1.968012165887334,0.49456879734864256,0.031987834112666036,0.2792722327869873
sphere,unnormalized_rescaled,128,128,2,11,0.19953585315519323,0.09018208661417323,8.831026887971612,0.3237977571132761,4.086300682752573,58.36402959498679,0.0008566920472587585,12.236006080276868,0.07139103966681563,0.4654831051186329,1.997618651842794,0.6080177559750117,0.0023813481572059203,0.3063902261447118
sphere,unnormalized_rescaled,256,256,2,16,0.1302703772480864,0.06464460784313726,12.603764243231247,0.39992087567899826,6.327425848433057,120.77444993969185,0.0004139948476268554,7.902107618121223,0.043556884396425855,0.21252904727564256,2.0199815277656334,0.5751243054920907,0.019981527765633444,0.3075436805116788
sphere,unnormalized_rescaled,512,512,2,23,0.09960519918291774,0.04587359344422701,18.420153058924143,0.38669891394241596,8.375057930303488,224.6416149123786,0.00022257674749846546,5.97010795818915,0.03375594859869601,0.17396877471498837,1.8888113697102362,0.3575173754228008,0.11118863028976378,0.2899473180011642
