geometry,laplacian,N_actual,target_dim,t,Z,ds
interval,unnormalized_rescaled,64,1,1.611220406999722e-05,61.76033903072764,0.07325731498860003
interval,unnormalized_rescaled,64,1,1.7116922124406323e-05,61.62364885203964,0.0755294038898171
interval,unnormalized_rescaled,64,1,1.8184291965279285e-05,61.47881097528799,0.08021370372327397
interval,unnormalized_rescaled,64,1,1.9318220406403212e-05,61.32536451424415,0.08518678096646681
interval,unnormalized_rescaled,64,1,2.0522857881018503e-05,61.162825682917784,0.09046620741385425
interval,unnormalized_rescaled,64,1,2.1802613633338426e-05,60.99068707432708,0.0960705929307295
interval,unnormalized_rescaled,64,1,2.3162171857375058e-05,60.80841697666273,0.10201964244032524
interval,unnormalized_rescaled,64,1,2.4606508842143345e-05,60.61545873815322,0.10833421540279176
interval,unnormalized_rescaled,64,1,2.6140911185998595e-05,60.411230193496586,0.11503638779075231
interval,unnormalized_rescaled,64,1,2.777099514677617e-05,60.195123166435216,0.12214951654544848
interval,unnormalized_rescaled,64,1,2.950272719855861e-05,59.96650306492043,0.12969830647101332
interval,unnormalized_rescaled,64,1,3.1342445870313454e-05,59.72470858734951,0.13770887949173982
interval,unnormalized_rescaled,64,1,3.32968849463355e-05,59.46905156056347,0.14620884615942487
interval,unnormalized_rescaled,64,1,3.537319811341244e-05,59.19881693267009,0.15522737925134322
interval,unnormalized_rescaled,64,1,3.757898514492822e-05,58.91326294630193,0.1647952892436848
interval,unnormalized_rescaled,64,1,3.992231971774358e-05,58.611621520627956,0.17494510137953512
interval,unnormalized_rescaled,64,1,4.24117789636701e-05,58.29309887329694,0.18571113397203476
interval,unnormalized_rescaled,64,1,4.5056474863702536e-05,57.95687641648523,0.19712957748900806
interval,unnormalized_rescaled,64,1,4.786608759991956e-05,57.60211196432333,0.20923857385513145
interval,unnormalized_rescaled,64,1,5.08509009871283e-05,57.22794129215106,0.2220782952761624
interval,unnormalized_rescaled,64,1,5.402184011394053e-05,56.83348009125171,0.23569102173368606
interval,unnormalized_rescaled,64,1,5.7390511331055234e-05,56.417826365882725,0.2501212161151187
interval,unnormalized_rescaled,64,1,6.0969244733113697e-05,55.98006332247669,0.26541559572621054
interval,unnormalized_rescaled,64,1,6.47711392896202e-05,55.51926280373799,0.28162319867576
interval,unnormalized_rescaled,64,1,6.88101107901183e-05,55.03448932289185,0.2987954433196762
interval,unnormalized_rescaled,64,1,7.3100942779111e-05,54.52480475541393,0.31698617859223077
interval,unnormalized_rescaled,64,1,7.765934066716061e-05,53.989273747014224,0.3362517226300241
interval,unnormalized_rescaled,64,1,8.250198921622512e-05,53.426969897274006,0.3566508865956024
interval,unnormalized_rescaled,64,1,8.764661360964127e-05,52.836982777909355,0.3782449800187777
interval,unnormalized_rescaled,64,1,9.311204433028384e-05,52.21842584289986,0.4010977932793196
interval,unnormalized_rescaled,64,1,9.891828608437013e-05,51.570445284375936,0.4252755520374052
interval,unnormalized_rescaled,64,1,0.00010508659102318591,50.89222988287077,0.45084683745244547
interval,unnormalized_rescaled,64,1,0.00011163953653074108,50.18302189294146,0.47788246489571407
interval,unnormalized_rescaled,64,1,0.00011860110786207536,49.442128994846286,0.5064553125238263
interval,unnormalized_rescaled,64,1,0.00012599678593468863,48.668937329500366,0.5366400895070882
interval,unnormalized_rescaled,64,1,0.00013385364059443228,47.86292561686899,0.5685130318579681
interval,unnormalized_rescaled,64,1,0.00014220042969723668,47.02368033683929,0.6021515116367908
interval,unnormalized_rescaled,64,1,0.00015106770436933378,46.150911925987444,0.6376335427731021
interval,unnormalized_rescaled,64,1,0.00016048792083125406,45.244471913112115,0.6750371637773682
interval,unnormalized_rescaled,64,1,0.00017049555919489647,44.30437088058055,0.714439674168986
interval,unnormalized_rescaled,64,1,0.00018112724966849627,43.33079709716921,0.7559166974508145
interval,unnormalized_rescaled,64,1,0.00019242190663143003,42.32413562105947,0.7995410388576119
interval,unnormalized_rescaled,64,1,0.00020442087106959915,41.284987619044514,0.8453813008421349
interval,unnormalized_rescaled,64,1,0.0002171680618927413,40.21418959014726,0.8935002133011807
interval,unnormalized_rescaled,64,1,0.0002307101366875219,39.11283211939616,0.9439526288773976
interval,unnormalized_rescaled,64,1,0.00024509666249479994,37.982277721512425,0.9967831263476796
interval,unnormalized_rescaled,64,1,0.0002603802972361505,36.82417726626196,1.0520231572521297
interval,unnormalized_rescaled,64,1,0.0002766169824537065,35.640484409317196,1.1096876627859302
interval,unnormalized_rescaled,64,1,0.00029386614806879,34.433467387381114,1.1697710800188048
interval,unnormalized_rescaled,64,1,0.00031219092990879705,33.20571747747151,1.23224264945123
interval,unnormalized_rescaled,64,1,0.0003316584007985317,31.960153371792618,1.2970409308973032
interval,unnormalized_rescaled,64,1,0.000352339816061837,30.700020686406717,1.3640674333995548
interval,unnormalized_rescaled,64,1,0.0003743108743321144,29.428885809505662,1.4331792698072405
interval,unnormalized_rescaled,64,1,0.0003976519946263534,28.15062330956784,1.504180761308561
interval,unnormalized_rescaled,64,1,0.0004224486106968299,26.869396171511937,1.5768139464757382
interval,unnormalized_rescaled,64,1,0.00044879148373786214,25.589628216604055,1.6507479998378045
interval,unnormalized_rescaled,64,1,0.0004767770345922064,24.31596819542701,1.7255676452335678
interval,unnormalized_rescaled,64,1,0.000506507696673034,23.053245227831585,1.8007607700005295
interval,unnormalized_rescaled,64,1,0.0005380922908932744,21.806415502992735,1.875705620245185
interval,unnormalized_rescaled,64,1,0.0005716464239746413,20.580500447629742,1.949658199042183
