geometry,N_actual,k,epsilon,density,sigma,region_radius,region_size,mu,perturbation_strength,source_strength_region_mean,source_strength_region_sum,S0,S1,delta_S,delta_K_expectation,first_law_error,relative_error,abs_delta_S,abs_delta_K,rho_min_eig,rho_max_eig,rho_entropy_effective_rank
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,0.24705294220065466,45,13.983008995843466,-0.2,0.7153333539877491,32.19000092944871,3.7983692061071346,3.799922339036613,0.0015531329294784513,0.0017288851263038084,-0.00017575219682535717,0.10165637621112433,0.0015531329294784513,0.0017288851263038084,0.020223505664430867,0.03638779129964768,44.62834548347437
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,0.24705294220065466,45,13.983008995843466,-0.1,0.7153333539877491,32.19000092944871,3.7983692061071346,3.799174279482346,0.000805073375211407,0.0008463225833001105,-4.124920808870353e-05,0.048739344669095686,0.000805073375211407,0.0008463225833001105,0.020223505664430867,0.03638779129964768,44.62834548347437
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,0.24705294220065466,45,13.983008995843466,-0.05,0.7153333539877491,32.19000092944871,3.7983692061071346,3.798778015741634,0.0004088096344996295,0.0004188114792458203,-1.0001844746190792e-05,0.023881496190605214,0.0004088096344996295,0.0004188114792458203,0.020223505664430867,0.03638779129964768,44.62834548347437
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,0.24705294220065466,45,13.983008995843466,0.05,0.7153333539877491,32.19000092944871,3.7983692061071346,3.7979493352024774,-0.0004198709046572269,-0.0004104446403667511,-9.426264290475776e-06,0.022450386978281254,0.0004198709046572269,0.0004104446403667511,0.020223505664430867,0.03638779129964768,44.62834548347437
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,0.24705294220065466,45,13.983008995843466,0.1,0.7153333539877491,32.19000092944871,3.7983692061071346,3.7975197344183935,-0.0008494716887410547,-0.0008128353843090562,-3.663630443199854e-05,0.04312834072939471,0.0008494716887410547,0.0008128353843090562,0.020223505664430867,0.03638779129964768,44.62834548347437
flat_torus2d,256,16,0.009765625000000002,0.07352941176470588,0.19764235376052372,0.24705294220065466,45,13.983008995843466,0.2,0.7153333539877491,32.19000092944871,3.7983692061071346,3.7966360063318056,-0.0017331997753289308,-0.0015946172985902326,-0.00013858247673869816,0.07995758983548082,0.0017331997753289308,0.0015946172985902326,0.020223505664430867,0.03638779129964768,44.62834548347437
sphere,256,16,0.13320134212632276,0.06464460784313726,0.7299351810299947,0.9124189762874934,50,12.74058701262047,-0.2,0.698822934125162,34.9411467062581,3.9018000936443773,3.903628685803233,0.0018285921588558907,0.002035388559025939,-0.00020679640017004855,0.1016004532662862,0.0018285921588558907,0.002035388559025939,0.017821733071343493,0.034073604703554236,49.49145822852505
sphere,256,16,0.13320134212632276,0.06464460784313726,0.7299351810299947,0.9124189762874934,50,12.74058701262047,-0.1,0.698822934125162,34.9411467062581,3.9018000936443773,3.9027487488240666,0.0009486551796893394,0.0009972438066336486,-4.85886269443092e-05,0.04872291672417366,0.0009486551796893394,0.0009972438066336486,0.017821733071343493,0.034073604703554236,49.49145822852505
sphere,256,16,0.13320134212632276,0.06464460784313726,0.7299351810299947,0.9124189762874934,50,12.74058701262047,-0.05,0.698822934125162,34.9411467062581,3.9018000936443773,3.902282023412701,0.00048192976832384105,0.000493717789508298,-1.1788021184456956e-05,0.023876030872205047,0.00048192976832384105,0.000493717789508298,0.017821733071343493,0.034073604703554236,49.49145822852505
sphere,256,16,0.13320134212632276,0.06464460784313726,0.7299351810299947,0.9124189762874934,50,12.74058701262047,0.05,0.698822934125162,34.9411467062581,3.9018000936443773,3.901304678246131,-0.0004954153982463794,-0.00048429323207878914,-1.1122166167590233e-05,0.02245018262847569,0.0004954153982463794,0.00048429323207878914,0.017821733071343493,0.034073604703554236,49.49145822852505
sphere,256,16,0.13320134212632276,0.06464460784313726,0.7299351810299947,0.9124189762874934,50,12.74058701262047,0.1,0.698822934125162,34.9411467062581,3.9018000936443773,3.9007973197415997,-0.0010027739027775873,-0.0009595217089046062,-4.325219387298106e-05,0.043132548377233036,0.0010027739027775873,0.0009595217089046062,0.017821733071343493,0.034073604703554236,49.49145822852505
sphere,256,16,0.13320134212632276,0.06464460784313726,0.7299351810299947,0.9124189762874934,50,12.74058701262047,0.2,0.698822934125162,34.9411467062581,3.9018000936443773,3.8997521819796663,-0.0020479116647109663,-0.0018841162646763162,-0.00016379540003465015,0.07998167247988577,0.0020479116647109663,0.0018841162646763162,0.017821733071343493,0.034073604703554236,49.49145822852505
