name,theta_E_obs_arcsec,theta_E_BuP_arcsec,log_residual_BuP,Re_arcsec,sersic_n,logMs,Mstar_rel,J_spectral_over_h0,density_pearson,density_rmse,theta_E_baryon_arcsec,log_residual_baryon,name_key,sersic_n_measured,sersic_n_final,n_source,delta_kOR,C_obs
J0008-0004,37.469,12.530029500170716,-1.0953858011639404,9.723,4.0,11.640000343322754,4.365161773191001,1.7892131127149076,0.999996658127392,0.0017882201169334,12.523939173861114,-1.095871977746086,J0008-0004,4.15,4.15,measured,0.009115390622767394,1.095871977746086
J0029-0055,12.661,11.693642341411865,-0.0794810980469624,7.858,4.0,11.579999923706056,3.801893295314423,1.789213112714907,0.9999966581273918,0.001788220116933,11.688564260099072,-0.079915452381365,J0029-0055,3.1500000000000004,3.1500000000000004,measured,0.00832533807872371,0.079915452381365
J0037-0942,16.012,13.897830735859442,-0.1416056753410242,5.823,4.0,11.729999542236328,5.3703123031766005,1.7892131127149071,0.9999966581273918,0.0017882201169332,13.907776363968216,-0.1408903067826461,J0037-0942,5.133333333333334,5.133333333333334,measured,0.00908547482070593,0.1408903067826461
J0044+0113,3.721,10.302586251892478,1.0184025067692537,4.154,4.0,11.470000267028809,2.951211041237279,1.7892131127149071,0.9999966581273918,0.0017882201169329,10.31001658234329,1.0191234570376306,J0044+0113,3.75,3.75,measured,0.008957452370558172,-1.0191234570376306
J0157-0056,30.258,14.058904628550357,-0.7665046359059735,11.385,4.0,11.739999771118164,5.495405842387226,1.7892131127149071,0.9999966581273916,0.0017882201169332,14.05190646156213,-0.7670025345336837,J0157-0056,3.0,3.0,measured,0.008045519610830665,0.7670025345336837
J0216-0813,26.386,19.63126136425356,-0.2957103032710333,11.452,4.0,12.029999732971191,10.715186464071412,1.7892131127149071,0.9999966581273916,0.0017882201169331,19.62380774334562,-0.2960900565700064,J0216-0813,5.8,5.8,measured,0.008875132549221953,0.2960900565700064
J0252+0039,18.674,10.18469663106502,-0.6062459186817049,5.899,4.0,11.460000038146973,2.8840317564502844,1.7892131127149071,0.9999966581273916,0.0017882201169332,10.180890605901787,-0.6066196889210067,J0252+0039,3.35,3.35,measured,0.008588560381283805,0.6066196889210067
J0330-0020,26.972,11.69357844405934,-0.8357594506774846,4.504,4.0,11.579999923706056,3.801893295314423,1.7892131127149071,0.999996658127392,0.0017882201169328,11.702021527490963,-0.8350376838659108,J0330-0020,2.85,2.85,measured,0.007741682483323464,0.8350376838659108
J0728+3835,14.216,13.272352005935884,-0.0686850158674614,6.011,4.0,11.6899995803833,4.897783461428336,1.7892131127149071,0.9999966581273916,0.0017882201169332,13.281699722793045,-0.0679809638200539,J0728+3835,3.1500000000000004,3.1500000000000004,measured,0.00832533807872693,0.0679809638200539
J0737+3216,21.785,18.1112446823946,-0.1846886610245066,8.415,4.0,11.960000038146973,9.120109194638909,1.7892131127149076,0.9999966581273916,0.001788220116933,18.123959516387348,-0.1839868664688668,J0737+3216,4.566666666666666,4.566666666666666,measured,0.009163961317417368,0.1839868664688668
J0819+4534,8.795,9.504888129156264,0.0776228279978816,6.379,4.0,11.399999618530272,2.511884225153631,1.789213112714907,0.9999966581273916,0.0017882201169331,9.500781009690517,0.0771906285841512,J0819+4534,,4.0,default_4,0.009080097432055012,-0.0771906285841512
J0822+2652,16.934,13.27234315362485,-0.2436410272092062,6.926,4.0,11.6899995803833,4.897783461428336,1.7892131127149076,0.999996658127392,0.0017882201169334,13.26801455856834,-0.2439672168666202,J0822+2652,3.85,3.85,measured,0.00901003358178809,0.2439672168666202
J0841+3824,6.218,12.675044145686796,0.7121867207289594,8.844,4.0,11.649999618530272,4.466831997992276,1.7892131127149071,0.999996658127392,0.001788220116933,12.669370534721166,0.7117389999090513,J0841+3824,4.05,4.05,measured,0.009100443673830338,-0.7117389999090513
J0903+4116,40.562,15.774254236515423,-0.9444525354449178,9.986,4.0,11.84000015258789,6.918312139914402,1.7892131127149076,0.9999966581273918,0.0017882201169334,15.767724165688126,-0.9448665913317952,J0903+4116,,4.0,default_4,0.009080097432056344,0.9448665913317952
J0912+0029,12.89,18.11130150197408,0.3400843188431066,11.286,4.0,11.960000038146973,9.120109194638909,1.7892131127149076,0.9999966581273916,0.001788220116933,18.10393876936026,0.3396777092135639,J0912+0029,4.966666666666666,4.966666666666666,measured,0.00912297027308373,-0.3396777092135639
J0935-0003,20.926,18.11126926009622,-0.144458049373878,10.561,4.0,11.960000038146973,9.120109194638909,1.789213112714907,0.999996658127392,0.0017882201169329,18.10440432934307,-0.1448371631748912,J0935-0003,3.35,3.35,measured,0.008588560381280419,0.1448371631748912
J0936+0913,10.933,13.120446372218384,0.1823860667575783,6.687,4.0,11.68000030517578,4.786304286528679,1.7892131127149071,0.9999966581273916,0.0017882201169331,13.116307414594004,0.18207055839154,J0936+0913,4.300000000000001,4.300000000000001,measured,0.00913876878158959,-0.18207055839154
J0946+1006,17.706,11.829080313405298,-0.4033426321136346,8.406,4.0,11.59000015258789,3.890452816839944,1.7892131127149065,0.9999966581273918,0.001788220116933,11.823682944946782,-0.4037990158767699,J0946+1006,3.65,3.65,measured,0.008881132777185996,0.4037990158767699
J0955+0101,3.7,6.136895563285108,0.505986186060156,2.972,4.0,11.020000457763672,1.047129651766654,1.7892131127149071,0.9999966581273918,0.0017882201169327,6.141180765435188,0.5066842110942646,J0955+0101,3.95,3.95,measured,0.009062990652805247,-0.5066842110942646
J0956+5100,19.217,15.238727800587103,-0.231955234827994,8.334,4.0,11.8100004196167,6.456548528681109,1.7892131127149071,0.9999966581273918,0.0017882201169332,15.23341520531518,-0.2323039202043206,J0956+5100,4.666666666666667,4.666666666666667,measured,0.009164346316853256,0.2323039202043206
