tag,model_type,root_logM,method,value_at_root,n_roots,boot_n_ok,boot_median,boot_q05,boot_q16,boot_q84,boot_q95,boot_std,boot_frac_in_11p50_11p65,boot_frac_in_11p55_11p60
measured_n_only,linear,11.621238774568447,sign_change,0.0,1,2000,11.61867391914712,11.534627718165448,11.567436568342996,11.669115857804687,11.703089216010195,0.05217868648184601,0.712,0.2795
measured_n_only,quadratic,11.630446538002099,sign_change,-5.329070518200751e-15,1,2000,11.61907617126491,11.51494488100179,11.557828362359306,11.675163862911596,11.706991450463983,0.05981356795622847,0.6715,0.237
measured_n_only,cubic,11.59671172582049,sign_change,-4.547473508864641e-13,1,2000,11.595371580963418,11.519737084974059,11.549935150597102,11.646745948920131,11.68177357237174,0.04993877197442643,0.8345,0.3775
measured_n_only,huber,11.600580606834484,sign_change,0.0,1,2000,11.600499522924288,11.522812062783839,11.55244962278064,11.647281899294061,11.678123277981184,0.04851042116690872,0.8315,0.3485
matched_forced_n4,linear,11.621238774568447,sign_change,0.0,1,2000,11.61867391914712,11.534627718165448,11.567436568342996,11.669115857804687,11.703089216010195,0.05217868648184601,0.712,0.2795
matched_forced_n4,quadratic,11.630446538002099,sign_change,-5.329070518200751e-15,1,2000,11.61907617126491,11.51494488100179,11.557828362359306,11.675163862911596,11.706991450463983,0.05981356795622847,0.6715,0.237
matched_forced_n4,cubic,11.59671172582049,sign_change,-4.547473508864641e-13,1,2000,11.595371580963418,11.519737084974059,11.549935150597102,11.646745948920131,11.68177357237174,0.04993877197442643,0.8345,0.3775
matched_forced_n4,huber,11.600580606834484,sign_change,0.0,1,2000,11.600499522924288,11.522812062783839,11.55244962278064,11.647281899294061,11.678123277981184,0.04851042116690872,0.8315,0.3485
measured_plus_fallback,linear,11.591556245582911,sign_change,1.7763568394002505e-15,1,2000,11.590117528680327,11.511775307520313,11.543212575847138,11.639061985063416,11.669745735206144,0.0491392762257303,0.8585,0.3885
measured_plus_fallback,quadratic,11.599441566545961,sign_change,3.552713678800501e-15,1,2000,11.591952435119882,11.492205752075204,11.538749538550064,11.64513175307402,11.677175150217632,0.055140327037166766,0.8045,0.3425
measured_plus_fallback,cubic,11.572288011549091,sign_change,-9.094947017729282e-13,1,2000,11.573912437462313,11.503244554521055,11.530961517111441,11.619819729756466,11.655450655953123,0.046580619313028225,0.8945,0.4415
measured_plus_fallback,huber,11.56802328200196,sign_change,1.7763568394002505e-15,1,2000,11.569106242311925,11.496579391244321,11.523728194681363,11.614734348458084,11.645567792744217,0.04550222173483765,0.901,0.414
