width,center,logM_low,logM_high,n,frac_Phi_better_logM,mean_delta_logM_minus_Phi,median_delta_logM_minus_Phi,p_mean_delta_one_sided,p_frac_one_sided,mean_abs_err_logM,mean_abs_err_Phi,names,tag
0.3,11.170000076293949,11.020000076293949,11.32000007629395,6,0.6666666666666666,0.05385807677162619,0.10856251910995476,0.08530489836721093,0.31322892369210265,0.385970616812408,0.33211254004078183,J0955+0101;J0959+0410;J1029+0420;J1420+6019;J1443+0304;J1538+5817,matched_forced_n4
0.3,11.145000076293949,10.995000076293948,11.295000076293949,6,0.6666666666666666,0.05385807677162619,0.10856251910995476,0.07330889703432189,0.3092302565811396,0.385970616812408,0.33211254004078183,J0955+0101;J0959+0410;J1029+0420;J1420+6019;J1443+0304;J1538+5817,matched_forced_n4
0.3,11.19500007629395,11.045000076293949,11.34500007629395,6,0.6666666666666666,0.03174667843243161,0.06312830205111497,0.18927024325224925,0.32855714761746085,0.42738057444249605,0.3956338960100645,J0959+0410;J1029+0420;J1153+4612;J1420+6019;J1443+0304;J1538+5817,matched_forced_n4
0.25,11.22000007629395,11.09500007629395,11.34500007629395,6,0.6666666666666666,0.03174667843243161,0.06312830205111497,0.1956014661779407,0.3242252582472509,0.42738057444249605,0.3956338960100645,J0959+0410;J1029+0420;J1153+4612;J1420+6019;J1443+0304;J1538+5817,matched_forced_n4
0.1,11.695000076293958,11.645000076293957,11.745000076293959,17,0.5294117647058824,0.011751371228536388,0.014290345439349511,0.24425191602799068,0.4631789403532156,0.281371285765959,0.2696199145374226,J0037-0942;J0157-0056;J0728+3835;J0822+2652;J0841+3824;J0936+0913;J0959+4416;J1112+0826;J1205+4910;J1432+6317;J1436-0000;J1531-0105;J1621+3931;J1627-0053;J2300+0022;J2303+1422;J2341+0000,matched_forced_n4
0.1,11.745000076293959,11.695000076293958,11.79500007629396,12,0.5833333333333334,0.009283258464031732,0.023091184598063953,0.33055648117294234,0.35188270576474506,0.26618380315663553,0.25690054469260376,J0037-0942;J0157-0056;J0959+4416;J1112+0826;J1205+4910;J1250+0523;J1402+6321;J1432+6317;J1621+3931;J1627-0053;J2303+1422;J2341+0000,matched_forced_n4
0.2,11.795000076293958,11.695000076293958,11.895000076293957,17,0.5882352941176471,0.008991998142233644,0.01788689931675963,0.29323558813728756,0.25558147284238586,0.27517871921221726,0.26618672106998365,J0037-0942;J0157-0056;J0956+5100;J0959+4416;J1020+1122;J1100+5329;J1112+0826;J1205+4910;J1250+0523;J1402+6321;J1432+6317;J1621+3931;J1627-0053;J1630+4520;J2303+1422;J2341+0000;J2347-0005,matched_forced_n4
0.25,11.820000076293958,11.695000076293958,11.945000076293958,18,0.5555555555555556,0.008440146299641627,0.012291465670249135,0.3015661446184605,0.3768743752082639,0.26718870301759434,0.25874855671795266,J0037-0942;J0157-0056;J0956+5100;J0959+4416;J1020+1122;J1100+5329;J1112+0826;J1205+4910;J1250+0523;J1402+6321;J1430+4105;J1432+6317;J1621+3931;J1627-0053;J1630+4520;J2303+1422;J2341+0000;J2347-0005,matched_forced_n4
0.25,11.770000076293957,11.645000076293957,11.895000076293957,24,0.5416666666666666,0.007154284897976423,0.010493188731544076,0.26657780739753417,0.34155281572809065,0.27285614361895355,0.2657018587209771,J0037-0942;J0157-0056;J0728+3835;J0822+2652;J0841+3824;J0936+0913;J0956+5100;J0959+4416;J1020+1122;J1100+5329;J1112+0826;J1205+4910;J1250+0523;J1402+6321;J1432+6317;J1436-0000;J1531-0105;J1621+3931;J1627-0053;J1630+4520;J2300+0022;J2303+1422;J2341+0000;J2347-0005,matched_forced_n4
0.3,11.22000007629395,11.07000007629395,11.37000007629395,7,0.5714285714285714,0.007152135762702881,0.03752371195360543,0.3842052649116961,0.481839386871043,0.45386266754343463,0.44671053178073183,J0959+0410;J1029+0420;J1106+5228;J1153+4612;J1420+6019;J1443+0304;J1538+5817,matched_forced_n4
