width,center,logM_low,logM_high,n,frac_Phi_better_logM,mean_delta_logM_minus_Phi,median_delta_logM_minus_Phi,p_mean_delta_one_sided,p_frac_one_sided,mean_abs_err_logM,mean_abs_err_Phi,names,tag
0.1,11.595000076293957,11.545000076293956,11.645000076293957,11,0.8181818181818182,0.09812936725154052,0.07393199603084644,0.0026657780739753416,0.008997000999666778,0.5472741666437485,0.449144799392208,J0008-0004;J0029-0055;J0330-0020;J0946+1006;J1023+4230;J1142+1001;J1143-0144;J1218+0830;J1416+5136;J1636+4707;J2321-0939,measured_n_only
0.1,11.570000076293956,11.520000076293956,11.620000076293957,9,0.8888888888888888,0.09537941045657643,0.07393199603084644,0.00433188937020993,0.0036654448517160947,0.4799915807625578,0.3846121703059813,J0029-0055;J0330-0020;J0946+1006;J1023+4230;J1103+5322;J1142+1001;J1143-0144;J1218+0830;J2321-0939,measured_n_only
0.1,11.545000076293956,11.495000076293955,11.595000076293957,9,0.8888888888888888,0.08612738812290574,0.10071072121526714,0.010663112295901367,0.007997334221926024,0.325405026870686,0.23927763874778027,J0029-0055;J0330-0020;J0946+1006;J1023+4230;J1103+5322;J1134+6027;J1142+1001;J1218+0830;J1251-0208,measured_n_only
0.15,11.570000076293955,11.495000076293955,11.645000076293954,14,0.7857142857142857,0.07752171899999752,0.08732135862305679,0.0006664445184938354,0.0026657780739753416,0.4776450152742263,0.40012329627422893,J0008-0004;J0029-0055;J0330-0020;J0946+1006;J1023+4230;J1103+5322;J1134+6027;J1142+1001;J1143-0144;J1218+0830;J1251-0208;J1416+5136;J1636+4707;J2321-0939,measured_n_only
0.1,11.620000076293957,11.570000076293956,11.670000076293958,11,0.7272727272727273,0.07658780809721354,0.07057993213731084,0.004665111629456847,0.03532155948017328,0.5947671734465949,0.5181793653493814,J0008-0004;J0029-0055;J0330-0020;J0841+3824;J0946+1006;J1143-0144;J1218+0830;J1416+5136;J1636+4707;J2300+0022;J2321-0939,measured_n_only
0.15,11.620000076293955,11.545000076293956,11.695000076293955,18,0.7222222222222222,0.06660493185963344,0.06871243802709012,0.000999666777740753,0.004665111629456847,0.43836250296269025,0.37175757110305685,J0008-0004;J0029-0055;J0330-0020;J0728+3835;J0822+2652;J0841+3824;J0936+0913;J0946+1006;J1023+4230;J1142+1001;J1143-0144;J1218+0830;J1416+5136;J1436-0000;J1531-0105;J1636+4707;J2300+0022;J2321-0939,measured_n_only
0.15,11.545000076293954,11.470000076293955,11.620000076293953,14,0.7142857142857143,0.06435771766505424,0.07225596408407864,0.004665111629456847,0.02432522492502499,0.41744659558964375,0.35308887792458954,J0029-0055;J0044+0113;J0330-0020;J0946+1006;J1016+3859;J1023+4230;J1103+5322;J1134+6027;J1142+1001;J1143-0144;J1213+6708;J1218+0830;J1251-0208;J2321-0939,measured_n_only
0.15,11.595000076293955,11.520000076293956,11.670000076293954,14,0.7142857142857143,0.06152947570147229,0.06871243802709012,0.00866377874041986,0.020993002332555816,0.522077052533068,0.46054757683159575,J0008-0004;J0029-0055;J0330-0020;J0841+3824;J0946+1006;J1023+4230;J1103+5322;J1142+1001;J1143-0144;J1218+0830;J1416+5136;J1636+4707;J2300+0022;J2321-0939,measured_n_only
0.2,11.595000076293955,11.495000076293955,11.695000076293955,21,0.7142857142857143,0.057369990462210536,0.07057993213731084,0.0006664445184938354,0.0023325558147284237,0.40750187781363617,0.3501318873514257,J0008-0004;J0029-0055;J0330-0020;J0728+3835;J0822+2652;J0841+3824;J0936+0913;J0946+1006;J1023+4230;J1103+5322;J1134+6027;J1142+1001;J1143-0144;J1218+0830;J1251-0208;J1416+5136;J1436-0000;J1531-0105;J1636+4707;J2300+0022;J2321-0939,measured_n_only
0.2,11.545000076293954,11.445000076293955,11.645000076293954,20,0.65,0.04837362018938106,0.07225596408407864,0.004665111629456847,0.024991669443518827,0.4492497102902166,0.40087609010083564,J0008-0004;J0029-0055;J0044+0113;J0252+0039;J0330-0020;J0946+1006;J1016+3859;J1023+4230;J1103+5322;J1134+6027;J1142+1001;J1143-0144;J1204+0358;J1213+6708;J1218+0830;J1251-0208;J1416+5136;J1636+4707;J2238-0754;J2321-0939,measured_n_only
