alpha_col,model_type,root_logM,method,value_at_root,n,tag
alpha_eff_dw_discrete_fixed,linear,10.670000076293944,closest_no_sign_change,1.4631382506720667,61,measured_n_only
alpha_eff_dw_discrete_fixed,quadratic,10.966776778151441,closest_no_sign_change,1.4700033881837715,61,measured_n_only
alpha_eff_dw_discrete_fixed,cubic,10.670000076293944,closest_no_sign_change,1.4660414912679798,61,measured_n_only
alpha_eff_dw_discrete_fixed,huber,10.670000076293944,closest_no_sign_change,1.462302764965401,61,measured_n_only
alpha_eff_dw_discrete_adaptive,linear,12.029999732971191,closest_no_sign_change,-0.27461956289187883,61,measured_n_only
alpha_eff_dw_discrete_adaptive,quadratic,12.029999732971191,closest_no_sign_change,-0.2742596466067799,61,measured_n_only
alpha_eff_dw_discrete_adaptive,cubic,12.029999732971191,closest_no_sign_change,-0.2738933003463151,61,measured_n_only
alpha_eff_dw_discrete_adaptive,huber,12.029999732971191,closest_no_sign_change,-0.27452314677580403,61,measured_n_only
alpha_eff_dw_heat_norm_adaptive,linear,10.670000076293944,closest_no_sign_change,-0.2787652201729802,61,measured_n_only
alpha_eff_dw_heat_norm_adaptive,quadratic,10.885095117089744,closest_no_sign_change,-0.2802878785272349,61,measured_n_only
alpha_eff_dw_heat_norm_adaptive,cubic,10.670000076293944,closest_no_sign_change,-0.27924772726662184,61,measured_n_only
alpha_eff_dw_heat_norm_adaptive,huber,10.670000076293944,closest_no_sign_change,-0.2784988727735933,61,measured_n_only
alpha_eff_dw_heat_raw_adaptive,linear,12.029999732971191,closest_no_sign_change,-0.06350644933412464,61,measured_n_only
alpha_eff_dw_heat_raw_adaptive,quadratic,12.029999732971191,closest_no_sign_change,-0.06036518766327226,61,measured_n_only
alpha_eff_dw_heat_raw_adaptive,cubic,12.029999732971191,closest_no_sign_change,-0.05785753202352595,61,measured_n_only
alpha_eff_dw_heat_raw_adaptive,huber,12.029999732971191,closest_no_sign_change,-0.06456869756109196,61,measured_n_only
