name,theta_E_obs_arcsec,theta_E_BuP_arcsec,log_residual_BuP,Re_arcsec,sersic_n,logMs,Mstar_rel,J_spectral_over_h0,density_pearson,density_rmse,theta_E_baryon_arcsec,log_residual_baryon,name_key,sersic_n_measured,sersic_n_final,n_source,delta_kOR,C_obs,ds_mean,ds_slope,ds_fit_r2,ds_nfit,sersic_n_used,sersic_n_source,q_used,xi_used,amp_used,dw_discrete_fixed,dw_discrete_fixed_slope,dw_discrete_fixed_r2,dw_discrete_fixed_nfit,dw_discrete_adaptive,dw_discrete_adaptive_slope,dw_discrete_adaptive_r2,dw_discrete_adaptive_nfit,dw_discrete_adaptive_method,dw_heat_norm_adaptive,dw_heat_norm_slope,dw_heat_norm_r2,dw_heat_norm_nfit,dw_heat_norm_method,dw_heat_raw_adaptive,dw_heat_raw_slope,dw_heat_raw_r2,dw_heat_raw_nfit,dw_heat_raw_method,alpha_eff_dw_discrete_fixed,alpha_eff_dw_discrete_adaptive,alpha_eff_dw_heat_norm_adaptive,alpha_eff_dw_heat_raw_adaptive
J0008-0004,37.469,12.530029500170716,-1.0953858011639404,9.723,4.0,11.640000343322754,4.365161773191001,1.7892131127149076,0.999996658127392,0.0017882201169334,12.523939173861114,-1.095871977746086,J0008-0004,4.15,4.15,measured,0.0091153906227673,1.095871977746086,1.688172500963183,-0.8440862504815915,0.8884730657111632,39,4.15,sersic_n_final,1.0,3.40305,1.0,4.773212771721781,0.41900499635145433,0.7471621538890441,25,2.1671673556627145,0.922863661070792,0.9946014678022802,6,best_contiguous,2.137300029318866,0.9357600582812783,0.9993180206787015,33,fraction_window,2.6743611870456134,0.7478421425227961,0.9898518956898119,41,fraction_window,1.4805654843284852,-0.274879589579367,-0.2829755727909742,-0.06315227288601255
J0029-0055,12.661,11.693642341411865,-0.0794810980469624,7.858,4.0,11.579999923706056,3.801893295314423,1.789213112714907,0.9999966581273918,0.001788220116933,11.688564260099072,-0.079915452381365,J0029-0055,3.1500000000000004,3.1500000000000004,measured,0.0083253380787237,0.079915452381365,1.688596310598841,-0.8442981552994205,0.8884325113667036,39,3.1500000000000004,sersic_n_final,1.0,2.7502999999999997,1.0,4.759018290356995,0.42025474120419304,0.7471279902231243,25,2.160704509629515,0.925624022667926,0.9944333637638767,6,best_contiguous,2.146875062594455,0.9315865812810926,0.9993465804968895,33,fraction_window,2.650171121590146,0.7546682490449778,0.9894843710466809,42,fraction_window,1.4686588958660654,-0.27629018069176725,-0.28005127325090484,-0.07549885734641748
J0037-0942,16.012,13.897830735859442,-0.1416056753410242,5.823,4.0,11.729999542236328,5.3703123031766005,1.7892131127149071,0.9999966581273918,0.0017882201169332,13.907776363968216,-0.1408903067826461,J0037-0942,5.133333333333334,5.133333333333334,measured,0.0090854748207059,0.1408903067826461,1.6879567036508476,-0.8439783518254238,0.8884935049111845,39,5.133333333333334,sersic_n_final,1.0,2.03805,1.0,4.784680474488864,0.4180007443890295,0.7469848598673816,25,2.1714762494318416,0.9210324084932047,0.9946874603790845,6,best_contiguous,2.1303300002303667,0.938821684801757,0.999307467540368,33,fraction_window,2.6875748488302165,0.744165320966042,0.9895606102942466,42,fraction_window,1.4902476331113705,-0.2738609223723678,-0.284979643375725,-0.05630630902066791
J0044+0113,3.721,10.302586251892478,1.0184025067692537,4.154,4.0,11.470000267028809,2.951211041237279,1.7892131127149071,0.9999966581273918,0.0017882201169329,10.31001658234329,1.0191234570376306,J0044+0113,3.75,3.75,measured,0.0089574523705581,-1.0191234570376306,1.6883060113655683,-0.8441530056827842,0.8884603344580722,39,3.75,sersic_n_final,1.0,1.4539,1.0,4.767823518569889,0.4194786137134331,0.747194115037895,25,2.1649130069738205,0.9238246495620899,0.9945484554301687,6,best_contiguous,2.140773535331835,0.9342417434593266,0.999326294791541,33,fraction_window,2.656177856450621,0.7529616268515039,0.9900127503117585,41,fraction_window,1.4760317837415737,-0.27538828372281365,-0.28194051311713464,-0.07259250260838712
J0157-0056,30.258,14.058904628550357,-0.7665046359059735,11.385,4.0,11.739999771118164,5.495405842387226,1.7892131127149071,0.9999966581273916,0.0017882201169332,14.05190646156213,-0.7670025345336837,J0157-0056,3.0,3.0,measured,0.0080455196108306,0.7670025345336837,1.6886938704693657,-0.8443469352346828,0.8884231301745784,39,3.0,sersic_n_final,1.0,3.9847499999999996,1.0,4.7567234394469935,0.42045749042591296,0.7470742688283081,25,2.1594463767698753,0.9261633081121574,0.9943946555341894,6,best_contiguous,2.1485922664735546,0.9308420360660442,0.9993537979361541,33,fraction_window,2.6622608548622573,0.7512411852306929,0.9895794679550606,41,fraction_window,1.466747426322165,-0.27654732176749386,-0.27950049284649214,-0.06912276039453014
J0216-0813,26.386,19.63126136425356,-0.2957103032710333,11.452,4.0,12.029999732971191,10.715186464071412,1.7892131127149071,0.9999966581273916,0.0017882201169331,19.62380774334562,-0.2960900565700064,J0216-0813,5.8,5.8,measured,0.0088751325492219,0.2960900565700064,1.687863520004441,-0.8439317600022205,0.8885022525330306,39,5.8,sersic_n_final,1.0,4.0081999999999995,1.0,4.791156672794799,0.4174357334955091,0.7468398482230054,25,2.1737079452254777,0.9200868057702853,0.99472473361668,6,best_contiguous,2.1265798967443397,0.940477243795013,0.9993047370881128,33,fraction_window,2.7060495355663354,0.7390847705163793,0.9894375428046015,42,fraction_window,1.4957312193081655,-0.2733111000774464,-0.28602287205973465,-0.046476242088214104
J0252+0039,18.674,10.18469663106502,-0.6062459186817049,5.899,4.0,11.460000038146973,2.8840317564502844,1.7892131127149071,0.9999966581273916,0.0017882201169332,10.180890605901787,-0.6066196889210067,J0252+0039,3.35,3.35,measured,0.0085885603812838,0.6066196889210067,1.6884840082946173,-0.8442420041473087,0.8884432931372854,39,3.35,sersic_n_final,1.0,2.06465,1.0,4.762034011041729,0.4199886005355274,0.7471719649221216,25,2.162240306297793,0.924966570170185,0.9944778855264176,6,best_contiguous,2.1447102511314022,0.932526899120726,0.9993384716150819,33,fraction_window,2.6620606249371725,0.7512976906929767,0.9893568873193146,42,fraction_window,1.4711780467120033,-0.27596843176272845,-0.2807329923986841,-0.06938523885906056
J0330-0020,26.972,11.69357844405934,-0.8357594506774846,4.504,4.0,11.579999923706056,3.801893295314423,1.7892131127149071,0.999996658127392,0.0017882201169328,11.702021527490963,-0.8350376838659108,J0330-0020,2.85,2.85,measured,0.0077416824833234,0.8350376838659108,1.688805299100871,-0.8444026495504355,0.8884124014000485,39,2.85,sersic_n_final,1.0,1.5763999999999998,1.0,4.754419231568251,0.42066126325597447,0.7469976027166565,25,2.1580829632282157,0.9267484309353224,0.994350381244546,6,best_contiguous,2.1503938759877794,0.9300621724851702,0.9993621758328842,33,fraction_window,2.6518452448555063,0.7541918231766861,0.9896939613731871,41,fraction_window,1.4648342020814074,-0.2768193756747941,-0.2789121986259966,-0.07447160762515903
J0728+3835,14.216,13.272352005935884,-0.0686850158674614,6.011,4.0,11.6899995803833,4.897783461428336,1.7892131127149071,0.9999966581273916,0.0017882201169332,13.281699722793045,-0.0679809638200539,J0728+3835,3.1500000000000004,3.1500000000000004,measured,0.0083253380787269,0.0679809638200539,1.6885963105988413,-0.8442981552994206,0.8884325113667036,39,3.1500000000000004,sersic_n_final,1.0,2.10385,1.0,4.759018290356991,0.4202547412041933,0.7471279902231243,25,2.160704509629515,0.9256240226679259,0.9944333637638767,6,best_contiguous,2.1468750625944995,0.9315865812810733,0.99934658049689,33,fraction_window,2.6501711215910624,0.7546682490447167,0.9894843710467045,42,fraction_window,1.4686588958660627,-0.2762901806917668,-0.2800512732508924,-0.07549885734594142
J0737+3216,21.785,18.1112446823946,-0.1846886610245066,8.415,4.0,11.960000038146973,9.120109194638909,1.7892131127149076,0.9999966581273916,0.001788220116933,18.123959516387348,-0.1839868664688668,J0737+3216,4.566666666666666,4.566666666666666,measured,0.0091639613174173,0.1839868664688668,1.688065796983845,-0.8440328984919225,0.8884831980811491,39,4.566666666666666,sersic_n_final,1.0,2.9452499999999997,1.0,4.77837380148925,0.41855243710248674,0.7470975307061554,25,2.169174511932241,0.9220097272019183,0.9946439315473367,6,best_contiguous,2.1341026768962177,0.9371620314486212,0.9993122383293512,33,fraction_window,2.6687884052371484,0.7494037354461154,0.9897054461372086,42,fraction_window,1.4849178548061905,-0.2744124030917954,-0.2839061515834662,-0.0661687808243343
