name,theta_E_obs_arcsec,theta_E_BuP_arcsec,log_residual_BuP,Re_arcsec,sersic_n,logMs,Mstar_rel,J_spectral_over_h0,density_pearson,density_rmse,theta_E_baryon_arcsec,log_residual_baryon,name_key,sersic_n_measured,sersic_n_final,n_source,delta_kOR,C_obs,sqrtM_proxy,sqrtM_shuffle,Phi_true_phi_mid_mean,Phi_true_phi_inner_minus_outer,Phi_true_force_mid_mean,Phi_true_force_inner_minus_outer,Phi_true_grad_rms,Phi_true_amp_used,Phi_shuffle_phi_mid_mean,Phi_shuffle_phi_inner_minus_outer,Phi_shuffle_force_mid_mean,Phi_shuffle_force_inner_minus_outer,Phi_shuffle_grad_rms,Phi_shuffle_amp_used
J0008-0004,37.469,12.530029500170716,-1.0953858011639404,9.723,4.0,11.640000343322754,4.365161773191001,1.7892131127149076,0.999996658127392,0.0017882201169334,12.523939173861114,-1.095871977746086,J0008-0004,4.15,4.15,measured,0.0091153906227673,1.095871977746139,2.0892969566796866,2.6302684539632835,199269.59168759076,1297903.1992256057,42453.593946712135,-99802.97434753462,47891.356508960365,2.0892969566796866,158285.4975957935,1030961.38245363,33722.09570530003,-79276.33774750266,38041.46498259831,2.6302684539632835
J0029-0055,12.661,11.693642341411865,-0.0794810980469624,7.858,4.0,11.579999923706056,3.801893295314423,1.789213112714907,0.9999966581273918,0.001788220116933,11.688564260099072,-0.079915452381365,J0029-0055,3.1500000000000004,3.1500000000000004,measured,0.0083253380787237,0.07991545238137132,1.949844428490238,2.6915337400578165,163129.1893027941,1059102.7375862217,42782.10485384172,-100817.89116454824,48357.91422687145,1.949844428490238,118176.68746493157,767252.346057814,30992.90480117002,-73036.1284034983,35032.22287206871,2.6915337400578165
J0037-0942,16.012,13.897830735859442,-0.1416056753410242,5.823,4.0,11.729999542236328,5.3703123031766005,1.7892131127149071,0.9999966581273918,0.0017882201169332,13.907776363968216,-0.1408903067826461,J0037-0942,5.133333333333334,5.133333333333334,measured,0.0090854748207059,0.1408903067826559,2.3173934286556954,2.2908683570453765,221610.75460878137,1446080.5001973659,79069.02789022648,-185620.47160846705,89093.88646759468,2.3173934286556954,224176.69832777532,1462824.0974987214,79984.53708058153,-187769.69806797922,90125.46955157175,2.2908683570453765
J0044+0113,3.721,10.302586251892478,1.0184025067692537,4.154,4.0,11.470000267028809,2.951211041237279,1.7892131127149071,0.9999966581273918,0.0017882201169329,10.31001658234329,1.0191234570376306,J0044+0113,3.75,3.75,measured,0.0089574523705581,-1.0191234570378025,1.717908915291285,1.6595861056887,219132.58499875787,1425769.8298798685,109088.3498524457,-256657.30998808137,123142.00262316562,1.717908915291285,226833.55712738063,1475875.631321192,112922.03967065322,-265677.01299793815,127469.57970542442,1.6595861056887
J0157-0056,30.258,14.058904628550357,-0.7665046359059735,11.385,4.0,11.739999771118164,5.495405842387226,1.7892131127149071,0.9999966581273916,0.0017882201169332,14.05190646156213,-0.7670025345336837,J0157-0056,3.0,3.0,measured,0.0080455196108306,0.767002534533722,2.3442281975923813,0.6839117073539389,129738.92254664513,841734.7573332803,23458.473336144914,-55309.41092782776,26527.11443401887,2.3442281975923813,444703.0779042503,2885194.5890363697,80408.06170995603,-189582.77731763112,90926.37119380005,0.6839117073539389
J0216-0813,26.386,19.63126136425356,-0.2957103032710333,11.452,4.0,12.029999732971191,10.715186464071412,1.7892131127149071,0.9999966581273916,0.0017882201169331,19.62380774334562,-0.2960900565700064,J0216-0813,5.8,5.8,measured,0.0088751325492219,0.29609005657001947,3.273405942450678,2.3442281975923813,176298.72123025294,1151404.7558375495,32028.758140350856,-75139.69604467462,36069.77969480982,3.273405942450678,246177.94793484063,1607785.1156343769,44723.942910335776,-104922.69046364391,50366.697351559465,2.3442281975923813
J0252+0039,18.674,10.18469663106502,-0.6062459186817049,5.899,4.0,11.460000038146973,2.8840317564502844,1.7892131127149071,0.9999966581273916,0.0017882201169332,10.180890605901787,-0.6066196889210067,J0252+0039,3.35,3.35,measured,0.0085885603812838,0.6066196889210514,1.698243727045763,2.213093640456349,198545.7752557453,1290093.4130836602,69452.76950770426,-163569.03250817026,78465.20787739828,1.698243727045763,152356.46244686787,989968.5267297061,53295.40883456604,-125516.6427725403,60211.21061868769,2.213093640456349
J0330-0020,26.972,11.69357844405934,-0.8357594506774846,4.504,4.0,11.579999923706056,3.801893295314423,1.7892131127149071,0.999996658127392,0.0017882201169328,11.702021527490963,-0.8350376838659108,J0330-0020,2.85,2.85,measured,0.0077416824833234,0.8350376838659594,1.949844428490238,1.4621770460239814,149071.91283591598,966411.0404241546,68048.91040768728,-160535.52911192735,76987.21406958676,1.949844428490238,198790.59080420158,1288729.835310719,90744.68049274429,-214077.5687512238,102664.09999096986,1.4621770460239814
J0728+3835,14.216,13.272352005935884,-0.0686850158674614,6.011,4.0,11.6899995803833,4.897783461428336,1.7892131127149071,0.9999966581273916,0.0017882201169332,13.281699722793045,-0.0679809638200539,J0728+3835,3.1500000000000004,3.1500000000000004,measured,0.0083253380787269,0.06798096382005872,2.213093640456349,2.5118869830988677,143724.84504233336,933121.6412301225,49275.11149861735,-116118.94378944045,55697.157112579975,2.213093640456349,126628.5239306908,822125.1936932134,43413.750993333306,-102306.39277910451,49071.88307292542,2.5118869830988677
J0737+3216,21.785,18.1112446823946,-0.1846886610245066,8.415,4.0,11.960000038146973,9.120109194638909,1.7892131127149076,0.9999966581273916,0.001788220116933,18.123959516387348,-0.1839868664688668,J0737+3216,4.566666666666666,4.566666666666666,measured,0.0091639613174173,0.18398686646887627,3.0199518530332417,2.264644407052447,151613.34252683504,988379.4077159878,37374.55456421744,-87803.69401876708,42138.42131822682,3.0199518530332417,202179.64163640485,1318025.1231734904,49839.76953092534,-117088.10780659982,56192.48795019077,2.264644407052447
