model,mode,features,loo_improvement_pct,loo_rmse_log,loo_pearson_C,loo_spearman_C,full_improvement_pct,full_pearson_C
logMs,logM,logMs,12.917284192171923,0.4461033516645157,0.493792341842636,0.5358236374770361,15.228447128682557,0.5303748626619816
Phi_true_plus_sqrtM,combined,"sqrtM_proxy,Phi_true_phi_mid_mean",12.57438028771699,0.44785996409508994,0.4893362606497704,0.5468812877263581,15.649249601124701,0.537042832863861
sqrtM_proxy,sqrtM_true,sqrtM_proxy,12.254543573429856,0.44949840897941945,0.4815022341314762,0.5396028343976905,14.55987280023733,0.5195346937986021
logM_plus_Phi_true,combined,"logMs,Phi_true_phi_mid_mean",12.176328052755956,0.44989908786961175,0.4833178775681297,0.5376082582451229,15.550776019811616,0.5354928416240072
Phi_shuffle_plus_sqrtM,combined,"sqrtM_proxy,Phi_shuffle_phi_mid_mean",10.631602479288652,0.45781233735124666,0.45557358081772703,0.5186422885136909,14.878329796988853,0.5247366665476392
Phi_true_phi_mid_mean,Phi_true,Phi_true_phi_mid_mean,10.489524181492053,0.4585401695537439,0.4492402951325949,0.4809203044353075,12.683726788507451,0.4873407705831307
Phi_true_phi_inner_minus_outer,Phi_true,Phi_true_phi_inner_minus_outer,10.445215911213838,0.45876714993319356,0.4482994447716216,0.475531449566967,12.628096087876125,0.4863425898672189
Phi_true_plus_shuffleM,combined,"sqrtM_shuffle,Phi_true_phi_mid_mean",9.27816871385637,0.46474564591212864,0.4283456131868864,0.43857930189834654,12.757416540413445,0.48865887011670345
Phi_true_force_mid_mean,Phi_true,Phi_true_force_mid_mean,6.761927180659246,0.47763573289602346,0.3797010808999239,0.430006123698714,10.048604336531954,0.4367877829803901
Phi_true_grad_rms,Phi_true,Phi_true_grad_rms,6.7490033263700635,0.47770193862538485,0.379558538955484,0.43060099728807627,10.048345818322943,0.4367824584573055
Phi_true_force_inner_minus_outer,Phi_true,Phi_true_force_inner_minus_outer,6.7462314372448535,0.47771613833215476,0.3795279611547456,0.43060099728807627,10.048289782085043,0.43678130430658624
Phi_shuffle_force_inner_minus_outer,Phi_shuffle,Phi_shuffle_force_inner_minus_outer,2.5269122474147774,0.49933067360318734,0.2683324443263395,0.34665383605983724,6.238524064603796,0.34753360971902836
Phi_shuffle_grad_rms,Phi_shuffle,Phi_shuffle_grad_rms,2.5244861573585498,0.4993431018663103,0.26827380510831667,0.34665383605983724,6.237000103535731,0.34749248721026305
Phi_shuffle_force_mid_mean,Phi_shuffle,Phi_shuffle_force_mid_mean,2.513076462312567,0.49940155092998806,0.2679979768684504,0.3464788732394366,6.229830452457311,0.3472989472981602
sqrtM_shuffle,sqrtM_shuffle,sqrtM_shuffle,-2.5907930633680687,0.5255474201847896,-0.26953345564267706,-0.21287726358148892,0.2745171177070336,0.07328618140126078
Phi_shuffle_phi_inner_minus_outer,Phi_shuffle,Phi_shuffle_phi_inner_minus_outer,-3.4654305470660995,0.5300279730631604,-0.551712510870196,-0.9019158428833872,0.016478120666412948,0.014731368154983621
Phi_shuffle_phi_mid_mean,Phi_shuffle,Phi_shuffle_phi_mid_mean,-3.476519201331305,0.5300847775138171,-0.5470093462066007,-0.900271192371621,0.016798420534499627,0.01494720241938722
Phi_shuffle_plus_shuffleM,combined,"sqrtM_shuffle,Phi_shuffle_phi_mid_mean",-4.284859139111651,0.5342257043577142,-0.27089777940440707,-0.24241098766512115,0.5581789765230488,0.10498150820283586
