name,theta_E_obs_arcsec,theta_E_BuP_arcsec,log_residual_BuP,Re_arcsec,sersic_n,logMs,Mstar_rel,J_spectral_over_h0,density_pearson,density_rmse,theta_E_baryon_arcsec,log_residual_baryon,name_key,sersic_n_measured,sersic_n_final,n_source,delta_kOR,C_obs,Re_arcsec_used,sersic_n_used,q_used,xi_used,S1_sum,S1_std,S1_phi_rms,S1_phi_abs_mean,S1_phi_std,S1_phi_inner_mean,S1_phi_mid_mean,S1_phi_outer_mean,S1_phi_inner_minus_outer,S1_grad_rms,S1_grad_abs_mean,S1_force_inner_mean,S1_force_outer_mean,S1_force_inner_minus_outer,S2_sum,S2_std,S2_phi_rms,S2_phi_abs_mean,S2_phi_std,S2_phi_inner_mean,S2_phi_mid_mean,S2_phi_outer_mean,S2_phi_inner_minus_outer,S2_grad_rms,S2_grad_abs_mean,S2_force_inner_mean,S2_force_outer_mean,S2_force_inner_minus_outer,S3_sum,S3_std,S3_phi_rms,S3_phi_abs_mean,S3_phi_std,S3_phi_inner_mean,S3_phi_mid_mean,S3_phi_outer_mean,S3_phi_inner_minus_outer,S3_grad_rms,S3_grad_abs_mean,S3_force_inner_mean,S3_force_outer_mean,S3_force_inner_minus_outer
J0008-0004,37.469,12.530029500170716,-1.0953858011639404,9.723,4.0,11.640000343322754,4.365161773191001,1.7892131127149076,0.999996658127392,0.0017882201169334,12.523939173861114,-1.095871977746086,J0008-0004,4.15,4.15,measured,0.0091153906227673,1.095871977746139,9.723,4.15,1.0,3.40305,0.0009236831501179591,1.0544406801201316e-05,9.435946969160536e-06,5.288909616119651e-06,9.435946969160536e-06,1.9284758523074326e-06,-4.629970389054436e-06,-3.083933020175298e-06,5.0124088724827305e-06,6.932449332458793e-05,2.870734727679403e-05,4.297514449888069e-05,1.3769587196694748e-07,4.2837448626913745e-05,0.442454138330515,0.003153000818674629,0.0025186469423975387,0.0019611613623159705,0.0025186469423975387,0.0009750625014250076,-0.0023106906111263602,-0.0015895593945736692,0.0025646218959986767,0.003945343110759208,0.002259100672487692,0.003344623449884335,6.578719300639297e-05,0.0032788362568779423,0.942454138330515,0.005761771184976481,0.004633351977444857,0.0037392111184687132,0.004633351977444857,0.002205326131561467,-0.005163811668042126,-0.003657492858203742,0.00586281898976521,0.0073130708520031855,0.004103397061210192,0.006057880339148855,0.00013975394569467475,0.00591812639345418
J0029-0055,12.661,11.693642341411865,-0.0794810980469624,7.858,4.0,11.579999923706056,3.801893295314423,1.789213112714907,0.9999966581273918,0.001788220116933,11.688564260099072,-0.079915452381365,J0029-0055,3.1500000000000004,3.1500000000000004,measured,0.0083253380787237,0.07991545238137132,7.858,3.1500000000000004,1.0,2.7502999999999997,0.0005688735922178132,5.89002594079383e-06,5.367216152967283e-06,3.1924513741962456e-06,5.367216152967283e-06,1.2691336921012207e-06,-3.0646838986544133e-06,-2.0118508697504692e-06,3.2809845618516897e-06,4.660334856910309e-05,1.944215170922934e-05,2.909820278470858e-05,1.0593787029604343e-07,2.8992264914412536e-05,0.4361146810606555,0.0028704679585570144,0.00238759999491293,0.001909789625108781,0.00238759999491293,0.0010085946692370768,-0.0024201226587934983,-0.001614256018154809,0.002622850687391886,0.0040264708950668825,0.002370664306663423,0.0035022357675224707,8.141766930545734e-05,0.0034208180982170135,0.9361146810606554,0.00539311580748757,0.004538242981703752,0.0037570904682629664,0.004538242981703752,0.0022658343783278382,-0.005385771109869717,-0.0036775664034416383,0.005943400781769477,0.007719755394248245,0.004424871535197252,0.006518504859722623,0.00017440843533004607,0.006344096424392576
J0037-0942,16.012,13.897830735859442,-0.1416056753410242,5.823,4.0,11.729999542236328,5.3703123031766005,1.7892131127149071,0.9999966581273918,0.0017882201169332,13.907776363968216,-0.1408903067826461,J0037-0942,5.133333333333334,5.133333333333334,measured,0.0090854748207059,0.1408903067826559,5.823,5.133333333333334,1.0,2.03805,0.0012163233266472456,1.4620479951779489e-05,1.2919368674134042e-05,7.044450813704502e-06,1.2919368674134042e-05,2.413806466015932e-06,-5.756422754881674e-06,-3.898803109182055e-06,6.312609575197987e-06,0.00016256121276545557,6.728261301080677e-05,0.00010073271891189045,2.9972053088889274e-07,0.00010043299838100156,0.8525270414205834,0.006357899755601198,0.004942237217386299,0.003834553683487068,0.004942237217386299,0.0018151534988753663,-0.004261386430800839,-0.002999227564700623,0.0048143810635759895,0.013842358387773852,0.007817954517380337,0.01158476883152729,0.00020936849663769059,0.0113754003348896,1.3525270414205832,0.009005764417417999,0.006993998177791066,0.005475729240288392,0.006993998177791066,0.0030251329453248243,-0.007035713029323414,-0.0050648187519758804,0.008089951697300705,0.019713845725615003,0.011091426169202084,0.016405553476571678,0.0003315017808740835,0.016074051695697596
J0044+0113,3.721,10.302586251892478,1.0184025067692537,4.154,4.0,11.470000267028809,2.951211041237279,1.7892131127149071,0.9999966581273918,0.0017882201169329,10.31001658234329,1.0191234570376306,J0044+0113,3.75,3.75,measured,0.0089574523705581,-1.0191234570378025,4.154,3.75,1.0,1.4539,0.0007878819495301648,8.719562831975173e-06,7.852859745115178e-06,4.486369613141952e-06,7.852859745115178e-06,1.685940589602328e-06,-4.059153028838317e-06,-2.6846093295709976e-06,4.370549919173326e-06,0.00013302825483835798,5.5183328287261914e-05,8.260440228285487e-05,2.7612436523334526e-07,8.232827791762152e-05,0.9568719043122151,0.006641561403543701,0.005380942703892828,0.004235424372151065,0.005380942703892828,0.00214579654181466,-0.005108327044407826,-0.0034748591228508114,0.0056206556646654715,0.018777973218842746,0.01085600346906246,0.016061267399954372,0.0003348044289835566,0.015726462970970814,1.4568719043122151,0.009188149995083711,0.007464936035377245,0.005937832550962215,0.0074649360353772455,0.003385989968439298,-0.008001614034696524,-0.005542345839060661,0.008928335807499958,0.0260653843735338,0.015020925030233423,0.022184642636948356,0.0005089209026051119,0.021675721734343244
J0157-0056,30.258,14.058904628550357,-0.7665046359059735,11.385,4.0,11.739999771118164,5.495405842387226,1.7892131127149071,0.9999966581273916,0.0017882201169332,14.05190646156213,-0.7670025345336837,J0157-0056,3.0,3.0,measured,0.0080455196108306,0.767002534533722,11.385,3.0,1.0,3.9847499999999996,0.0005123267362905809,5.185976298413416e-06,4.742393460668283e-06,2.8599591938336285e-06,4.742393460668283e-06,1.1558952395344837e-06,-2.7910323490507843e-06,-1.8325486090871498e-06,2.9884438486216335e-06,2.8142088079290226e-05,1.1769691452330709e-05,1.7613977258423723e-05,6.587053154338496e-08,1.7548106726880336e-05,0.28787327582283573,0.0018629140335967786,0.001561733183522758,0.0012538333756267263,0.001561733183522758,0.0006716028352451247,-0.0016150403125417853,-0.0010713710284387132,0.0017429738636838379,0.0017668539103286986,0.0010462454533548212,0.0015448400191974815,3.7188153642142436e-05,0.001507651865555339,0.7878732758228357,0.00438610477589499,0.003740037597078134,0.0031450641791183156,0.003740037597078134,0.001933525172633871,-0.004601544514543116,-0.0031325561759923647,0.005066081348626236,0.004306711621693843,0.0024344257838774266,0.0035823293752787087,0.00010156060158929453,0.003480768773689414
J0216-0813,26.386,19.63126136425356,-0.2957103032710333,11.452,4.0,12.029999732971191,10.715186464071412,1.7892131127149071,0.9999966581273916,0.0017882201169331,19.62380774334562,-0.2960900565700064,J0216-0813,5.8,5.8,measured,0.0088751325492219,0.29609005657001947,11.452,5.8,1.0,4.0081999999999995,0.0013830922489985037,1.7013169288420892e-05,1.4931050638787119e-05,8.112708027085842e-06,1.4931050638787119e-05,2.6692116372959118e-06,-6.340514851811356e-06,-4.336331697372301e-06,7.005543334668213e-06,9.662010212645038e-05,3.998246106481578e-05,5.986237621408689e-05,1.7229923498605173e-07,5.969007697910084e-05,0.4663748951110206,0.0035545335549840625,0.0027241327932075675,0.002106768616643945,0.0027241327932075675,0.0009748008734234216,-0.00227680594002934,-0.0016223975536643464,0.002597198427087768,0.004036713683834207,0.002264661302135177,0.0033573440006494327,5.7896404732263847e-05,0.003299447595917169,0.9663748951110207,0.006264822441836683,0.004803654143202051,0.0037606160271688553,0.004803654143202051,0.0021737142899014286,-0.00500957927616598,-0.0036852778834397344,0.005858992173341163,0.007224123626134765,0.003981941616315868,0.0058876481874495235,0.00011963099751570282,0.005768017189933821
J0252+0039,18.674,10.18469663106502,-0.6062459186817049,5.899,4.0,11.460000038146973,2.8840317564502844,1.7892131127149071,0.9999966581273916,0.0017882201169332,10.180890605901787,-0.6066196889210067,J0252+0039,3.35,3.35,measured,0.0085885603812838,0.6066196889210514,5.899,3.35,1.0,2.06465,0.0006434854976667173,6.83656162699827e-06,6.2031165778466326e-06,3.6324962956631215e-06,6.2031165778466326e-06,1.4148933205820968e-06,-3.4145789569599397e-06,-2.2449943253684493e-06,3.659887645950546e-06,7.258986239369451e-05,3.020839945891711e-05,4.521474882556489e-05,1.5942574616732804e-07,4.505532307939756e-05,0.6134658221990704,0.004119491909474004,0.0033938434074835856,0.0027003371506542626,0.0033938434074835856,0.001403261328896608,-0.003357773698123492,-0.002255271617462941,0.003658532946359549,0.007889841974338233,0.00461340525232849,0.006819487648787192,0.0001520643452914532,0.006667423303495739,1.1134658221990705,0.00664780006944946,0.005517412812892888,0.004498758768877817,0.005517412812892887,0.0026545199599712493,-0.0062974556617256304,-0.004320624178159369,0.006975144138130618,0.012870521598712048,0.007420739318611701,0.010943591789545083,0.00027548230942971386,0.01066810948011537
J0330-0020,26.972,11.69357844405934,-0.8357594506774846,4.504,4.0,11.579999923706056,3.801893295314423,1.7892131127149071,0.999996658127392,0.0017882201169328,11.702021527490963,-0.8350376838659108,J0330-0020,2.85,2.85,measured,0.0077416824833234,0.8350376838659594,4.504,2.85,1.0,1.5763999999999998,0.00045567637014949804,4.4930033056570795e-06,4.124702644419453e-06,2.527965154377944e-06,4.124702644419453e-06,1.0399139962196616e-06,-2.5088484974724213e-06,-1.6508074874062271e-06,2.6907214836258888e-06,6.119228222846302e-05,2.5722599628859985e-05,3.8492060732691035e-05,1.4799630365822267e-07,3.834406442903281e-05,0.6920615509507706,0.004393742272007748,0.0037148062703980522,0.0029939879322109617,0.0037148062703980522,0.0016295808733961198,-0.0039276531786146245,-0.0025906703149698547,0.004220251188365974,0.01018866724068347,0.006079328398090057,0.008969609066750567,0.00022658419957966483,0.008743024867170901,1.1920615509507708,0.0068708356972153415,0.005859712064390787,0.004844665229962378,0.005859712064390787,0.00289634922062346,-0.006936307790200877,-0.004649089092292962,0.007545438312916422,0.01617336261741739,0.009508525477736856,0.014000519837529375,0.00038981253878162745,0.013610707298747748
J0728+3835,14.216,13.272352005935884,-0.0686850158674614,6.011,4.0,11.6899995803833,4.897783461428336,1.7892131127149071,0.9999966581273916,0.0017882201169332,13.281699722793045,-0.0679809638200539,J0728+3835,3.1500000000000004,3.1500000000000004,measured,0.0083253380787269,0.06798096382005872,6.011,3.1500000000000004,1.0,2.10385,0.0005688735922178143,5.890025940793848e-06,5.367216152967302e-06,3.192451374196252e-06,5.367216152967302e-06,1.2691336921012262e-06,-3.064683898654432e-06,-2.0118508697504718e-06,3.280984561851698e-06,6.092315971652188e-05,2.5416141761957156e-05,3.803920769959082e-05,1.3848940023062906e-07,3.790071829936019e-05,0.5699448434952263,0.0037511786106638866,0.003120154779136614,0.0024959726638235217,0.003120154779136614,0.001318115591571396,-0.0031628120748026243,-0.0021096502914829595,0.0034277658830543555,0.006867391966902542,0.004044080009824697,0.0059742715372084745,0.00013909656849506923,0.005835174968713405,1.0699448434952261,0.00626374018261158,0.0052570464628208385,0.004322872294523703,0.0052570464628208385,0.0025753553006622066,-0.006128460525878931,-0.004172960676769896,0.006748315977432103,0.011630607132912422,0.006729483503722169,0.00991734964842243,0.0002606606076601353,0.009656689040762294
J0737+3216,21.785,18.1112446823946,-0.1846886610245066,8.415,4.0,11.960000038146973,9.120109194638909,1.7892131127149076,0.9999966581273916,0.001788220116933,18.123959516387348,-0.1839868664688668,J0737+3216,4.566666666666666,4.566666666666666,measured,0.0091639613174173,0.18398686646887627,8.415,4.566666666666666,1.0,2.9452499999999997,0.0010548502956408484,1.2349511042669652e-05,1.0987418912664218e-05,6.066872820675766e-06,1.0987418912664218e-05,2.1520875124548395e-06,-5.151582828401183e-06,-3.4567672214181773e-06,5.608854733873017e-06,9.443189246132334e-05,3.9092336446720586e-05,5.852455675694441e-05,1.8087761337343675e-07,5.834367914357098e-05,0.5470451025939702,0.003984688245747569,0.003142962322331186,0.002442653858322865,0.0031429623223311865,0.0011865727968120372,-0.0027999534229139963,-0.0019463377643341511,0.0031329105611461886,0.005886325178882428,0.00334563414692326,0.004955469843420835,9.351500267194567e-05,0.004861954840748889,1.0470451025939704,0.006614547825564422,0.005233914764905232,0.00414733710765789,0.005233914764905232,0.0024075837728325883,-0.0056166546362122335,-0.004013680455118115,0.006421264227950703,0.009876482509629046,0.0055433481155036214,0.008190382598246558,0.00017853883032369536,0.008011843767922862
