mode,omega2,omega,k2_line,k_line
1,2.554274938522391,1.5982099169140425,2.552139859658693,1.5975418178121952
2,2.5542749385224552,1.5982099169140627,2.5521398596586953,1.5975418178121958
3,4.792692346126361,2.1892218585895677,4.790630636643914,2.1887509307008677
4,9.138528794042559,3.0229999659349254,9.136479636204202,3.0226610190698198
5,9.177973311082324,3.0295170095383726,9.175875813345428,3.0291708128373065
6,10.869266650679075,3.296857086784181,10.86727076051403,3.2965543769994192
7,10.869266650679174,3.296857086784196,10.867270760514023,3.2965543769994183
8,16.425518502990197,4.052840794182544,16.423567259488387,4.05260006162567
9,17.319183063825488,4.161632259561804,17.317204394032686,4.161394525160127
10,17.31918306382569,4.161632259561829,17.317204394032675,4.1613945251601265
11,18.160402404731933,4.261502364745552,18.158577333996075,4.261288224703426
12,18.449824297406543,4.295325866265159,18.447850231283383,4.2950960677595305
13,22.98065274957694,4.793814008655002,22.978792557558332,4.793619984683635
14,22.98065274957724,4.793814008655033,22.978792557558343,4.793619984683636
15,24.16790834872574,4.916086690521816,24.1661473689951,4.915907583447344
16,24.7386557912914,4.973796918983665,24.736723513618514,4.9736026694558655
17,24.82804014155561,4.982774341825607,24.8262066963748,4.98259036008127
18,24.828040141555633,4.982774341825609,24.8262066963748,4.98259036008127
19,26.699181358981885,5.16712505741654,26.697306287812836,5.166943611828257
20,27.47637588981712,5.241791286365484,27.474337702931926,5.24159686573967
21,27.619163963055822,5.255393797143638,27.617159659944157,5.255203103586402
22,27.61916396305614,5.255393797143668,27.617159659944168,5.255203103586403
23,28.173683750302526,5.307888822338174,28.17181542729744,5.30771282449394
24,28.22960623183236,5.313154075672223,28.227704736860893,5.312975130457595
25,28.229606231832385,5.313154075672226,28.2277047368609,5.312975130457595
26,28.240830816277544,5.314210272117348,28.238923442541793,5.314030809333137
27,28.335960607929298,5.323153257978705,28.334086162046628,5.322977189698133
28,28.604740905713445,5.348340014033648,28.60286608609341,5.348164739991973
29,28.786042106627427,5.365262538462347,28.784096025128036,5.365081176005451
30,28.786042106627484,5.3652625384623525,28.784096025128044,5.365081176005452
31,28.985502043639688,5.383818537398868,28.9834384800426,5.383626889007317
32,29.29805848917549,5.412768098595716,29.296187365013555,5.412595252280883
33,29.308993749443342,5.413778140027844,29.307033394184657,5.4135970845810695
34,29.34596454548532,5.417191573637148,29.343910660348502,5.417001999293382
35,29.491697770277398,5.4306259096238065,29.489779101314745,5.4304492540962706
36,29.491697770277796,5.430625909623843,29.48977910131474,5.4304492540962706
37,29.72731753143234,5.452276362349247,29.7254196594193,5.452102315567757
38,29.865884865368276,5.464968880548935,29.86397559631551,5.464794195238784
39,29.865884865368283,5.464968880548935,29.863975596315505,5.464794195238784
40,29.882970727505363,5.466531873821405,29.880934559799737,5.466345631205526
41,29.946997566867566,5.472384998048617,29.9448265046504,5.472186629186764
42,29.946997566867736,5.472384998048633,29.9448265046504,5.472186629186764
43,29.965289766581343,5.474056061695143,29.96316624539233,5.473862095942163
44,29.979534105956187,5.475356984339577,29.977377912733303,5.475160081014372
45,30.23184349591279,5.498349160967571,30.229686222577918,5.498152982827771
46,30.28231530529261,5.50293697086316,30.28037996625444,5.502761122041774
47,30.364778888012538,5.510424565132213,30.362709974235017,5.510236834677346
48,30.364778888012637,5.510424565132222,30.362709974235024,5.510236834677347
49,30.619991933936184,5.533533404067982,30.61807771628439,5.5333604361440605
50,30.776511096422627,5.547658163263363,30.774130385009666,5.547443590070085
51,30.882199329913078,5.557175481295609,30.879896330063534,5.556968267865449
52,30.882199329913455,5.557175481295642,30.879896330063527,5.556968267865449
53,30.96106214740035,5.5642665417286,30.95874667626053,5.564058471678791
54,31.13224846380648,5.5796279861480444,31.13007886209289,5.579433561042992
55,31.13224846380648,5.5796279861480444,31.130078862092883,5.579433561042992
56,31.375992075819987,5.6014276819235995,31.37399797489035,5.601249679749185
57,31.477691612022213,5.610498339008952,31.475680163095188,5.6103190785458175
58,31.477691612022277,5.610498339008958,31.475680163095184,5.610319078545817
59,31.61985640320639,5.623153599467686,31.617910307276404,5.622980553698937
60,31.76873277970687,5.636375855078055,31.766449387287295,5.636173292872328
61,31.790626588623077,5.638317709088685,31.788610855978227,5.638138953234323
62,31.85391302731635,5.643927092664854,31.851739488911534,5.6437345338801626
63,31.922169831491193,5.6499707814723426,31.92020038771417,5.649796490822848
64,31.922169831491285,5.6499707814723505,31.920200387714182,5.649796490822849
65,32.0684934329665,5.662905034782633,32.066267888231664,5.6627085293374995
66,32.09096153534189,5.66488848392816,32.088684295229776,5.664687484339253
67,32.09096153534214,5.664888483928182,32.08868429522976,5.664687484339252
68,32.18098573367726,5.672828724161982,32.1789720002343,5.672651232028486
69,32.208849106055624,5.675284055098531,32.206458430964574,5.675073429565875
70,32.31138365473498,5.684310305985677,32.30931545014708,5.684128380864307
71,32.41366463684592,5.693299977767369,32.41150848933091,5.693110616291494
72,32.4136646368463,5.693299977767402,32.41150848933095,5.693110616291497
73,32.47545552792527,5.698724026299683,32.47297864074704,5.698506702702651
74,32.60602349293779,5.710168429471918,32.60378723998931,5.709972612893105
75,32.75500726213709,5.72319904093306,32.75280599056427,5.723006726412636
76,32.75500726213722,5.72319904093307,32.752805990564255,5.723006726412634
77,32.78078066499314,5.725450258712684,32.77850743888553,5.725251735852803
78,32.86772566327089,5.733038083186862,32.8653465192036,5.732830585252245
79,32.880247056083356,5.734130017368228,32.87793104947236,5.733928064553336
80,32.880247056083405,5.734130017368233,32.877931049472366,5.733928064553336
