run,return_code,eta_edge,source_width,pulse_sigma,run_dir,log_path,N_nodes,N_edges,c_edge,meff2,R2_disp,plus_corr,cross_corr,plus_low25_energy,cross_low25_energy,plus_k_weighted,cross_k_weighted,plus_dominant_mode,cross_dominant_mode,plus_dominant_frac,cross_dominant_frac,plus_packet_v,cross_packet_v,plus_packet_r2,cross_packet_r2,mean_corr,mean_low25_energy,mean_k_weighted,score
eta0p75_sw0p12_ps0p25,0,0.75,0.12,0.25,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/runs/eta0p75_sw0p12_ps0p25,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/logs/eta0p75_sw0p12_ps0p25.log,121,978,0.8660480937694932,0.002368339477794373,0.9999999933318887,0.9997114536239581,0.9997247577925402,0.0033335888800746305,0.009097730139709497,4.066011679592033,4.2451376354660795,132,134,0.5592192509207915,0.34081968127434187,0.07850698334135782,0.22312191162280562,0.5337415518011217,0.05527077719915885,0.9997181057082491,0.0062156595098920644,4.155574657529057,0.9987857567817653
eta0p75_sw0p12_ps0p35,0,0.75,0.12,0.35,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/runs/eta0p75_sw0p12_ps0p35,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/logs/eta0p75_sw0p12_ps0p35.log,121,978,0.8660480937694927,0.0023683394778011356,0.9999999933318887,0.9986180796286055,0.9978057212102757,0.004899822742188276,0.013609889254849454,4.017642810610628,4.17872330406144,132,134,0.5784288880506143,0.37417769244710536,0.07850698334135782,0.22271957947923032,0.5337415518011217,0.05549772518575191,0.9982119004194405,0.009254855998518864,4.098183057336033,0.9968236720196627
eta0p75_sw0p12_ps0p5,0,0.75,0.12,0.5,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/runs/eta0p75_sw0p12_ps0p5,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/logs/eta0p75_sw0p12_ps0p5.log,121,978,0.8660480937694931,0.002368339477795348,0.9999999933318887,0.9863359373963608,0.9789077972931198,0.010538366948467192,0.029399242332294944,3.9389400493451174,4.06211177101072,132,134,0.587265237284285,0.41580414272880317,0.07847847939896285,0.208437176359299,0.534331712508106,0.0637992911601869,0.9826218673447403,0.019968804640381067,4.0005259101779185,0.9796265466486832
eta0p75_sw0p16_ps0p25,0,0.75,0.16,0.25,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/runs/eta0p75_sw0p16_ps0p25,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/logs/eta0p75_sw0p16_ps0p25.log,121,978,0.8660480937694934,0.0023683394777912355,0.9999999933318887,0.9992707931863075,0.9994639127527357,0.010457887506909404,0.019585672679597273,4.1445438984889815,4.3034373755815585,132,134,0.5624851201676516,0.2727064624213121,0.2093963205469534,0.099196581865348,0.14125372901250688,0.18576724717158577,0.9993673529695216,0.015021780093253338,4.22399063703527,0.9971140859555336
eta0p75_sw0p16_ps0p35,0,0.75,0.16,0.35,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/runs/eta0p75_sw0p16_ps0p35,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/logs/eta0p75_sw0p16_ps0p35.log,121,978,0.8660480937694929,0.002368339477799923,0.9999999933318887,0.9982366742437313,0.9974452140672944,0.01592742919520623,0.029983546556952546,4.078373084423424,4.220318873466098,132,134,0.5981133062137225,0.30582284874870186,0.2027667466084362,0.09877726579896873,0.15389459024469765,0.1920223323237018,0.9978409441555128,0.022955487876079386,4.149345978944761,0.9943976209741009
eta0p75_sw0p16_ps0p5,0,0.75,0.16,0.5,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/runs/eta0p75_sw0p16_ps0p5,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/logs/eta0p75_sw0p16_ps0p5.log,121,978,0.866048093769493,0.0023683394777961344,0.9999999933318887,0.9806589849859209,0.9724989268053874,0.03609564747723,0.06656779807017556,3.949252733238035,4.052284122427827,132,134,0.6254701776462331,0.3453095043652351,0.2027667466084362,0.09872087320602568,0.15421472619702337,0.19224484262676522,0.9765789558956541,0.05133172277370278,4.000768427832931,0.9688791974795987
eta0p75_sw0p22_ps0p25,0,0.75,0.22,0.25,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/runs/eta0p75_sw0p22_ps0p25,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/logs/eta0p75_sw0p22_ps0p25.log,121,978,0.8660480937694928,0.0023683394778009144,0.9999999933318887,0.9970166177912303,0.9982286618087663,0.0417130615808505,0.0638015535377029,4.098457172517705,4.278704054767421,132,134,0.37203727107200857,0.14883422610483207,,0.31269345661423775,0.0674303157453977,0.01866068035013968,0.9976226397999983,0.052757307559276705,4.1885806136425625,0.9897090436661068
eta0p75_sw0p22_ps0p35,0,0.75,0.22,0.35,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/runs/eta0p75_sw0p22_ps0p35,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/logs/eta0p75_sw0p22_ps0p35.log,121,978,0.8660480937694927,0.0023683394778007036,0.9999999933318887,0.9972125462141788,0.9966228192166309,0.06342100958104512,0.09705966454791129,3.9725330182265504,4.14508009329039,132,134,0.38807028106551894,0.16528013458948848,,0.3654257850965208,0.22990822611597383,0.014204571780660369,0.9969176827154048,0.0802403370644782,4.05880655575847,0.9848816321557331
eta0p75_sw0p22_ps0p5,0,0.75,0.22,0.5,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/runs/eta0p75_sw0p22_ps0p5,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/logs/eta0p75_sw0p22_ps0p5.log,121,978,0.8660480937694929,0.0023683394777969657,0.9999999933318887,0.9672979253336018,0.9576900629925722,0.13580791656107818,0.2035879299030777,3.699052702261446,3.8351925708694234,132,134,0.36557514405741937,0.1712737072707609,,0.3672886183255596,0.2773616731681615,0.014086375422893815,0.962493994163087,0.16969792323207794,3.7671226365654347,0.9370393056782753
eta1_sw0p12_ps0p25,0,1.0,0.12,0.25,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/runs/eta1_sw0p12_ps0p25,papers/paper22_bup_gravitational_waves/results/scan_true_edge_hessian_v10/logs/eta1_sw0p12_ps0p25.log,121,978,1.000019650843658,0.0023684399975263904,0.999999996248919,0.9998391768799255,0.9997727754432434,0.0038208866437438715,0.010483732679245964,4.048296465066097,4.221347732680339,132,134,0.5671215702339882,0.35329317445784914,0.09070472173084068,0.11465288523251206,0.532935735307415,0.15436466090859657,0.9998059761615845,0.007152309661494918,4.134822098873219,0.9987331297123603
