dataset,j,beta_mean
Delta1_ES,0.0,0.0
Delta1_ES,1.0,1.30399250299057
Delta1_ES,2.0,1.64161335088395
Delta1_ES,3.0,1.79989675365908
Delta1_ES,4.0,1.96019497972567
Delta1_ES,5.0,2.10155169131327
Delta1_ES,6.0,2.15651851678181
Delta1_ES,7.0,2.13696785852675
Delta1_ES,8.0,2.00948289326639
Delta1_ES,9.0,1.86060030647704
Delta1_ES,10.0,1.66616344919307
Delta1_ES,11.0,1.29696426947377
Delta1_ES,12.0,0.0
Delta1_GS,0.0,0.0
Delta1_GS,1.0,5.3705105369871
Delta1_GS,2.0,11.2210615421889
Delta1_GS,3.0,16.0816488676156
Delta1_GS,4.0,20.2258830763365
Delta1_GS,5.0,22.6643377975023
Delta1_GS,6.0,23.7429764035345
Delta1_GS,7.0,22.7272868030214
Delta1_GS,8.0,20.4919210988605
Delta1_GS,9.0,16.3372866932192
Delta1_GS,10.0,11.2953752688616
Delta1_GS,11.0,5.36441140611757
Delta1_GS,12.0,0.0
Delta1p7_ES,0.0,0.0
Delta1p7_ES,1.0,1.54919384979421
Delta1p7_ES,2.0,2.1707265092631
Delta1p7_ES,3.0,2.53005996759094
Delta1p7_ES,4.0,2.69323302042501
Delta1p7_ES,5.0,2.77366380083453
Delta1p7_ES,6.0,2.76440737708889
Delta1p7_ES,7.0,2.76616669528007
Delta1p7_ES,8.0,2.71953423640734
Delta1p7_ES,9.0,2.57449459814112
Delta1p7_ES,10.0,2.22367018796477
Delta1p7_ES,11.0,1.58937684390169
Delta1p7_ES,12.0,0.0
Delta1p7_GS,0.0,0.0
Delta1p7_GS,1.0,4.33792231808115
Delta1p7_GS,2.0,11.0472392271137
Delta1p7_GS,3.0,18.1727536922716
Delta1p7_GS,4.0,24.77924337637
Delta1p7_GS,5.0,29.6226569951652
Delta1p7_GS,6.0,30.9457658747657
Delta1p7_GS,7.0,29.8141160807223
Delta1p7_GS,8.0,25.1704722880618
Delta1p7_GS,9.0,18.3093765123956
Delta1p7_GS,10.0,11.0339398240054
Delta1p7_GS,11.0,4.28892881193471
Delta1p7_GS,12.0,0.0
