delta,state,L_A,S_vN
Delta1,GS,2.0,0.935892479935507
Delta1,GS,3.0,1.01846151137961
Delta1,GS,4.0,1.0930531653749
Delta1,GS,5.0,1.05512239158813
Delta1,GS,6.0,1.1481023430227
Delta1,GS,7.0,1.08840322087624
Delta1,GS,8.0,1.11942892827646
Delta1,GS,9.0,0.997706651913231
Delta1,GS,10.0,1.08667006592346
Delta1,GS,11.0,1.02578812116814
Delta1,GS,12.0,1.08552718943947
Delta1,GS,13.0,0.932030588099121
Delta1,GS,14.0,1.05091464760625
Delta1,ES,2.0,1.27275392020797
Delta1,ES,3.0,1.7849805622817
Delta1,ES,4.0,2.27659502141012
Delta1,ES,5.0,2.74745637546672
Delta1,ES,6.0,3.17980832155677
Delta1,ES,7.0,3.58545716208729
Delta1,ES,8.0,3.97904837973099
Delta1,ES,9.0,4.36358946190365
Delta1,ES,10.0,4.73586070177115
Delta1,ES,11.0,5.08536775936789
Delta1,ES,12.0,5.40622877947353
Delta1p7,GS,2.0,1.0457170312396
Delta1p7,GS,3.0,1.20482651869869
Delta1p7,GS,4.0,1.1070768966975
Delta1p7,GS,5.0,1.04259853999539
Delta1p7,GS,6.0,1.0577402912837
Delta1p7,GS,7.0,0.978865356983429
Delta1p7,GS,8.0,1.01525835293111
Delta1p7,GS,9.0,0.911505287033679
Delta1p7,GS,10.0,0.994082241916342
Delta1p7,GS,11.0,0.955865645518186
Delta1p7,GS,12.0,1.00337517429349
Delta1p7,GS,13.0,0.90578589039283
Delta1p7,ES,2.0,1.14982805007899
Delta1p7,ES,3.0,1.50586116598353
Delta1p7,ES,4.0,1.8012448813743
Delta1p7,ES,5.0,2.00755248531971
Delta1p7,ES,6.0,2.19508468302629
Delta1p7,ES,7.0,2.3823443979502
Delta1p7,ES,8.0,2.63695099090072
Delta1p7,ES,9.0,2.87857448087688
Delta1p7,ES,10.0,3.10176994755786
Delta1p7,ES,11.0,3.292632248874
Delta1p7,ES,12.0,3.47636502417868
