state,group,cell_index,n_rows,n_cols,kind,n_coeff,n_positive,beta_min_positive,beta_max,beta_mean,beta_cv,beta_edge_to_center,rho_edge_fraction,rho_center_fraction,rho_edge_to_center,r2_flat,r2_parabola,r2_triangle
ground,dataMPSEdges,0,14,2,mps_or_fit,14,13,3.7058,24.606,17.102561538461536,0.3932395903562958,0.7459228462880119,0.3000441041570489,0.05092101306335049,2.9461717875071147,0.0,0.0610805076223242,0.05694823944044547
ground,dataMPSEdges,1,12,2,mps_or_fit,12,11,3.7611,21.9291,15.117281818181818,0.38536324147293843,0.7734657257093308,0.32362133779887625,0.06256175688581751,2.5864150393787924,0.0,0.052251632453650165,0.048437419498475576
ground,dataMPSEdges,2,10,2,mps_or_fit,10,9,3.7541,19.1554,13.139288888888888,0.38418719217216374,0.7987190929755812,0.358764996516041,0.07852355735754601,2.2844418196851097,1.1102230246251565e-16,0.04360335958185857,0.040385709500812994
ground,dataMPSEdges,3,8,2,mps_or_fit,8,7,3.7339,15.9463,10.950928571428571,0.37733592780989766,0.831806116755989,0.4111201820678108,0.1051440012343205,1.9550339403177257,0.0,0.03476586532196846,0.03202512752594877
ground,dataMPSEdges,4,6,2,mps_or_fit,6,5,3.6895,12.2922,8.564620000000001,0.3593672362474452,0.8729257928141488,0.5020418865583403,0.15563184247308265,1.61291506474702,0.0,0.02451722949200652,0.022750369019281846
ground,dataMPSEdges,5,4,2,mps_or_fit,4,3,3.5899,8.1563,6.002300000000001,0.3120733369066037,0.9380899899372275,0.7152268368731834,0.2847731631268166,1.2557834260433365,0.0,0.00951494533193653,0.00951494533193653
ground,databulk,0,5,4,experimental,5,3,3.10698394930509,4.37897655859897,3.5442078478993864,0.166607849967714,0.7140534896012334,0.7369129574812225,0.2630870425187776,1.4005116907812478,0.0,0.9992474371182754,0.9992474371182754
ground,databulk,1,7,4,experimental,7,5,3.57371351967127,7.14756743260181,5.46387781696411,0.27368737574210045,0.5124259575139462,0.5476656382733223,0.1402364026365807,1.9526514798464447,0.0,0.9968046612288856,0.8925969358955983
ground,databulk,2,9,4,experimental,9,7,4.22027378962186,11.4882948044632,8.444730822140356,0.3217635901964355,0.3893567100793016,0.46968788982457094,0.09114607129366027,2.576566840227816,0.0,0.9640590842256402,0.8720926977529762
ground,databulk,3,11,4,experimental,11,9,4.60072571428804,18.0425828331178,11.924531826857978,0.39903551351680766,0.28466125726092617,0.4311614991120625,0.061080250394298936,3.529467350974595,-2.220446049250313e-16,0.9698768315782716,0.9386381408136891
ground,databulk,4,13,4,experimental,13,11,4.73217287246589,23.0571859311509,15.176107000315312,0.37863063219539694,0.2406961619227439,0.39953508184684344,0.04703969397535185,4.246786576207259,0.0,0.9348686735913031,0.8883692149221444
ground,databulk,5,15,2,mps_or_fit,15,13,5.5171395193251,29.2540484739183,20.02302832490981,0.4086507138891562,0.18859405132400575,0.40681663026937287,0.03836159822424059,5.30239417934765,0.0,1.0,0.9323467230443978
ground,databulk,6,17,2,mps_or_fit,17,15,5.88867372252639,37.0497708711027,25.178876719264125,0.4188554804666976,0.15893954494383428,0.3978783854525657,0.03161930476340915,6.291700409444218,-2.220446049250313e-16,1.0,0.9335556084782083
ground,databulk,7,19,2,mps_or_fit,19,17,6.38024173245671,46.8013549882556,31.643437517331,0.42621336279245303,0.13632600453678695,0.3917261804857112,0.026701232529036646,7.335357647998511,0.0,1.0,0.9343907714491709
ground,databulk,8,21,2,mps_or_fit,21,19,7.2297602746382,55.096261288635,37.36792757974731,0.4225681466089621,0.1312205239619321,0.3666864870852175,0.024058396482541242,7.620759084075189,0.0,1.0,0.9349893803675315
ground,dataedges,0,4,4,experimental,4,3,2.96359626987579,5.1124530445849,4.119073603322007,0.21478697696124172,0.9432055364915287,0.6953065565079682,0.3046934434920318,1.1409936304161916,0.0,0.01678455160561343,0.01678455160561365
