state,group,cell_index,local_index,site,beta,rho_inv_beta_norm
ground,databulk,0,0,17.0,0.0,0.0
ground,databulk,0,1,18.0,3.1466630357941,0.36611864027255886
ground,databulk,0,2,19.0,4.37897655859897,0.2630870425187776
ground,databulk,0,3,20.0,3.10698394930509,0.3707943172086636
ground,databulk,0,4,21.0,0.0,0.0
ground,databulk,1,0,17.0,0.0,0.0
ground,databulk,1,1,18.0,3.75148465142169,0.2671873238160794
ground,databulk,1,2,19.0,6.41401868763207,0.15627474648355077
ground,databulk,1,3,20.0,7.14756743260181,0.1402364026365807
ground,databulk,1,4,21.0,6.43260479349371,0.15582321260654622
ground,databulk,1,5,22.0,3.57371351967127,0.2804783144572429
ground,databulk,1,6,23.0,0.0,0.0
ground,databulk,2,0,17.0,0.0,0.0
ground,databulk,2,1,18.0,4.22027378962186,0.24811493033109872
ground,databulk,2,2,19.0,7.9591895124381,0.13156024688868512
ground,databulk,2,3,20.0,10.303252175218,0.10162936124273156
ground,databulk,2,4,21.0,11.4882948044632,0.09114607129366027
ground,databulk,2,5,22.0,10.8537969849131,0.09647434337915926
ground,databulk,2,6,23.0,9.56249293897623,0.10950208737119284
ground,databulk,2,7,24.0,4.72581554935199,0.22157295949347222
ground,databulk,2,8,25.0,0.0,0.0
ground,databulk,3,0,17.0,0.0,0.0
ground,databulk,3,1,18.0,4.60072571428804,0.23032969125383773
ground,databulk,3,2,19.0,8.92953739261181,0.11867173927647424
ground,databulk,3,3,20.0,12.7905720538375,0.0828488146468495
ground,databulk,3,4,21.0,16.5098152443196,0.06418507521943065
ground,databulk,3,5,22.0,17.3490404259126,0.061080250394298936
ground,databulk,3,6,23.0,18.0425828331178,0.058732374578348574
ground,databulk,3,7,24.0,13.9528212682976,0.07594763187594746
ground,databulk,3,8,25.0,9.86921790380304,0.10737261489658811
ground,databulk,3,9,26.0,5.27647360553379,0.20083180785822471
ground,databulk,3,10,27.0,0.0,0.0
ground,databulk,4,0,17.0,0.0,0.0
ground,databulk,4,1,18.0,4.73217287246589,0.22919766444816084
ground,databulk,4,2,19.0,9.69719753626084,0.11184705334489253
ground,databulk,4,3,20.0,14.2788655169965,0.07595862352251276
ground,databulk,4,4,21.0,17.5455153136356,0.06181653549333037
ground,databulk,4,5,22.0,19.4127464288931,0.05587066075925506
ground,databulk,4,6,23.0,23.0571859311509,0.047039693975351855
ground,databulk,4,7,24.0,20.6691127638634,0.052474578010449455
ground,databulk,4,8,25.0,19.4600975426785,0.05573471395790553
ground,databulk,4,9,26.0,18.1578890178607,0.05973177658852718
ground,databulk,4,10,27.0,13.5590146353947,0.07999128250093183
ground,databulk,4,11,28.0,6.36737944426833,0.17033741739868263
ground,databulk,4,12,29.0,0.0,0.0
excited,databulk,0,0,17.0,0.0,0.0
excited,databulk,0,1,18.0,0.903673105800329,1.0
excited,databulk,0,2,19.0,0.0,0.0
excited,databulk,1,0,17.0,0.0,0.0
excited,databulk,1,1,18.0,1.12762874034061,0.346750724720037
excited,databulk,1,2,19.0,1.27571919088668,0.306498550559926
excited,databulk,1,3,20.0,1.12762874034061,0.346750724720037
excited,databulk,1,4,21.0,0.0,0.0
excited,databulk,2,0,17.0,0.0,0.0
excited,databulk,2,1,18.0,1.08329961050898,0.23885496949200635
excited,databulk,2,2,19.0,1.46740033888663,0.1763332667724126
excited,databulk,2,3,20.0,1.5254457873647,0.16962352747116213
excited,databulk,2,4,21.0,1.46740033888663,0.1763332667724126
excited,databulk,2,5,22.0,1.08329961050898,0.23885496949200635
excited,databulk,2,6,23.0,0.0,0.0
excited,databulk,3,0,17.0,0.0,0.0
excited,databulk,3,1,18.0,1.15740942265283,0.1741314572854474
excited,databulk,3,2,19.0,1.45874385529176,0.13816091749852533
excited,databulk,3,3,20.0,1.54942490304903,0.13007496461806128
excited,databulk,3,4,21.0,1.74849978598384,0.11526532119593194
excited,databulk,3,5,22.0,1.54942490304903,0.13007496461806128
excited,databulk,3,6,23.0,1.45874385529176,0.13816091749852533
excited,databulk,3,7,24.0,1.15740942265283,0.1741314572854474
excited,databulk,3,8,25.0,0.0,0.0
excited,databulk,4,0,17.0,0.0,0.0
excited,databulk,4,1,18.0,1.19251817586821,0.14160895631346992
excited,databulk,4,2,19.0,1.51150110097717,0.11172420196079688
excited,databulk,4,3,20.0,1.68185111768785,0.100407968632621
excited,databulk,4,4,21.0,1.78667950646824,0.09451681382037615
excited,databulk,4,5,22.0,1.63185672007571,0.10348411854547218
excited,databulk,4,6,23.0,1.78667950646824,0.09451681382037615
excited,databulk,4,7,24.0,1.68185111768785,0.100407968632621
excited,databulk,4,8,25.0,1.51150110097717,0.11172420196079688
excited,databulk,4,9,26.0,1.19251817586821,0.14160895631346992
excited,databulk,4,10,27.0,0.0,0.0
excited,databulk,5,0,17.0,0.0,0.0
excited,databulk,5,1,18.0,1.27191280286353,0.1176288432327772
excited,databulk,5,2,19.0,1.59915970681957,0.09355765472064702
excited,databulk,5,3,20.0,1.75994347470944,0.08501047553160597
excited,databulk,5,4,21.0,1.91455907264992,0.07814521569539136
excited,databulk,5,5,22.0,1.8284319402771,0.08182619675256951
excited,databulk,5,6,23.0,1.70668631395903,0.08766322813401783
excited,databulk,5,7,24.0,1.8284319402771,0.08182619675256951
excited,databulk,5,8,25.0,1.91455907264992,0.07814521569539136
excited,databulk,5,9,26.0,1.75994347470944,0.08501047553160597
excited,databulk,5,10,27.0,1.59915970681957,0.09355765472064702
excited,databulk,5,11,28.0,1.27191280286353,0.1176288432327772
excited,databulk,5,12,29.0,0.0,0.0
