sigma,omega,chi,psi,normalize_components,center,T00_sum,Taa_sum,Tgrad_sum,Fflux_sum,Taa_over_T00,Tgrad_over_T00,Fflux_over_T00,pearson_flux_abs_delta_R,pearson_flux_abs_delta_R_p,spearman_flux_abs_delta_R,spearman_flux_abs_delta_R_p,pearson_flux_delta_R,pearson_flux_delta_R_p,spearman_flux_delta_R,spearman_flux_delta_R_p,spearman_full_abs_delta_R,spearman_full_abs_delta_R_p,spearman_full_delta_R,spearman_full_delta_R_p,spearman_Fflux_abs_delta_R,spearman_Fflux_abs_delta_R_p,spearman_Fflux_delta_R,spearman_Fflux_delta_R_p
0.02,-0.5,0.5,-10.0,True,12,0.00015979341027679762,0.0002708799728472543,2.0620364376353668e-08,0.0003615232417567076,1.6951886337367112,0.00012904389699571855,2.262441493240986,-0.19440100868727606,0.41148257098198865,0.5000001417568464,0.02476951142560396,-0.26979275955449494,0.24999937598239022,-0.021084343327095932,0.9296939090729335,0.4578314551026546,0.04236724809774765,0.2861446594391591,0.2213087437147841,0.1837349918504074,0.43809364553034597,0.49397604366339043,0.02684855018705229
0.02,-0.5,0.5,-5.0,True,12,0.00015979341027679762,0.0002708799728472543,2.0620364376353668e-08,0.0003615232417567076,1.6951886337367112,0.00012904389699571855,2.262441493240986,-0.18422551626337996,0.4368503649608038,0.4578314551026546,0.04236724809774765,-0.26956561360431447,0.2504138658923316,0.057228931887831826,0.8106001204839092,0.4578314551026546,0.04236724809774765,0.2861446594391591,0.2213087437147841,0.1837349918504074,0.43809364553034597,0.49397604366339043,0.02684855018705229
0.02,-0.5,0.5,-3.0,True,12,0.00015979341027679762,0.0002708799728472543,2.0620364376353668e-08,0.0003615232417567076,1.6951886337367112,0.00012904389699571855,2.262441493240986,-0.16597338833396663,0.4843418037481204,0.4578314551026546,0.04236724809774765,-0.26858401369294294,0.2522101014689348,0.057228931887831826,0.8106001204839092,0.4578314551026546,0.04236724809774765,0.2861446594391591,0.2213087437147841,0.1837349918504074,0.43809364553034597,0.49397604366339043,0.02684855018705229
0.02,-0.5,0.5,-1.0,True,12,0.00015979341027679762,0.0002708799728472543,2.0620364376353668e-08,0.0003615232417567076,1.6951886337367112,0.00012904389699571855,2.262441493240986,0.2761662070396023,0.23854772416652567,0.325301297046623,0.16165464623925294,-0.06574773525160951,0.7830105227050839,-0.015060245233639951,0.9497522114214718,0.4578314551026546,0.04236724809774765,0.2861446594391591,0.2213087437147841,0.1837349918504074,0.43809364553034597,0.49397604366339043,0.02684855018705229
0.02,-0.5,0.5,-0.5,True,12,0.00015979341027679762,0.0002708799728472543,2.0620364376353668e-08,0.0003615232417567076,1.6951886337367112,0.00012904389699571855,2.262441493240986,0.32841301198240425,0.15744737319639815,0.4578314551026546,0.04236724809774765,0.24081899832989276,0.3064106700751965,0.2861446594391591,0.2213087437147841,0.4578314551026546,0.04236724809774765,0.2861446594391591,0.2213087437147841,0.1837349918504074,0.43809364553034597,0.49397604366339043,0.02684855018705229
0.02,-0.5,0.5,0.0,True,12,0.00015979341027679762,0.0002708799728472543,2.0620364376353668e-08,0.0003615232417567076,1.6951886337367112,0.00012904389699571855,2.262441493240986,0.27245025842839843,0.24518257738073174,0.4578314551026546,0.04236724809774765,0.2621390161529542,0.2642072339501326,0.2861446594391591,0.2213087437147841,0.4578314551026546,0.04236724809774765,0.2861446594391591,0.2213087437147841,0.1837349918504074,0.43809364553034597,0.49397604366339043,0.02684855018705229
0.02,-0.5,0.5,0.5,True,12,0.00015979341027679762,0.0002708799728472543,2.0620364376353668e-08,0.0003615232417567076,1.6951886337367112,0.00012904389699571855,2.262441493240986,0.2501660685948852,0.2874323548226133,0.4578314551026546,0.04236724809774765,0.26629059286126605,0.25643875107199426,0.2861446594391591,0.2213087437147841,0.4578314551026546,0.04236724809774765,0.2861446594391591,0.2213087437147841,0.1837349918504074,0.43809364553034597,0.49397604366339043,0.02684855018705229
0.02,-0.5,0.5,1.0,True,12,0.00015979341027679762,0.0002708799728472543,2.0620364376353668e-08,0.0003615232417567076,1.6951886337367112,0.00012904389699571855,2.262441493240986,0.23855311079511682,0.31112286267411626,0.4728917003362946,0.035227879989392925,0.2677608330938211,0.2537227543780058,0.30120490467279903,0.1968721163579585,0.4578314551026546,0.04236724809774765,0.2861446594391591,0.2213087437147841,0.1837349918504074,0.43809364553034597,0.49397604366339043,0.02684855018705229
0.02,-0.5,0.5,3.0,True,12,0.00015979341027679762,0.0002708799728472543,2.0620364376353668e-08,0.0003615232417567076,1.6951886337367112,0.00012904389699571855,2.262441493240986,0.22070827774886775,0.3497442502676621,0.4728917003362946,0.035227879989392925,0.26921575203950543,0.2510531411214139,0.30120490467279903,0.1968721163579585,0.4578314551026546,0.04236724809774765,0.2861446594391591,0.2213087437147841,0.1837349918504074,0.43809364553034597,0.49397604366339043,0.02684855018705229
0.02,-0.5,0.5,5.0,True,12,0.00015979341027679762,0.0002708799728472543,2.0620364376353668e-08,0.0003615232417567076,1.6951886337367112,0.00012904389699571855,2.262441493240986,0.21467654131699537,0.3633997526031376,0.4593374796260185,0.04160678137627913,0.26950494912527384,0.2505246389550374,0.34487961585035487,0.1364427613581774,0.4578314551026546,0.04236724809774765,0.2861446594391591,0.2213087437147841,0.1837349918504074,0.43809364553034597,0.49397604366339043,0.02684855018705229
