sigma,chi,omega,normalize_components,T00_sum,Taa_sum,Tgrad_sum,Taa_over_T00,Tgrad_over_T00,center,pearson_full_abs_delta_R,pearson_full_abs_delta_R_p,spearman_full_abs_delta_R,spearman_full_abs_delta_R_p,pearson_full_delta_R,pearson_full_delta_R_p,spearman_full_delta_R,spearman_full_delta_R_p,spearman_fluid_abs_delta_R,spearman_fluid_abs_delta_R_p,spearman_fluid_delta_R,spearman_fluid_delta_R_p,spearman_grad_abs_delta_R,spearman_grad_abs_delta_R_p,spearman_grad_delta_R,spearman_grad_delta_R_p
0.01,-10.0,-0.5,True,2.1069171053776782e-05,4.05086380079311e-05,5.450802669873956e-10,1.9226498235045497,2.587098778571483e-05,12,-0.17657967839279332,0.45643922691828837,-0.5158132530120483,0.019913078882278876,0.25563480037088737,0.27667280480609635,0.16039156626506024,0.4993575438288244,0.16242230958858758,0.4938686193721939,0.13649574373876608,0.5660902079869379,0.5124342072946383,0.020881036076308264,-0.16428037822092814,0.48887240843404717
0.01,-5.0,-0.5,True,2.1069171053776782e-05,4.05086380079311e-05,5.450802669873956e-10,1.9226498235045497,2.587098778571483e-05,12,-0.18229106249692217,0.4417641894961879,-0.5158132530120483,0.019913078882278876,0.25728525111973094,0.2734755733312999,0.16039156626506024,0.4993575438288244,0.16242230958858758,0.4938686193721939,0.13649574373876608,0.5660902079869379,0.5124342072946383,0.020881036076308264,-0.16428037822092814,0.48887240843404717
0.01,-3.0,-0.5,True,2.1069171053776782e-05,4.05086380079311e-05,5.450802669873956e-10,1.9226498235045497,2.587098778571483e-05,12,-0.19070554802619855,0.42060157817067767,-0.5158132530120483,0.019913078882278876,0.25950757173928957,0.26920713897914633,0.16039156626506024,0.4993575438288244,0.16242230958858758,0.4938686193721939,0.13649574373876608,0.5660902079869379,0.5124342072946383,0.020881036076308264,-0.16428037822092814,0.48887240843404717
0.01,-1.0,-0.5,True,2.1069171053776782e-05,4.05086380079311e-05,5.450802669873956e-10,1.9226498235045497,2.587098778571483e-05,12,-0.2500447805719524,0.2876738676866014,-0.5158132530120483,0.019913078882278876,0.2655363232756037,0.2578392551513798,0.16039156626506024,0.4993575438288244,0.16242230958858758,0.4938686193721939,0.13649574373876608,0.5660902079869379,0.5124342072946383,0.020881036076308264,-0.16428037822092814,0.48887240843404717
0.01,-0.5,-0.5,True,2.1069171053776782e-05,4.05086380079311e-05,5.450802669873956e-10,1.9226498235045497,2.587098778571483e-05,12,-0.26804721864753467,0.2531958475308638,-0.1160950610326768,0.6259634865645083,0.10612021981136352,0.6561124179854164,-0.2578214991764641,0.2724417493926962,0.16242230958858758,0.4938686193721939,0.13649574373876608,0.5660902079869379,0.5124342072946383,0.020881036076308264,-0.16428037822092814,0.48887240843404717
0.01,0.0,-0.5,True,2.1069171053776782e-05,4.05086380079311e-05,5.450802669873956e-10,1.9226498235045497,2.587098778571483e-05,12,0.06083535409322834,0.7988918714028361,0.16242230958858758,0.4938686193721939,-0.20357235907101884,0.3893208813999076,0.13649574373876608,0.5660902079869379,0.16242230958858758,0.4938686193721939,0.13649574373876608,0.5660902079869379,0.5124342072946383,0.020881036076308264,-0.16428037822092814,0.48887240843404717
0.01,0.5,-0.5,True,2.1069171053776782e-05,4.05086380079311e-05,5.450802669873956e-10,1.9226498235045497,2.587098778571483e-05,12,0.11737575735524655,0.6221323981961238,0.49774096385542177,0.02553372990225344,-0.23291329949766396,0.32303989328850996,-0.17846385542168675,0.451570498817884,0.16242230958858758,0.4938686193721939,0.13649574373876608,0.5660902079869379,0.5124342072946383,0.020881036076308264,-0.16428037822092814,0.48887240843404717
0.01,1.0,-0.5,True,2.1069171053776782e-05,4.05086380079311e-05,5.450802669873956e-10,1.9226498235045497,2.587098778571483e-05,12,0.13599391943397454,0.5675323227184113,0.49774096385542177,0.02553372990225344,-0.24105145005361722,0.305929715663062,-0.17846385542168675,0.451570498817884,0.16242230958858758,0.4938686193721939,0.13649574373876608,0.5660902079869379,0.5124342072946383,0.020881036076308264,-0.16428037822092814,0.48887240843404717
0.01,3.0,-0.5,True,2.1069171053776782e-05,4.05086380079311e-05,5.450802669873956e-10,1.9226498235045497,2.587098778571483e-05,12,0.1565801316948225,0.5097388142043495,0.509789156626506,0.021664541755555686,-0.24903467625790926,0.2896900785091355,-0.16641566265060243,0.4831616865279996,0.16242230958858758,0.4938686193721939,0.13649574373876608,0.5660902079869379,0.5124342072946383,0.020881036076308264,-0.16428037822092814,0.48887240843404717
0.01,5.0,-0.5,True,2.1069171053776782e-05,4.05086380079311e-05,5.450802669873956e-10,1.9226498235045497,2.587098778571483e-05,12,0.16202055945822624,0.4949521683288188,0.509789156626506,0.021664541755555686,-0.250949818785405,0.2858747394503585,-0.16641566265060243,0.4831616865279996,0.16242230958858758,0.4938686193721939,0.13649574373876608,0.5660902079869379,0.5124342072946383,0.020881036076308264,-0.16428037822092814,0.48887240843404717
